kelime,frekans
hakikat,494
kâinat,485
suret,477
hikmet,387
cihet,229
nihayetsiz,227
mevcudat,217
hadsiz,207
âlem,192
muhabbet,187
beyan,183
kudret,182
rahmet,180
zemin,174
şehadet,169
nazar,165
umum,164
zerre,161
zîhayat,153
Cenâb-ı Hak,152
mazhar,151
hakikî,143
vücud,136
nevi,136
esmâ,135
temsil,125
kati,125
beşer,124
kemâl,122
cüz'î,121
icad,117
arz,117
semâvât,116
kemâlât,113
âhiret,113
âyine,113
tefsir,112
muhtelif,110
cilve,110
nam,108
ziya,107
delâlet,107
muntazam,106
sair,106
ziyade,106
intizam,104
esbab,102
küllî,101
elem,101
lisan,100
hak,98
cemâl,98
nihayet,97
mahlukat,94
mâlik,94
nisbet,94
acz,94
Kurân-ı Hakîm,93
kelâm,92
vahdet,90
inkâr,88
Hâlık,87
nuranî,86
medar,85
melâike,84
lâtif,84
iktiza,84
ubudiyet,83
ulvî,82
Sâni,82
nefs,81
saadet,80
mukabil,78
mahiyet,78
mahluk,78
aleyhissalâtü vesselâm,76
mucize,75
zîşuur,75
ekser,75
bilbedâhe,75
taife,74
kader,74
saadet-i ebediye,74
semâ,73
âciz,73
fâni,73
ihsan,73
ebedî,72
tabiat,71
Sâni-i Zülcelâl,71
burhan,71
ihtiyar,71
zevâl,69
muhal,68
eşya,68
küre-i arz,67
dalâlet,66
muhafaza,66
halk,64
musahhar,64
