kelime,frekans
cihet,104
elem,96
hakikat,87
suret,75
kâinat,74
muhabbet,68
hadsiz,63
nefs,60
saadet,59
nihayetsiz,55
dalâlet,52
nazar,51
hakikî,47
acz,45
rahmet,42
âlem,41
nimet,40
dua,39
âhiret,38
hikmet,38
Cenâb-ı Hak,36
beşer,36
Hâlık,35
bâki,35
fâni,34
musibet,34
elîm,34
sefahet,34
biçare,34
ene,32
zevâl,32
zîhayat,32
gaflet,31
ziyade,31
şe'n,30
fakr,30
ebedî,30
muvazene,30
mevcudat,30
nam,29
kat'î,29
bedbaht,28
nefis,28
cüz'î,28
zulümat,28
esmâ,27
adem,27
beyan,26
istikbal,26
nevi,26
zemin,25
alâkadar,25
firak,25
âciz,25
cilve,25
muhafaza,24
muvakkat,24
zaaf,24
ubudiyet,24
kudret,23
musahhar,22
saadet-i ebediye,22
sarf,22
nuranî,22
hizmetkâr,22
mukabil,21
mahlukat,21
hayat-ı dünyeviye,21
sair,20
ihtiyar,20
mahiyet,20
menfaat,20
muzır,20
tılsım,20
vahşet,19
esbab,19
kemâlât,19
dehşetli,19
medar,19
mâlik,19
darağacı,18
umum,18
mübarek,18
sukut,18
mü'min,18
nihayet,18
mazhar,18
hamd,17
ehl-i dalâlet,17
hissiyat,17
abd,17
şefkat,17
tabiat,16
havf,16
beka,16
Rab,16
hane,16
neş'et,16
nisbet,16
temsil,16
