kelime,frekans
kâinat,304
hadsiz,276
cihet,256
suret,253
hakikat,181
hikmet,159
ziyade,146
rahmet,138
vücud,132
umum,129
âyet,125
mevcudat,124
zîhayat,122
cilve,120
vaziyet,109
kudret,101
Cenâb-ı Hak,97
şehadet,93
icad,90
beyan,87
kati,84
nevi,83
ihlâs,82
nazar,82
risale,79
muhabbet,78
Aleyhissalâtü Vesselâm,78
mühim,76
âlem,76
mazhar,73
cüz'î,71
küre-i arz,71
âhiret,71
esbab,68
muntazam,68
Lem'a,68
nimet,67
dalâlet,67
hakikî,66
şekvâ,64
hak,63
netice,63
zemin,63
Resul-i Ekrem,61
nefs,61
nihayetsiz,60
elem,60
Kurân-ı Hakîm,59
ebedî,59
musibet,58
vahdet,58
ihtiyar,58
ehemmiyet,57
arz,57
halk,57
mahlukat,57
medar,56
ittifak,55
düstur,55
kıymettar,55
ihtar,52
fâni,52
gaflet,52
bâki,52
ziya,51
iktiza,51
şer,50
semâvât,49
beka,48
hususan,48
mizan,47
mukabil,47
Sünnet-i Seniyye,46
muhal,46
binaen,46
muhafaza,46
acz,45
şükür,45
intizam,45
Hazret-i Ali,45
delâlet,44
zâhir,44
tabiat,43
hürmet,43
zîşuur,43
Hâlık,42
ehl-i dalâlet,42
makam,42
mahluk,41
sima,41
rububiyet,41
Nükte,40
sair,40
sevk,40
ubudiyet,40
alâkadar,39
NÜKTE,39
nefer,38
küllî,38
valide,38
