kelime,frekans
ilem eyyühe'l-aziz,231
keza,201
cihet,118
âlem,115
Cenâb-ı Hak,108
kudret,101
Binaenaleyh,97
delâlet,96
şems,95
hakikat,95
Sâni,93
vücud,86
Hâlık,84
esbab,84
zerre,81
şehadet,77
arz,74
nazar,73
nimet,72
kâinat,71
hikmet,65
semere,63
icad,62
nefs,58
burhan,57
muhabbet,52
dalâlet,50
mazhar,49
zât,49
intizam,47
kemâl,45
gaflet,44
Maahaza,44
elem,43
tecellî,43
mâlik,42
suret,42
şuur,41
nevi,41
vahdet,41
menzil,40
eşya,40
adem,39
sıfat,38
âhiret,38
vaziyet,37
nefis,36
isnad,36
tasarruf,35
irade,35
mevcudat,35
tevhid,35
mahlukat,35
cilve,35
binaen,35
beka,34
ziya,34
iktiza,33
zikr,33
âyet,32
inkılâp,32
nisbet,32
istilzam,32
mülk,32
rahmet,32
ubudiyet,32
tazammun,31
vücut,31
azamet,31
masnu,31
sair,30
rububiyet,30
zerrat,30
lisan,30
acz,29
fâni,29
ihtiyar,28
timsal,28
cüz'î,28
vecih,28
semâ,28
ebedî,27
beşer,27
cemâl,27
nur,27
tasdik,27
zîhayat,26
zeval,26
nizam,26
Vâcibü'l-Vücud,26
illet,25
nev-i beşer,25
katre,25
Kezâlik,25
kelâm,25
halk,25
sevk,24
kemâlât,24
zahir,24
nakış,24
lâtif,24
cemaat,24
âciz,24
misal,23
münasebet,23
umumî,23
zâil,23
masnuat,23
kâfir,23
bilhassa,23
gayr-ı mütenahi,23
bâki,23
izhar,22
mahsus,22
tenvir,22
semâvat,22
envâ,22
kati,22
acip,22
kesret,22
ziynet,22
tabiat,22
kader,21
tâbi,21
mizan,21
muhal,21
saadet,21
vücub-u vücud,21
Esmâ-i Hüsnâ,20
teşkil,20
nazaran,20
risale,20
lâzım,20
ziyade,20
fakr,20
bâtın,20
makam,20
muhafaza,20
düstur,20
efal,20
ednâ,19
nâzır,19
Kezalik,19
hak,19
ahval,19
şerik,19
itikad,19
şuunat,19
bizzat,18
iktidar,18
beyan,18
ihata,18
abd,18
esmâ,18
Zât,18
sıfât,18
efrad,18
Remz,18
şecere,17
ihsan,17
hasıl,17
nihayet,17
mertebe,17
lem'a,17
Hülâsa,17
mâruz,17
hakikî,17
küllî,17
lâtife,17
fâil,17
küre-i arz,17
musibet,17
nebatat,17
muhit,16
şeriat,16
hariç,16
daimî,16
vukua,16
cüz,16
suhulet,16
cereyan,16
sarf,16
eczâ,16
Arş,16
hamd,16
mahluk,16
câmid,16
iktizâ,16
husule,16
muvazene,16
imtisal,16
ittifak,16
küll,15
LEM'A,15
mahiyet,15
haşir,15
nefer,15
Fâtır-ı Hakîm,15
Mâlik,15
NOTA,15
