kelime,frekans
keza,155
Cenâb-ı Hak,134
cihet,102
arz,100
temsil,97
hikmet,96
delâlet,92
nizam,88
Binaenaleyh,86
beşer,86
kâinat,81
kelâm,74
hakikat,72
iktiza,71
münafık,71
zulmet,67
nükte,64
münasebet,63
beyan,63
belâgat,61
kudret,58
melâike,57
vecih,57
nevi,55
tefsir,55
vücud,52
zerre,50
binaen,49
i'câz,47
delil,47
mâkabli,45
mucize,45
ihtiyar,45
Zira,45
hidayet,44
tâbir,44
esbab,44
nazar,44
taalluk,43
ziya,42
Sâni,42
muaraza,40
sâmi,40
nifak,40
burhan,39
dalâlet,39
intizam,39
tecellî,37
tazammun,37
malum,36
saadet-i ebediye,36
azamet,36
nazm,35
inkılâp,35
nev-i beşer,35
hasıl,35
mü'min,34
aleyhissalâtü vesselâm,34
umumî,33
semavat,32
nazaran,32
intaç,32
sıfat,31
musibet,31
kâfir,31
Hülâsa,30
âhiret,30
muhtelif,30
halk,30
tasdik,30
neş'et,30
mezkur,30
itibar,29
kaide,28
berk,28
izah,27
Hâlık,27
ima,27
husule,27
bâtıl,27
nübüvvet,27
sıdk,27
münhasır,27
tasvir,27
illet,27
mukadder,27
şek,26
izhar,26
silsile,26
tevhid,26
mukaddeme,26
istifade,26
Kezalik,26
irşad,26
tekit,26
remiz,25
vücuda,25
ahvâl,25
eşya,25
acz,25
