"kelime","anlam"
"mahrem","gizli olan, herkese söylenmeyen, gizli sır"
"has kardeşler","Üstadın çok değer verdiği ilk sıradaki talebeler"
"neşretmek","yayınlamak"
"zabıta","polis"
"tetkik","inceleme, araştırma"
"muhalif","aykırı"
"nâmahrem","yabancı kişi"
"umum","bütün, genel"
"nazar","bakış, görüş"
"şakirt","öğrenci, talebe"
"kuvve-i mâneviye","manevî güç, moral"
"ziyadeleştirmek","artırmak"
"erkân","ileri gelenler"
"neşir","yayınlama"
"iştirak","katılma"
"Leyle-i Kadir","Kadir gecesi"
"ihtar","hatırlatma"
"mesele-i mühimme","önemli mesele"
"zeyl","ilâve, ek"
"nev-i beşer","insanlık, insan türü"
"son Harb-i Umumî","İkinci Dünya Savaşı"
"eşedd-i zulüm","zulmün en şiddetlisi"
"eşedd-i istibdat","baskının en şiddetlisi"
"tahribat","yıkımlar, bozmalar"
"meyusiyet","ümitsizlik"
"galip","yenen, üstün gelen"
"muhafaza","koruma"
"fâni","ölümlü, geçici"
"muvakkat","geçici"
"fantaziye","aşırı süs ve lüks, yalandan gösteriş"
"umum","genel, herkes"
"fıtrat-ı beşeriye","insanın yaratılışı, tabiatı"
"istidadat","kabiliyetler, yetenekler"
"mahiyet-i insaniye","insanın niteliği, iç yüzü"
"suret","şekil, görüntü"
"gaflet","umursamazlık, âhiretten ve Allah’ın emir ve yasaklarından habersiz davranma"
"dalâlet","hak yoldan sapkınlık, inançsızlık"
"tabiat","doğa, canlı cansız bütün varlıklar, maddî âlem"
"siyaset-i rû-yi zemin","dünya siyaseti"
"gaddârâne","acımasızca, zulmederek"
"şimal","kuzey"
"garp","batı"
"emare","belirti, işaret"
"binâen","–dayanarak"
"mâşuk-u mecazî","gerçek sevgiye layık olmadığı halde aşık olunan şeyler"
"hayat-ı dünyeviye","dünya hayatı"
"hayat-ı bâkiye","devamlı ve kalıcı hayat"
"şakird","talebe, öğrenci"
"ehl-i hakikat","hak ve doğru yolda olanlar"
"kudsiyet","kusur ve noksandan uzak oluş, kutsallık"
"beşer","insanlar"
"emsal","benzerler"
"saadet-i ebediye","sonsuz mutluluk"
"Kur’ân-ı Mu’cizü’l-Beyan","açıklamalarıyla benzerini yapmakta akılları âciz bırakan Kur’ân"
"âyât","âyetler"
"sarihan","açıkça"
"hadsiz","sayısız"
"hüccet","delil"
"kıyamet","dünyanın sonu, varlığın bozulup dağılması"
"hatip","konuşmacı"
"din-i hak","hak din, İslâmiyet"
"cemiyet","dernek"
"rû-yi zemin","yeryüzü"
"hükûmet","yönetim, idare"
"misil","benzer"
"mu’cize-i ekber","en büyük mu’cize"
"saniyen","ikinci olarak"
"mu’cize-i kübrâ","en büyük mu’cize"
"muannid","inatçı"
