"kelime","anlam"
"asr","yüzyıl"
"azamet","büyüklük, yücelik"
"aziz","çok değerli, izzetli, saygın"
"bereket","Allah’tan gelen bolluk, nimet"
"fâtih","fetheden, açan"
"fazilet","güzel ahlâk, erdem"
"feyz","Allah tarafından kula lutfedilen ve ilham yoluyla kalbe gelen manevî nimet"
"hakikat","gerçek, doğru"
"ibaret","meydana gelen"
"idrâk etme","anlama, kavrama"
"ihlâs","ibadet ve davranışlarda sadece Allah rızasını gözetme; samimiyet"
"ihtişam","haşmetli ve heybetli oluş"
"irfan","bilme, anlama, sezme"
"menkıbe","meşhur kimselerin ahvaline dair hayat hikâyesi"
"muhterem","hürmete lâyık, saygıdeğer"
"nisbet","kıyas, oran"
"rayiha","güzel ve hoş koku"
"safha","merhale, aşama"
"takdim etme","sunma"
"talebe","öğrenci"
"tarih-i hayat","hayat tarihi, biyografi"
"ulvî","yüce, büyük"
"zira","çünkü"
"âcizâne","âciz ve güçsüz bir şekilde (bu ifade tevazu mânâsını taşır)"
"acz","acizlik, güçsüzlük"
"azamet","büyüklük, yücelik"
"Bediüzzaman","Bediüzzaman Said Nursî"
"beyit","iki mısradan oluşan şiir bölümü"
"binaenaleyh","bundan dolayı"
"câzibe","çekim kuvveti"
"Cenâb-ı Hak","Hakkın ta kendisi olan, sonsuz şeref ve azamet sahibi yüce Allah"
"çirkef","iğrenç, pis şey"
"dâvâ","takip edilen fikir ve düşünce sistemi"
"fazilet","güzel ahlâk, mânevî değer, erdem"
"feyiz","ilham, bolluk, bereket"
"fikren","düşünce aracılığıyla"
"hakikat","gerçek, doğru"
"hayret","şaşkınlık"
"hissen","his aracılğıyla"
"hülâsa","özet"
"ihtişam","haşmetli ve görkemli oluş"
"İlâhî","Allah tarafından olan"
"ilham","Allah tarafından kalbe indirilen mânâ"
"intikal etme","geçme, ulaşma"
"istikamet","yön"
"kàbil","mümkün"
"kutub","manevî mertebelerin en yükseğinde bulunan kimse"
"manzum","şiir şeklinde, vezinli"
"mazhar olma","ayna olma, erişme"
"mensur","nesir, düz yazı"
"mesrur","sevinçli, mutlu"
"mevzu","konu"
"muazzam","büyük"
"muhteviyat","bir şeyin içinde bulunan unsur ve özelilkler"
"mukaddeme","giriş, başlangıç"
"mukavemet","karşı koyma, direnç gösterme"
"mücahid","cihad eden, din uğrunda çaba harcayan"
"mümtaz","seçkin"
"münkir","inanmayan, inkar eden"
"müstakil","bağımsız"
"müstesnâ","seçkin, benzeri olmayan"
"neş’e","sevinç"
"rabıta","bağ"
"şâd","neşeli, memnun"
"tecellî","belirme, görünme, yansıma"
"tetkik etme","inceleme, araştırma"
"tufan","büyük su baskını"
"ulvî","yüce, büyük"
"ulviyet","yücelik"
