"kelime","anlam"
"âlem-i insaniyet","insanlık âlemi"
"âlem-i İslâm","İslâm âlemi"
"Arabî","Arapça"
"âyine","ayna"
"aza","üye"
"âzam","büyük"
"cem edilen","toplanan, bir araya getirilen"
"Dârü'l-Hikmeti’l-İslâmiye","1918-1922 yılları arasında Şeyhülislamlığa bağlı olarak faaliyet gösteren, Bediüzzaman’ın da görev yaptığı İslâm akademisi hüviyetinde ilmi kuruluş"
"delâil-i akliye ve mantıkiye","aklî ve mantıkî deliller"
"Erkân-ı Harbiye Riyaseti","Genel Kurmay Başkanlığı"
"esaret","esirlik"
"fehim","anlayış, kavrayış"
"hakikat","asıl, esas, gerçek"
"Harb-i Umumî","Dünya Savaşı"
"hizmet-i âliye","yüce hizmet"
"Hutuvât-ı Sitte","“Altı Adım” anlamına gelen bu risalenin adı"
"istilacı","kuşatıcı"
"iş’ar","işaret etme, belirtme"
"iştirak etmek","katılmak"
"izah eden","açıklayan"
"izhar etme","açığa çıkarma, gösterme"
"izzet","değer, itibar, yücelik"
"Kur’ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur’ân"
"Lemeât","parıltılar; bir kısmı Sözler kitabının sonunda yer alan bazı ölçüler"
"lisân","dil"
"manzum","düzenli; şiir gibi yazılmış"
"mehasin-i ulviye","yüksek güzellikler"
"muharebe","harp, savaş"
"neşredilmek","yayınlamak, yaymak"
"neşretmek","yaymak"
"Nokta","bir kısmı Mesnevî-i Nuriye adlı eserde yer alan bir bölüm"
"risale","kitap; Risale-i Nur’dan her bir bölüm"
"Sünûhat","kalbe doğan mânâ ve hakikatler anlamına gelen Üstad Bediüzzaman’ın bir eseri"
"şark","doğu"
"şehâmet-i imaniye","imandan gelen cesaretlilik"
"şehid","Allah yolunda canını feda eden Müslüman"
"telif","yazma, kaleme alma"
"Aleyhisselâm","Allah selâmı onun üzerine olsun"
"âsâyiş","bir yerin düzen ve güvenlik içinde bulunması durumu"
"bilahare","daha sonra"
"bilhassa","özellikle"
"câmia","topluluk"
"cebbar","zorba, zâlim"
"cefa çekmek","eziyet, sıkıntı çekmek"
"dercedilen","yerleştirilen"
"Divan-ı Harb-i Örfî","Sıkıyönetim Mahkemesi"
"hakikat","doğru gerçek"
"hizmet-i imaniye","iman hizmeti"
"Hutuvât-ı Sitte","“Altı Adım” anlamına gelen bu risalenin adı"
"mebus","milletvekili"
"menfî hareket","yıkmak, yakmak, saptırmak, inkâr etmek gibi olumsuz ve yıkıcı hareket, davranış"
"misâl","örnek"
"muamele","davranış"
"muhafaza","koruma"
"muharebe","savaş, harp"
"mukabele etmek","karşılık verme"
"mükellef","birşeyi yapmaya mecbur olan, yükümlü"
"müsbet hareket","yapmak, yol göstermek, yardım etmek gibi olumlu ve yapıcı hareket, davranış"
"müsbet hizmet","yol göstermek, yardım etmek gibi olumlu ve yapıcı hizmet"
"müsbet","olumlu, yapıcı"
"neşretmek","yaymak"
"neşriyat","yayın faaliyeti"
"rıza-yı İlâhî","Allah’ın rızası"
"risale","kitap; Risale-i Nur’dan her bir bölüm"
"salisen","üçüncü olarak"
"sergüzeşte-i hayat","hayat macerası, hayat hikâyesi"
"şehâmet","akıl ve iman ile olan cesaret"
"şükür","Allah’ın (c.c.) nimetlerine karşı memnunluk gösterme; Allah’a teşekkür etme"
"tab etmek","basmak"
"tahakkuk etmek","gerçekleşmek"
"tahakküm","baskı, zorbalık"
