"kelime","anlam"
"âciz","güçsüz, elinden birşey gelmeyen"
"arzu etmek","istemek"
"âsi","isyan eden, başkaldıran"
"berâhin","güçlü deliller"
"beyan etmek","açıklamak, izah etmek"
"burhan","güçlü delil, kesin kanıt"
"delâil","deliller"
"fehm-i kasır","dar anlayış, etraflıca anlayamama"
"gayetü’l-gâyât","gayelerin gayesi, gayelerin son noktası, esas hedef"
"hads-i kalbi","kalbin güçlü sezişi"
"haşir","insanın öldükten sonra âhirette diriltilerek Allah’ın huzurunda toplanması"
"huz mâ safâ","duru ve saf olanı al"
"ifade-i meram","bir maksadın ifadesi"
"intihab etmek","seçmek"
"kâh","bazan"
"lâyühad","sınırsız, sonu belli olmayan"
"lem’a","parıltı"
"maksud-u bizzat","asıl gaye"
"mârifetullah","Allah’ı tanıma"
"mârifetü’n-Nebî","Peygamberi (a.s.m.) bilmek, tanımak"
"melâike","melekler"
"muazzam","azametli, çok büyük"
"muhatap","hitap edilen"
"müstemi","dinleyici"
"müteharrî-i hakikat","hakikati inceleyen, araştıran"
"mütekellim","konuşan"
"nazar-ı aklî","aklın bakış açısı, akıl gözü"
"nebze","az miktar"
"nefis","bir kimsenin kendisi; insanı daima kötülüğe, maddî zevk ve isteklere sevk eden duygu"
"risale","küçük çaplı kitap; Risale-i Nur’un bölümlerinden her biri"
"rükün","esas, şart"
"Şuâât","ışınlar; Risalet-i Muhammediyenin isbatına dair bir eser olup, 1921 yılında Üstad Said Nursî tarafından telif edilmiş ve 1923 yılında yazılmış bir eser"
"telif","yazılmış eser"
"temâşâ","seyir, hoşlanarak bakma"
"tevhid","birleme; herşeyin bir olan Allah’a verilmesi"
"zuhurat","gönle doğan mânâlar, ele gelen hakikatler"
"enfâs-ı halâik","yaratılmışların nefisleri"
"evliyâullah","Allah’ın sevgili kulları, Allah dostları"
"fehim/fehm","anlayış, kavrayış"
"hadsiz","sayısız, sınırsız"
"icmal","kısaltmak, özetlemek"
"ifade","anlatım"
