"kelime","anlam"
"âb-ı hayat","hayat suyu, içene hayat veren su"
"avâlim-i gayb","gayb âlemleri, görülmeyen ve bilinmeyen âlemler"
"âyine","ayna"
"aynü’l-hayat","hayat pınarı, kaynağı"
"cemiyet-i kâinat","kâinatta bulunan bütün varlıklar"
"ebed","sonsuzluk, sonsuz yaşama ve var olma"
"esrar-engiz","sırlı, gizemli"
"fermân-ı ezelî","zamanlar üstü buyruk, kelime-i şehadet"
"Hâkim-i Ezelî","Ezelî Hâkim; varlığının ve egemenliğinin başlangıcı olmayıp sonsuz olan Allah"
"harita-i nurâniye","nurlu, etrafına nur saçan harita; bir harita gibi bütün varlık âlemlerinin Sultanı olan Allah’ın mülkünü özellikleriyle insanlara gösteren kelime-i şehadet"
"hatib-i fasih","meseleleri çok net ifadelerle muhataplarına veciz şekilde anlatan hatip"
"ilân eden","duyuran"
"in'ikas etme","yansıma"
"inşad etme","bir şiiri veya edebi metni belli bir ahenkle okuma"
"kelime-i âliye","içinde yüce mânâlar taşıyan cümle"
"lâtife-i Rabbâniye","İlâhî hakikatleri hisseden ve mânevî zevkleri alan his, duygu; kalp"
"lisân","dil"
"menşur-u lâyezalî","hükmü sonsuza kadar devam eden fermân"
"menşur-u mukaddes","kutsal fermân (Kelime-i şehadet kastedilmektedir.)"
"misâk-ı ezeliye","Bezm-i elest veya Kâlû-Belâ ile de tabir edilir; ezelî sözleşme; Allah ruhları yarattığı zaman, onlara"
"mübelliğ-i beliğ","noksansız ve belâgatli bir şekilde tebliğ eden"
"namzed","aday"
"nebean etme","kaynama, ortaya çıkma, fışkırma"
"nev-i beşer","insanlık, insan türü"
"nurânî","nurlu, aydınlık"
"nutk-u beliğane","balâgatli nutuk; kusursuz ifadelerle muhatapların hallerine ulgun olarak akıl ve kalplerini aydınlatan nutuk"
"peyman","yemin"
"saadet-saray-ı ebediye","sonsuz mutluluk sarayı; hiç bitmeyecek şekilde mutluluğun yaşanacağı Cennet hayatı"
"Sultan-ı Ezelî","hüküm ve saltanatının başlangıcı olmayan bütün zamanlara hükmeden Allah"
"tayin olunma","belli bir görevle görevlendirilme"
"tebşir olunma","müjdelenme"
"tecellî","yansıma"
"temevvüc eden","dalgalanan"
"tercüman-ı beliğ","belâgatli tercüman; sözleri kusursuz, muhatapların hallerine uygun ve onların akıllarını ve kalplerini aydınlatan Kur’ân-ı Kerim"
"ulvî","yüce, üstün"
"üssü’l-esas-ı İslâmiyet","İslâmın en temel esası"
"vekâleten","vekil olarak"
"Aleyhisselâm","Allah’ın selâmı onun üzerine olsun"
"asl-ı din","dinin temeli"
"beşer","insanlık"
"burhan","kesin delil, sarsılmaz kanıt"
"burhan-ı innî","olaylardan kanunlara, sonuçlardan sebeplere, eserden eseri yapana giden delil (dumanın ateşe delil olması gibi)"
"burhan-ı limmî","tümden gelim; kanunlardan olaylara, sebeplerden sonuçlara, eseri yapandan esere olan delil (ateşin dumana delâleti gibi)"
"emir","idareci, başkan"
"enbiya","peygamberler"
"hakikat","gerçek"
"halef","sonradan gelen, öncekilerin makam ve mevkiine geçenler"
"hilkat","yaratılış, kâinat"
"İlâhî","Allah’tan gelen"
"inkişaf verme","geliştirme, ortaya çıkarma"
"istidâdât-ı mâneviye","mânevî kabiliyetler ve yetenekler"
"istikamet","doğru yolda olma"
"itidal","mutedil olma, aşırılıklardan kaçınma"
"kelâm","söz, ifade, cümle"
"kelime-i şehâdet","“Allah’tan başka ilâh olmadığına ve Hz. Muhammed’in onun kulu ve elçisi olduğuna şehadet ederim” ifadesi"
"Kudret-i Fâtıra","sonsuz güç ve iktidar sahibi olan ve herşeyi benzersiz güzellik ve mükemmellikte yaratan Allah"
"kuvâ-yı selâse","üç güç; gazap gücü, şehvet gücü, akıl gücü"
"metin","kesin ve sarsılmaz"
"mu’cizat","Allah’ın izniyle peygamberler tarafından ortaya konulup bir benzerini yapmakta başkalarını âciz ve hayrette bırakan olağanüstü hâller, fiiller, eserler"
"musaddık","tasdik eden, onaylayan"
"mübeşşir","müjdeci"
"Müellif","bu risaleyi telif eden, yazan Bediüzzaman Said Nursî"
"mürşid","doğru ve hak yolu gösteren"
"müttefik","bir noktada ittifak eden, söz birliği eden"
"müttehid","ittifak hâlinde olan, söz birliği eden"
"nazar","görüş, bakış açısı, göz"
"Nebî","Peygamber; Allah’ın elçisi; Hz. Muhammed (a.s.m.)"
"nizam","düzen"
"nokta-i nübüvvet","peygamberlik noktası, konusu"
"nübüvvet","peygamberlik, elçilik"
"Nübüvvet-i Ahmediyye","Hz. Muhammed’in (a.s.m.) peygamberliği"
"nübüvvet-i mutlaka","peygamberlik müessesi, genel olarak peygamberlik kurumu"
"Sâni","herşeyi mükemmel bir şekilde ve san’atla yaratan Allah"
"Sâni-i Zülcelâl","büyüklük ve haşmet sahibi olan ve herşeyi san’atlı bir şekilde yaratan Allah"
"selef","önceden gelenler, sonra gelenlerin makam ve mevkiinde bulunmuş olanlar"
"şâhid-i sâdık","doğruluğu hakkında şüphe olmayan şahid"
"tecavüzkâr","haddini aşan, başkalarının haklarına saldıran"
"tezkiye etme","hatâdan arındırma, temize çıkarma"
"ulûhiyet","ibadete ve itaat edilmeye lâyık olma, ilâhlık; Cenâb-ı Allah’ın ilâhlığı"
"vahdet","birlik"
"vâzıh","açık"
"vehm-âlud","vehimli, kuruntu dolu"
"vücud","varlık, var olma"
"ya’sub","arı beyi"
"zaruri","zorunlu"
"zâtiyle ve lisânıyla","kendi zâtı ve diliyle"
"âfâk","ufuklar, geniş daire"
"âlem-i imkân","varlığıyla yokluğu eşit olan; her an olması veya olmaması imkân dahilinde bulunan âlem"
"Aleyhisselâm","Allah’ın selâmı onun üzerine olsun"
"burhan-ı katı'","kesin ve sarsılmaz delil, kanıt"
"cazibe-i umumî","genel çekim gücü"
"cemi-i enbiya","bütün peygamberler"
"cemi-i mu'cizat","bütün mu’cizeler; Allah’ın izniyle peygamberler tarafından ortaya konulup bir benzerini yapmakta başkalarını âciz ve hayrette bırakan olağanüstü hâller, fiiller, eserler"
"cüz’î","az"
"derece-i kemâlât","olgunluk ve mükemmelliklerin derecesi"
"ehl-i kemâl","insanlık açısından yaratılış gayelerinin gereği olarak yüksek mânevî derecelere ulaşan kişiler"
"ehl-i keşf","görünmeyen ve bilinmeyen âlemlere ait olan hakikatleri Cenâb-ı Allah’ın lütfu ve yardımıyla keşfeden kimseler"
"ekmel","en mükemmel ve en olgun"
"emare","belirti, iz"
"enbiya","peygamberler"
"esbâb-ı inkişaf","gizli kalmış hakikatlerin ortaya çıkmasını sağlayan sebepler"
"feyz","mânevî bolluk, ilim ve irfan"
"gayr-i mütenahî","sonsuz, sınırsız"
"hadsiz","sınırsız"
"hakikat","gerçek"
"Hakikat-i Muhammediye","Hz. Muhammed’in (a.s.m.) hakikati, mânevî şahsiyeti"
"hasenât","güzel davranışlar ve işler"
"hidayet","doğru ve hak olan yolu gösterme, İslâmiyet"
"ihsas etme","hissettirme"
"in’ikas etme","yansıma"
"irşad","doğru ve hak yolu gösterme"
"istidad","yetenek"
"ittifak etme","aynı noktada birleşme"
"kefe-i hasenât","iyiliklerin tartıldığı İlâhî terazi kefesi"
"medar-ı nübüvvet","peygamberliğin belirgin özellikleri, peygamber oluşun temel göstergeleri"
"menba’","kaynak, su kaynağı"
"minhâc-ı cedvel","hareket metodu olarak takip edilen çizgi ve yol"
"mu’cize","Allah tarafından verilen ve bir benzerini yapma hususunda insanların âciz kaldığı olağanüstü şey"
"muhit-i enfüsî","kapsamlı olan kendi dünyası; kâinattaki bütün mükemmelliklerin ve olgun hâsiyetlerin kapsamlı bir nümunesi hükmünde olan kendi zâtı ve iç dünyası"
"nebî","peygamber"
"nihayetsiz","sonsuz"
"râcih","tercih edilen; baskın, üstün"
"râsih","sağlam; sarsılmaz temeller üzerine kurulu olan"
"sirâc-ı vehhac","etrafını aydınlatan, ışık saçan lamba; getirdiği dinle tüm karanlıkları iman nuruyla aydınlatan Hz. Muhammed (a.s.m.)"
"tereşşuh","sızıntı"
"ulvî","yüce"
"ümmet","Hz. Peygambere (a.s.m.) inanıp onun yolundan giden mü’minler"
"Zât-ı Şerif","çok yüksek bir şeref sahibi olan Zât; Hz. Muhammed (a.s.m.)"
"zülâl-i hayat","hayat kaynağı olan saf ve tatlı su"
"ark","kanal"
"Asr-ı Saadet","mutluluk çağı, Peygamber Efendimizin (a.s.m.) peygamber olarak dünyada bulunduğu devir"
"asuman","gökyüzü"
"beyan","açıklama, ifade etme"
"bizzarure","zorunlu olarak"
"delâlet","delil olma, işaret etme, gösterme"
"dellâllık etme","insanlara duyurma, haberdar etme"
"elsine-i semâviye","semâvî diller; göklerdeki ve mânevî âlemlerdeki meleklerin ve ruhanî varlıkların konuştukları diller"
"enbiya","peygamberler"
"enva' ve ecnas","türler (species) ve cinsler (genus)"
"enva","çeşitler, türler"
"evtar","teller"
"hacer","taş"
"hakikat","gerçek"
"hazine-i gayb","görünmeyen, bilinmeyen âlemlerin hazinesi"
"huluk-u azîm","çok yüce ve yüksek meziyetlerle yaratılıp donatılmış olma"
