"kelime","anlam"
"azîm","büyük"
"envâr","nurlar"
"faziletli","değerli, sevaplı"
"hususan","özellikle"
"işâ","yatsı vakti"
"kelimât-ı mübareke","mübarek kelimeler"
"lem’a","parıltı"
"mağrib","akşam vakti"
"mezkûr","anılan, sözü geçen"
"münâcât","Allah’a yalvarış, duâ"
"nur","aydınlık"
"alâ nebiyyinâ ve aleyhissalâtü vesselâm","peygamberimize ve ona salât ve selâm olsun"
"aynelyakin","gözle görerek kesin bilgi edinme"
"bilkülliye","bütünüyle"
"cevv-i semâ","gökyüzü, hava boşluğu"
"dağdağa","gürültü, dehşet verici"
"dağvâri","dağ gibi"
"emvac","dalgalar"
"esbab","sebepler"
"hevâ-yı nefis","nefsin yasak arzu ve istekleri"
"hût","büyük balık"
"hülâsa","özet"
"ibn","oğul"
"inkişaf etme","ortaya çıkma"
"istikbal","gelecek"
"ittifak","anlaşma, birlik"
"kamer","ay"
"kıssa-i meşhure","meşhur kıssa"
"küre-i zemin","yeryüzü"
"lûtf-u Rabbânî","Allah’ın lûtfu"
"mahlûkat","varlıklar"
"melce","sığınak"
"Mettâ","Hz. Yunus’un (a.s.) babasının adı"
"mevc","dalga"
"meydan-ı cevelân","gezinti alanı"
"musahhar eden","boyun eğdiren"
"münâcât","Allah’a yalvarış, duâ"
"Müsebbibü’l-Esbab","bütün sebepleri ve sebeplerin sonucunu yaratan Allah"
"müşahede etmek","gözlemlemek"
"nazar-ı gaflet","bir şeyin mânâsını anlamadan bakmak"
"necat","kurtuluş"
"nur","aydınlık"
"nur-u tevhid","her şeyin bir olan Allah’a ait olduğuna ve Onun yaptığına inanmaktan doğan nur"
"sahil-i selâmet","kurtuluş sahili"
"semâ","gökyüzü"
"sergerdan","şaşkın, başı dönük"
"sırr-ı azîm","büyük sır"
"sırr-ı ehadiyet","Allah’ın her bir varlıkta birliğinin görülmesinin sırrı"
"sukut etmek","düşmek; hükümsüz hâle gelmek"
"şecere-i yaktîn","kabak ağacı"
"tahtelbahir","denizaltı"
"tazyik","baskı"
"tenezzühgâh","seyir ve gezinti yeri"
"vasıta-i necat","kurtuluş aracı"
"vesile-i icabe-i dua","duanın kabulüne vesile"
"zât","kişi"
"âhiret","öldükten sonraki sonsuz hayat"
"aynelyakin","gözle görerek kesin bilgi edinme"
"celb etmek","çekmek"
"cihet","yön, taraf"
"dalâlet","hak yoldan sapkınlık, inançsızlık"
"emvâc","dalgalar"
"esbab","sebepler"
"fıkra","bölüm, kısım"
"gaflet","duyarsızlık, umursamazlık"
"hakikat-i hal","o andaki durumunun gerçeği"
"halâskâr","kurtarıcı"
"Hâlık-ı Semâvat ve Arz","göklerin ve yerin yaratcısı olan Allah"
"hâşâ","asla"
"hâtırât-ı kalb","kalbden geçenler"
"hayat-ı ebediye","sonsuz hayat, âhiret hayatı"
"hevâ-yı nefis","nefsin yasak arzu ve hevesleri"
"hût","büyük balık"
"Hz. Yunus",""
"icad","var etme"
"iktidaen","uyarak"
"iltica etme","sığınma"
"irade","istek, arzu"
"istikbal","gelecek"
"ittifak","anlaşma, birlik"
"lâtif","güzel, hoş"
"mahv","yok olma"
"mehtap","ay ışığı, ay"
"merkûb","binek"
"muzır","zararlı"
"münâcât","Allah’a yalvarış, duâ"
"Müsebbibü’l-Esbab","bütün sebepleri ve sebeplerin neticesini yaratan Allah"
"nazar-ı merhamet","merhamet bakışı"
"nefis","can, kişinin kendisi"
"Rab","her bir varlığa muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"suret","görünüm"
"tahtelbahir","denizaltı"
"taht-ı emir","emir altında"
"taht-ı hüküm","hüküm altında"
"taht-ı idare","idaresi altında"
"Zât-ı Vâcibü’l-Vücud","varlığı zorunlu olan ve varlığının devamı için hiçbir sebebe muhtaç olmayan Zât, Allah"
"adem","yokluk"
"arz","yeryüzü"
"câmiiyet","geniş, kapsamlı oluş"
"ebedî","sonsuz"
"ecrâm-ı ulviye","gök cisimleri"
"elhasıl","kısaca, özetle"
"emvâc","dalgalar"
"hadsiz","sayısız"
"hakikat-i İslâmiyet","İslâmiyet gerçeği"
"halâskâr","kurtarıcı"
"hayat-ı ebediye","sonsuz hayat, âhiret hayatı"
"hengâmında","sırasında"
"hurdebinî","mikroskobik"
"ihtizâzât","sarsıntılar"
"inkılâp","dönüşme"
"istikbal","gelecek"
"kabza-i tasarruf","hüküm ve idare eden el"
"karn","asır, çağ"
"Kur’ân-ı Hakîm","sonsuz hikmetlerle dolu Kur’ân"
"mâbud","kendisine ibadet edilen"
"mahiyet","öz nitelik, özellik"
"maksud","kastedilen, hedef alınan şey"
"melce","sığınak"
"merkûb","binek"
"mevt","ölüm"
"müştakane","şevkle, çok isteyerek"
"müteellim","acı çeken"
"mütemadiyen","sürekli olarak"
"nazar-ı ibret","ibret gözüyle bakış"
"nefis","insanı lezzetlere, maddî menfaatlere sevk eden duygu"
"nur-u iman","iman aydınlığı"
"Rab","her bir varlığa muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"sahil-i selâmet","güvenli yer"
"sefine-i mâneviye","mânevî gemi"
"selâmet","kötülüklerden kurtulma, esenlik"
"seyyârat","gezegenler"
"sırr-ı Kur’ân","Kur’ân’ın sırrı"
"taht-ı emir","emrinde, emri altında"
"tefekkür","düşünme"
"tenevvür etme","aydınlanma"
"tenezzüh","gezinti"
"terbiye-i Furkaniye","doğru ile yanlışı birbirinden ayıran Kur’ân’ın verdiği eğitim"
"umum","genel"
"ünsiyet","canayakınlık"
"vahşet","ürküntü, yabanîlik"
"Yunusvâri","Yunus gibi"
"zelzele-i kübrâ","büyük deprem, kıyamet"
"zemin","yeryüzü"
"zerrat","zerreler"
"zuhur etme","ortaya çıkma, görünme"
"aleyhisselâm","Allah’ın selâmı onun üzerine olsun"
"âyet","Kur’ân’ın her bir cümlesi"
"azîm","büyük"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"envâ-ı merhamet","merhamet türleri"
"garazsız","başka bir niyet taşımaksızın"
"halel","zarar"
"hâlis","saf"
"Hazret-i Eyyup",""
"hülâsa","özet"
"ihsan","bağış"
"iktibas","alıntı"
"kemâl-i âfiyet","tam anlamıyla sağlıklı olma"
"kemâl-i sabır","tam sabır"
"lem’a","parıltı"
"lillâh için","Allah için"
"mahal","yer"
"marifet-i İlâhiye","Allah’ı tanıma"
"mazhar etmek","eriştirmek"
"mücerreb","denenmiş"
"müddet","süre"
"mükâfât","ödül"
"münâcât","Allah’a yalvarış, duâ"
"nükte","derin ve ince anlamlı söz"
"Rab","her bir varlığa muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"sâfi","temiz, arınmış"
"suret","şekil, biçim"
"tahammül etme","dayanma"
"tevellüt eden","kaynaklanan"
"ubudiyet","kulluk"
"ubudiyet-i İlâhiye","Allah’a kulluk"
"vazife-i ubudiyet","kulluk görevi"
"zikir","Allah’ı anma"
"adem","hiçlik, yokluk"
"bahusus","özellikle"
"bâtın-ı kalb","kalbin içi"
"bâtınî","iç"
"emâre","belirti, işaret"
"farz","Allah’ın kesinlikle yapılmasını emrettiği şey"
"hayat-ı dünyeviye","dünya hayatı"
"hayat-ı ebediye","sonsuz hayat"
"hazret","hürmet için kullanılan ünvan"
"Hazret-i Eyyub",""
"hicap etme","utanma"
"ıttıla","haberdar olma"
"intaç eden","netice veren"
"istiğfar","Allah’tan bağışlanma dilemek"
"küfür","inkâr"
"mahall-i iman","imanın yeri"
"mânen","mânevî olarak"
"melâike","melekler"
"mukabil","karşılık"
"mükerrer","tekrarlanan"
"münâcât-ı Eyyubiye","Eyyub peygamberin duası"
"müteessir","etkilenen, üzülen"
"nefretkârâne","nefret edercesine"
"neş’et etmek","ortaya çıkmak, meydana gelmek"
"neûzu billâh","Allah’a sığınırız"
"nur-u iman","imanın aydınlığı"
"nükte","derin ve ince anlamlı söz"
"ruhaniyât","maddî yapısı olmayan ruhanî varlıklar"
"ruhî","ruhla ilgili"
"Sultan-ı Ezel ve Ebed","başlangıç ve sonu olmaksızın, hüküm ve saltanatı ezelden ebede devam eden Sultan, Allah"
"tehdidât","tehditler"
"tekdir","azarlama"
"vazife-i ubudiyet","kulluk görevi"
"vesvese","kuruntu"
"zâhirî","görünürde"
"zevk-i ruhanî","ruhun aldığı zevk"
"zikir","Allah’ı anma"
"adâvet-i İlâhiye","Allah’a düşmanlık"
"adem","hiçlik, yokluk"
"bedbaht","talihsiz, bahtsız"
"beyan etme","açıklama"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"cilve","görüntü, yansıma"
"cüz’î","ferdî, az, küçük"
"dâr-ı dünya","dünya yurdu"
"dâr-ı hizmet","hizmet yeri"
"esmâ","isimler"
"hâkezâ","bunun gibi"
"hayr-ı mahz","sırf hayırdan ibaret"
"helâket","mahvolma"
"iktiza etmek","gerektirmek"
"işmam etme","hissettirme"
"kemâl","olgunluk, mükemmellik"
"libas","elbise"
"mahall-i ubudiyet","kulluğun yapılacağı yer"
"mazhar etmek","eriştirmek"
"meydan-ı imtihan","imtihan meydanı"
"musibet","belâ, büyük sıkıntı"
"nükte","derin ve ince anlamlı söz"
"Rezzak","bütün varlıkların rızıklarını veren Allah"
"sırr-ı kader","kader sırrı"
"Şâfî","yarattıklarına şifa verip iyileştiren Allah"
"şekvâ","şikâyet"
"şerr-i mahz","tamamıyla şer ve kötü"
"tağyir etmek","değiştirmek"
"tasaffi etmek","saf hâle gelmek, temizlenmek"
"tebdil etmek","değiştirmek"
"tekemmül etme","mükemmelleşme"
"terakki etme","gelişme"
"vazife-i hayat","hayat görevi"
"vazife-i ubudiyet","kulluk görevi"
"vecih","yön"
"vücud-u İlâhiye","Allah’ın varlığı"
"vücut","varlık"
"yeknesak","tekdüze, monoton"
"ziyade","çok, fazla"
"acz","acizlik, güçsüzlük"
"âhiret","öldükten sonraki sonsuz hayat"
"âlâm","elemler, acılar"
"beyan etmek","açıklamak"
"elem","üzüntü"
"elhamdü lillâh","hamd ve şükür yalnızca Allah’a mahsustur"
"fıtrî","doğuştan, yaratılıştan"
"firak","ayrılık"
"hâlet","vaziyet, durum"
"hâlis","içten"
"iktiza etmek","gerektirmek"
"ilticâkârâne","sığınarak"
"lezâiz","lezzetler"
"menfi","olumsuz"
"Muhacir Hafız Ahmed",""
"musibet","belâ, büyük sıkıntı"
"musibetzede","belâya uğrayan"
"muvafık","uygun"
"muvakkat","gelip geçici"
"mükâfât","ödül"
"mükâfât-ı uhreviye","âhirete ait ödüller"
"müsbet","olumlu"
"neş’et eden","kaynaklanan"
"nükte","derin ve ince anlamlı söz"
"örf-ü nâs","insanlar arasında kabul görmüş, gelenek haline gelmiş hususlar"
"Rabb-i Rahîm","yarattığı herbiri varlığa sonsuz şefkatini gösteren Rab"
"riyâ","gösteriş"
"şekvâ","şikâyet"
"teessüf etmek","üzülmek"
"teveccüh etme","yönelme"
"ubudiyet","kulluk"
"zât","kişi"
"zevâl","yokluk, gelip geçicilk"
"zevâl-i lezzet","lezzetin bitmesi"
"ziyade","çok, fazla"
"adem","yokluk, hiçlik"
"âlâm","elemler, acılar"
"bâki","devamlı ve kalıcı"
"belâhet","aptallık"
"Birinci Harb-i Umumî","Birinci Dünya Savaşı"
"Cenâb-ı Hak","hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"divanece","akılsızca"
"divanelik","akılsızlık"
"elhasıl","kısaca, özetle"
"Erzurum",""
"evham","kuruntular, şüpheler"
