"kelime","anlam"
"aziz","izzetli, çok değerli, saygın"
"biçare","çaresiz"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"ecel","ölüm zamanı"
"ehl-i hakikat","doğru ve hak yolda olan kimseler"
"hadsiz","sayısız, sınırsız"
"hakikatbîn","hakikati gören, doğru görüşlü"
"hamd","övgü, teşekkür"
"hidemat","hizmetler"
"hizmet-i Kur’âniye ve imaniye","iman ve Kur’ân hizmeti"
"ihlâs","ibadet ve davranışlarda sadece Allah rızasını gözetme; samimiyet"
"ihsan etme","bağışlama, ikram etme, verme"
"İhtiyarlar Risalesi","ihtiyarlarlar ve ihtiyarlıkla ilgili çeşitli tahlillerin yapıldığı risale; Yirmi Altıncı Lem’a"
"istirahat-i kalb","kalben rahatlama"
"iştiyak","çok kuvvetli arzu ve istek"
"kemâl-i ferah","mükemmel bir rahatlık, huzur, neşe"
"kemâl-i itminan","tam ve mükemmel bir inanma, tatmin olma"
"kemâl-i sürur","mükemmel bir mutluluk, sevinç"
"kıymetşinas","kadir-kıymet bilen"
"mevt","ölüm"
"muhafız","koruma, bekçi"
"mukabil","karşılık"
"mübarek","hayırlı"
"Müdafaat Risalesi","Üstad Bediüzzaman ve Risale-i Nur talebelerinin çeşitli mahkemelere sundukları savunmaların yer aldığı risale"
"müteaddit","bir çok, çeşitli"
"risale","küçük çaplı kitap; Risale-i Nur’un bölümlerinden her birisi"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"sıddık","çok doğru ve bağlı"
"şükür","nimetlere karşı memnunluk gösterme, Allah’a teşekkür etme"
"tasdik","doğrulama, onaylama"
"vâris","mirasçı"
"azamet","büyüklük"
"bârekâllah","Allah hayırlı ve mübarek kılsın anlamında, beğenmeyi ifade etmek için kullanılan bir söz"
"berzah","kabir âleami"
"beyan","açıklama"
"ehemmiyet","değer, önem"
"fevkalâde","olağanüstü, çok güzel"
"garp","batı"
"hususî","özel"
"ihsas","hissettirme, hatırlatma"
"ihtiyat","önlem alma, tedbirli hareket etme"
"irtibat","bağ, ilişki"
"kalem-i Hüsrevî","Hüsrev Altınbaşak’ın hattı, yazısı"
"Kerâmât-ı Aleviye","Hz. Ali’nin kerametleri; Hz. Ali’nin (r.a.) Risale-i Nur hakkındaki kerametlerinin anlatıldığı risale; Sekizinci Şua"
"kerâmât-ı kalem-i Alevî","Hz. Ali’nin kaleminden ortaya çıkan kerametler"
"keramet","Allah’ın bir ikramı olarak, Onun sevgili kullarında görünen olağanüstü hâl ve fiil"
"kıymettar","kıymetli, değerli"
"mahviyet","tevazu, alçak gönüllülük"
"mâni","engel"
"mâşaallah","Allah dilemiş ve ne güzel yapmış ve Allah nazardan saklasın gibi anlamlara gelen ve beğenmeyi ifade etmek için kullanılan bir söz"
"mazhar olma","erişme, nail olma"
"Mu’cizât-ı Ahmediye","Peygamber Efendimizin (a.s.m.) gösterdiği mu’cizelerin anlatıldığı risale; On Dokuzuncu Mektup"
"muârız","karşı çıkan, muhalif"
"mübarek","hayırlı"
"nispet","oran, ölçü"
"rabıta-i Kur’âniye ve imaniye","iman ve Kur’ân bağı"
"Risale-i İhlâs","İhlâs Risalesi; Yirmi Birinci Lem'a"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"ruhanî","ruhlar âlemine ait varlık"
"sair","diğer, başka"
"şark","doğu"
"şeytanet","şeytanlık"
"tasdik","doğrulama, onaylama"
"ziyade","çok"
"aziz","izzetli, çok değerli, saygın"
"batman","eskiden kullanılan ve 8 kiloluk ağırlığa karşılık gelen bir ölçü birimi"
"biçare","çaresiz"
"cihet","yön"
"dirayet","bilgi, kavrayış"
"ebed","sonsuzluk"
"ehemmiyet","değer, önem"
"fâni","geçici, ölümlü"
"fevkalâde","olağanüstü, çok güzel"
"hakikat","gerçek, doğru"
"hâlis","içten, katıksız, samimi"
"hizmet-i Kur’âniye","Kur’ân hizmeti"
"hususan","bilhassa, özellikle"
"iftihar etmek","övünmek"
"istikbal","gelecek"
"iştirak","ortak olma, katılma"
"lillâhilhamd","Allah’a hamd olsun ki"
"mahiyet","nitelik, esas"
"mazhariyet","ayna olma, bir nimete erişme"
"medh ü senâ","övme ve yüceltme"
"mu’cize-i Kur’âniye","Kur’ân’ın mu’cizesi"
"muvaffakiyet","başarı"
"nam","ad, isim"
"nazara alma","dikkate alma"
"nimet","iyilik, lütuf, ihsan"
"sa’y","çalışma"
"sıddık","çok doğru ve bağlı"
"şahs-ı mânevî","mânevî şahıs; belli bir ideal ve gaye etrafında bir araya gelen topluluğun oluşturduğu mânevî şahsiyet ve ortak kimlik; tüzel kişilik"
"tenvir","nurlandırma, aydınlatma"
"terakki","ilerleme, yükselme"
"vâkıa","olay"
"ziyade","çok, fazla"
"acip","hayrette bırakıcı, hayranlık verici"
"binaen","dayanarak"
"cihet","yön, taraf"
"Çocuk Taziyenamesi Risalesi","On Yedinci Mektup"
"dâhi","son derece zeki kimse; dehâ ve hikmet sahibi"
"dümdar","ordunun arkasındaki kuvvet"
"ehemmiyetli","önemli, değerli"
"ferd-i ferid","tek, eşsiz fert"
"ferdiyet","birlik, bireysellik"
"ferid","tek, eşsiz"
"fermân etme","buyurma"
"fevkalâde","olağanüstü, çok güzel"
"fiilen","fiili olarak, davranışla"
"had","sınır, yetki"
"hadis","Peygamber Efendimizin (a.s.m.) mübarek söz, fiil ve hareketi veya onun onayladığı başkasına ait söz, iş veya davranış"
"hakikat","gerçek, doğru"
"hayalen","hayalî olarak, hayal ederek"
"hikmet-i Rabbânî","kâinatın Rabbi olan Allah tarafından herşeyin belirli gayelere yönelik olarak anlamlı, faydalı ve tam yerli yerinde yaratılması"
"hudud","sınır, uç"
"hususî","özel"
"ihtiyat","önlem alma, tedbirli hareket etme"
"İktisat Risalesi","On Dokuzuncu Lem’a"
"intişar","yayılma"
"irşâdâd","irşâdlar, doğru ve hak yolu göstermeler"
"iştiyak","çok kuvvetli arzu ve istek"
"kıymettar","kıymetli, değerli"
"kudsî","kutsal, kusursuz ve yüce"
"letâfetli","güzel, hoş"
"muhatap","hitap edilen"
"mübarek","hayırlı, değerli"
"münasip","uygun"
"münevver","nurlu, aydın"
"müşiriyet","mareşallik"
"müşkilât","zorluklar"
