kelime,frekans
etme,822
etmek,416
kur,397
ve,301
ân,260
hak,256
hakikat,229
eden,224
fıkra,221
cenâb,199
nur,196
olma,193
risale,177
ehl,168
aziz,148
mübarek,134
muhterem,126
yı,124
âniye,113
âciz,107
suret,101
kıymettar,98
hakaik,97
inşaallah,94
arz,90
cihet,89
nazar,87
lâhî,85
hakîm,83
fakir,80
beyan,79
ihsan,79
kemâl,78
rahmet,78
hakikî,77
sözler,76
olmak,76
mu,76
iman,74
edilme,73
muvaffak,73
câz,72
ziyade,72
hikmet,72
hayat,71
kat,71
nurlar,69
tevafuk,69
takdir,68
azîm,68
âlem,68
üstad,63
hizmet,63
kudsî,63
istinsah,58
feyiz,58
âmin,57
envâr,57
mazhar,57
dalâlet,57
şükür,56
mütalâa,53
keramet,52
cüz,50
âli,50
biçare,49
lisan,49
hâlık,49
zât,49
acz,49
sürur,49
nam,47
inâyet,47
buyurma,47
kanaat,47
âhiret,46
bilhassa,46
buyurmak,45
tevafukat,45
istifade,45
lâhiye,45
evvel,45
haşiye,44
sıddık,44
eylemek,44
vücud,44
eyleme,44
âsâr,43
nihayet,43
mânen,43
menba,43
gayet,43
nefis,42
saâdet,42
kudret,41
âhir,41
olan,41
hazret,41
muvaffakiyet,41
mühim,41
