kelime,frekans
acz,23
nihayetsiz,22
mevcudat,21
hakikat,20
zira,20
lem’a,20
sûret,19
kâinat,19
gayet,18
nev’i,17
zîhayat,17
fakr,17
ubudiyet,17
beşer,16
nefis,16
rahmet,16
kur’ân-ı hakîm,15
cihet,15
kudret,15
hakikî,14
vücud,14
mahsus,14
mâlik,13
temsil,13
zeval,13
câmi,13
cilve,13
hâlık,12
saadet,12
tilmiz,12
sair,12
cüz’î,12
nümune,11
âciz,11
kalem-i kudret,11
mizan,10
hadsiz,10
bîçare,10
fehmetmek,10
mağrur,10
dalâlet,10
eşya,10
lâkin,10
ahmak,10
sarf etmek,10
esbab,10
hayvanat,10
esmâ,10
mukaddeme,9
elîm,9
gafil,9
semere,9
firak,9
letâif,9
cenâb-ı hak,9
elhasıl,9
muhabbet,9
zâd,9
misâl,9
katre,9
sikke,9
kitab-ı kâinat,9
rab,9
gayr-ı mütenâhi,9
menfaat,8
arz,8
lisân,8
mahlûk,8
musahhar,8
mevt,8
mukabele etmek,8
iktidar,8
hikmet,8
belâhet,8
âyine,8
envâ,8
zaaf,8
kemâl,8
hâtem,8
tevhid,8
nukuş,8
acip,7
cihazat,7
nefer,7
taam,7
şer,7
mukabil,7
kâfi,7
tenezzüh,7
haşir,7
çendan,7
hâlis,7
cüz,7
kavî,7
şehadet etmek,7
cevher,7
musannâ,7
vâcibü’l-vücud,7
fihriste,6
azîm,6
külfet,6
seyyid,6
masnuat,6
elem,6
musibet,6
turra,6
istimal etmek,6
şuur,6
lâtif,6
ednâ,6
ehl-i şuhud,6
şehadet,6
rüyet,6
menzil,6
küllî,6
adem,6
şükür,6
nimet,6
abd,6
vezaif,6
künûz-u mahfiye,6
mahlûkat,6
delâlet etmek,6
has,6
tahkir etmek,6
muntazam,6
memur,6
nazarında,6
âlî,6
huruf,6
hurufat,6
beyan etmek,5
hususan,5
şakirt,5
miskin,5
muhafaza,5
muhafaza etmek,5
nam,5
münevver,5
müzeyyen,5
nâzır,5
havf,5
muhtelif,5
et’ime,5
fehim,5
neş’et etmek,5
hayır,5
leziz,5
hevesat,5
fena,5
izale etmek,5
müşahede etmek,5
semerat,5
ziya,5
insaniyet,5
ehl-i ihtisas,5
hâcât,5
tevekkül,5
cesîm,5
levazımat,5
ecza,5
evvelen,5
fâtır,5
iştigal etmek,5
itham etmek,5
vazife-i asliye,5
libas,5
âlâ,5
vecih,5
küfür,5
vüs’at,5
zât-ı zülcelâl,5
zerre,5
fıtrat,5
mertebe,5
müzeyyenat,5
celâl,5
mârifet,5
nebatat,5
kasr,5
üstad,5
hatem,5
tezyinat,5
esmâ-i kudsiye,5
şems,5
esmâ-i ilâhiye,5
zevilhayat,5
mâruz,5
katarat,5
imtinâ,5
suhulet,5
suubet,5
vücub,5
beka,5
müteceddid,5
vücub-u vücud,5
hâlet,4
telif,4
deruhte etmek,4
âdi,4
havas,4
sıklet,4
âlât,4
sadâ,4
hazâin-i rahmet,4
marifet,4
miftah,4
zahiren,4
bedbaht,4
hizmetkâr,4
hâkim,4
tılsım,4
ehad,4
halk etmek,4
samed,4
âyât-ı tekviniye,4
ecnebî,4
nokta-i istinad,4
tezellül,4
hâdim,4
kemâlât,4
şakî,4
zelil,4
âmâl,4
eda etmek,4
izhar etmek,4
ihbar,4
minnet,4
muhbir,4
tevatür,4
zâhir,4
ehl-i hibre,4
müsavi,4
ebed,4
dâvâ etmek,4
menfaatperest,4
şumus,4
hayat-ı faniye,4
ihtiyar,4
mâlik-i kerîm,4
in’idam,4
kat’î,4
cehil,4
kader,4
münhasır,4
tayin etmek,4
gurub,4
dereke,4
esmâ-i kudsiye-i ilâhiye,4
halife-i arz,4
nispetinde,4
tahrip,4
âli,4
makàsıd,4
musahhariyet,4
fevkalâde,4
tesbihat,4
saltanat-ı rububiyet,4
tasdik,4
cemâl,4
istihsan,4
mu’cize,4
tekbir,4
kasır,4
avene,4
manzume,4
mevzune,4
saltanat,4
sâni,4
vazife-i hayat,4
güruh,4
melik,4
sath-ı arz,4
âzâ,4
irade,4
nebâtat,4
şerik,4
tecellî-i ehadiyet,4
hodendiş,4
menşe,4
zerrat,4
gaye-i ibadet,4
nâfi,4
esbap,4
sefine,4
vesait,4
hâlık-ı külli şey,4
ekser,4
kudret-i fâtıra,4
seyyarat,4
mümtaz,4
ehadiyet,4
kat’iyen,4
suhulet peyda etmek,4
hane,3
nefs-i emmare,3
âlâm,3
hasaret,3
bâki,3
bostan,3
istimal,3
meyvedar,3
mütalâacı,3
resul,3
küffar,3
vesvese,3
dehâ,3
hüdâ,3
fâni,3
mehâsin,3
müstakbel,3
sukut etmek,3
arşın,3
haşarat,3
muzır,3
mutî,3
muvazene,3
garaib,3
iştiyak,3
hayat-ı bâkiye,3
müştak,3
zindan-ı dünya,3
batn,3
hayat-ı dünyeviye,3
lehviyat,3
tahvil,3
tebdil,3
helâket,3
nisbeten,3
hâlık-ı zülcelâl,3
kadîr-i mutlak,3
tezkere,3
zillet,3
berzah,3
kitab-ı âlem,3
enâniyet,3
peyda olmak,3
