kelime,frekans
menba,5
neş’et etme,5
tevellüd etme,3
hasıl olma,3
burhan,3
hakikat,3
kâfir,3
şark,3
beyan etme,2
cezalet,2
müstakbel,2
nazm,2
ittifak,2
vâsi,2
kasır,2
tazammun etme,2
hads,2
nazar,2
tecellî etme,2
desatir,2
hurmet-i ribâ,2
ittihad-ı islâm,2
küfür,2
vücub-u zekât,2
gaflet,2
garb,2
ittihad,2
kâbe-i saadet,2
ziynet,2
âlem-i menâm,1
anasır,1
bedâat,1
belâgat,1
beraat,1
fesâhat,1
garabet,1
gayb,1
hakaik-i ilâhiye,1
i’câz-ı kur’ân,1
îcâz,1
ilmü’l-guyûb,1
itmam etme,1
lâfz,1
maruz olma,1
mâzi,1
mazmun,1
mefhum,1
menabi-i külliye,1
misâlî,1
munsıf,1
mübâhase,1
nakş-i acip,1
nisyan-ı mutlak,1
tecellî,1
terekküp etme,1
umur-u kevniye,1
üslûp,1
vuzuh,1
ahbar-ı evvelîn ve âhirîn,1
ahkâm,1
câmiiyet-i hârikulâde,1
cihet,1
derece-i fehim ve edeb,1
derece-i istidat ve kabiliyet,1
desatir-i fıtrat,1
desatir-i saadet-i dâreyn,1
ezvak-ı ârifîn,1
hakaik-i ahvâl,1
hakaik-i gayb ve şehadet,1
hârikulâde,1
hikâyât,1
hikmet-i teşriiye,1
ıttırad,1
ifâza-i nur,1
ihata,1
ihbârât-ı sâdıka,1
ihtilâfî yerler,1
ihtimâlât,1
irzâ etme,1
istiâb,1
istiğrak,1
küşâde,1
kütüb-ü sabıka,1
lâfız,1
makasıd,1
mesalik-i fukahâ,1
meşârib-i evliya,1
mezâhib-i sâlikîn,1
musaddıkane,1
musahhihâne,1
mutabakat,1
muvazenet,1
münasip,1
müstahsen,1
nazar-ı belâgat,1
revabıt-ı hayat-ı içtimaiye,1
revabıt-ı kevniye,1
sahih,1
serâir-i ilâhiye,1
şümul,1
tabakat,1
tekzip etme,1
turuk-u mütekellimîn,1
ulûm-u ilâhiye,1
