kelime,frekans
haşiye,9
cerbeze,6
ihtilâf,6
şeriat,5
ene,5
nazar,5
seyyie,5
ecnebî,5
fetvâ,4
nev’i,4
hâkim,4
vâlide,4
teşci etmek,4
havas,4
mecrâ,4
müncer olma,4
âlem-i islâm,3
ihtilâfat,3
galebe çalmak,3
hevâ,3
hüdâ,3
aşiret,3
bâtıl,3
müteferrik,3
zâlim,3
hasenat,3
murdar,3
hikmet,3
seyyiat,3
acip,3
ezhan,3
gürûh-u mücahidîn,3
neşvünemâ,3
merkez-i hilâfet,3
acz,3
çendan,3
inkâr,3
encümen-i şûrâ,2
istidat,2
mağz,2
mevzu,2
ulema,2
lâkin,2
nasraniyet,2
tazammun etme,2
beşer,2
ümmet,2
âlem-i kevn ve fesad,2
cerbeze-âlûd,2
cinan-ı cennet,2
dakika-i vâhide,2
efrad,2
enva,2
galip etmek,2
garaib,2
hüzün-engizâne,2
kemâl,2
kıyas etme,2
mahsusat,2
matem,2
me’yusiyet,2
muhassal,2
mukteziyat,2
mustakzer,2
müberra olmak,2
müncezip,2
müteaffin,2
müzehher,2
müzeyyen,2
nakais,2
nazarında,2
rakkasâne,2
râyiha-i kerihe,2
sudur,2
sümbüllendirmek,2
şahs-ı hazır,2
şe’n,2
tasavvur,2
tasvir etmek,2
tavr-ı acîb,2
tayy-ı mekân etmek,2
tayy-ı zaman etmek,2
temaşa,2
temsil,2
tenezzüh etmek,2
tevbih,2
vehim,2
vehmen,2
hasım,2
maslahat,2
ahlâk-ı sâmiye,2
ahlâk-ı seyyie,2
azlem,2
câni,2
dehalet etmek,2
fitnekâr,2
halâskâr,2
harb-i vahşiyane,2
hassa-i mümeyyize,2
himaye etmek,2
hissiyat-ı âliye,2
hiyanet,2
hizbüşşeytan,2
ihtilâle verme,2
imha,2
intifa etmek,2
irtikâp etmek,2
lisân,2
maatteessüf,2
mel’un,2
menfaat,2
menfîlik,2
mim’siz medeniyet,2
mitralyoz,2
mukabele etmek,2
müteessir olmak,2
nazir,2
tahripkâr,2
tathir,2
tel’in etmek,2
zahiren,2
zâlimâne,2
aşk-ı hakikat,2
avam,2
el-hubbu fillah,2
esefâ,2
fakr,2
fukara,2
gaye-i hayal,2
gaye-i hayalden tenasi ve nisyan olma,2
hâkim olma,2
hasıl olmak,2
ihsan,2
ittihad,2
mağlûp olma,2
mahviyet,2
makasıd-ı âliye,2
maksad-ı âli,2
mehâsin,2
müttefekun aleyh,2
müttefik,2
namuskârane,2
nazar etmek,2
nev’,2
peşkeş edilme,2
râcih gelme,2
sahih,2
sebeb-i merhamet,2
sebeb-i tevazu,2
şedit,2
tabur,2
tâdil etme,2
tahakküm,2
taksim edilmek,2
tarik-i tefehhüm,2
tarz-ı telâkki,2
tefavüt,2
teferruat,2
tekebbür,2
vahdet,2
vuzuh,2
zaruriyât-ı diniye,2
adalet-i kur’âniye,2
bidayet-i inkılâb,2
cündüp,2
damar-ı zulüm,2
dest-i kader,2
düstur-u âdilâne,2
elîm,2
fıtrat-ı insan,2
geda,2
içtimâi sistem,2
kavanin-i kader,2
kavl-i meşhur,2
kısas,2
lisân-ı hâl,2
maksud,2
mâtem,2
mezra,2
muntabık,2
musibet,2
muvakkat,2
müstehak,2
secayâ-yı hasene,2
sevâb-ı âhiret,2
sukut,2
şah,2
şeriat-ı fıtriye,2
tabaka-i avam,2
tarik-i gayr-ı meşru,2
temâyülât-ı şerriye,2
tilâvet,2
abd,2
adalet-i izafiye,2
ahkâm,2
bab-ı fitne,2
binaenaleyh,2
ehvenüşşer,2
evham,2
