kelime,frekans
suret,71
hakikat,59
cihet,27
cenâb-ı hak,25
hikmet,25
rahmet,24
nazar,23
hakikî,22
nam,22
nefis,21
nevi,21
mazhar,19
münasebet,18
kur’ân-ı hakîm,18
ziyade,18
kâinat,17
âhiret,17
bâki,16
sair,16
muhabbet,16
kat’î,15
ulvî,15
hak,15
beyan,14
hadsiz,14
mübarek,14
âlem,13
fâni,13
âli,13
mevcudat,13
umum,13
aziz,13
aleyhissalâtü vesselâm,13
hâlis,13
mü’min,13
aleyhisselâm,12
esbab,12
inkişaf,12
nükte,12
dalâlet,12
kader,12
adâvet,12
mevt,11
adem,11
hususan,11
malûm,11
muvafık,11
cilve,11
hâşâ,11
tabir,11
ehl-i dünya,11
musibet,11
inkılâp,10
küre-i arz,10
ekser,10
muvakkat,10
mânen,10
gayet,10
melâike,10
kudret,10
lisan,10
selâmet,10
düstur,10
ehl-i iman,10
fevkinde,9
saadet,9
âhir,9
zâhiren,9
peder,9
elhasıl,9
haşiye,9
muhtelif,9
rahmet-i ilâhiye,9
mukàbil,9
izah,9
nuranî,8
cüz’î,8
menzil,8
zîhayat,8
cereyan,8
hissiyat,8
temsil,8
elem,8
şefkat,8
vahdet,8
nihayetsiz,8
nefs,8
rahîm,8
keramet,8
ebedî,8
tarafgirlik,8
hayır,8
şer,8
kâfir,8
beşer,8
risale,8
ehemmiyet,8
evliya,7
çendan,7
semâvât,7
ehl-i dalâlet,7
şedit,7
vücud,7
nur,7
semâ,7
hâkezâ,7
farz etmek,7
kaide,7
acip,7
efrad,7
medar,7
saadet-i ebediye,7
acz,7
fıtrat,7
harekât,7
resul-i ekrem,7
sahabe,7
muhalif,7
âdi,7
muvakkaten,7
burhan,7
muhal,7
şehadet,7
mazi,7
müstakbel,7
mahiyet,7
iktiza,7
nev-i beşer,7
nisbeten,7
taife,7
menfi,7
istinad,7
vecih,7
maslahat,7
âlem-i islâm,7
mühim,6
telâkki,6
âlem-i berzah,6
ihsan,6
meâl,6
fenâ,6
kanaat,6
kamer,6
münasip,6
esmâ,6
gaflet,6
libas,6
tevekkül,6
zahirî,6
tasavvur,6
kasem,6
sünnet,6
inşaallah,6
velâyet,6
veraset-i nübüvvet,6
elîm,6
azîm,6
binaen,6
esrar,6
fehm,6
misal,6
hayvânât,6
ism-i Âzam,6
nev’,6
saniyen,6
mahkûm,6
divane,6
âlem-i şehadet,6
mesâil,6
vücut,6
âyine,6
kerîm,6
muzır,6
muharebe,6
ihlâs,6
evham,6
hâdisât,6
zikretmek,6
tahammül,6
azamet,6
kelâm,6
mertebe,5
muhtasar,5
tenvir,5
velî,5
âhirzaman,5
berzah,5
hadis,5
rüya-yı sadıka,5
tezahür,5
vakıa,5
ednâ,5
intizam,5
mahlûk,5
mizan,5
nevm,5
valide,5
işârât,5
mâlik,5
fena,5
mecazî,5
muvaffak,5
hususî,5
tabiat,5
meşakkat,5
salisen,5
iktisat,5
müteveccih,5
saltanat,5
zemin,5
belâğat,5
kesretli,5
nefer,5
velâyet-i kübrâ,5
hakaik-i islâmiye,5
seyr ü sülûk,5
hüccet,5
ittifak,5
münafık,5
itibarıyla,5
ubûdiyet,5
ihata,5
nefs-i emmâre,5
bahusus,5
hırs,5
inkılâp etmek,5
feyz,5
iltizam,5
âlem-i gayb,5
kader-i ilâhî,5
küllî,5
mecmua,5
icad,5
rivayet,5
lâtif,5
esmâ-i ilâhiye,5
küfür,5
esfel-i sâfilîn,5
asfiya,5
menfaat,5
nefy,5
sâfi,5
telif,5
zuhur,5
içtihad,5
deccal,5
hakîm,5
müteessir,5
hâdise,5
hayat-ı ebediye,5
avâm,5
kudsî,5
hüküm,5
şuur,5
şe’n,5
ihtiyar,5
beşer kelâmı,5
kelâmullah,5
beyan etmek,5
hazret-i imam-ı ali,5
tabaka-i hayat,4
kesb,4
letâfet,4
nuraniyet,4
dünyevî,4
muhafaza,4
mukaddime,4
tedbir,4
vücuh,4
arz,4
istirahat,4
mahlûkat,4
mazhariyet,4
müptelâ,4
hararet,4
aşk-ı hakikî,4
aşk-ı mecazî,4
haricî,4
zâil,4
heyet,4
umumî,4
daimî,4
meyusâne,4
sürur,4
tevellüt,4
tiryak,4
biçare,4
enbiya,4
haslet,4
ittiham,4
mezkûr,4
mükellef,4
zillet,4
hissedar,4
kemâl-i intizam,4
sür’at,4
zerre,4
zîşuur,4
gaybî,4
eşya,4
şems,4
kesret,4
ehl-i hakikat,4
hengâm,4
istihdam,4
vâcibü’l-vücud,4
fıkra,4
nazenin,4
hakaik-i imâniye,4
tarikat,4
hakaik,4
itikad,4
müşkül,4
zındıka,4
hamiyet,4
alâkadar,4
zulmet,4
bizzarure,4
ümmet,4
i’câz,4
nezih,4
zîruh,4
ikram,4
izhar,4
bahtiyar,4
istikamet,4
hakaik-i imaniye,4
beyan etme,4
kàbil,4
