kelime,frekans
cenâb-ı hak,20
hikmet,18
tefsir,15
kâinat,12
hakikat,12
tebliğ,11
hülâsa,11
ihtar,10
i’câz,9
belâğat,9
nevi,9
hâlık,9
beyan etmek,8
binaen,8
umumî,8
lisan,8
mevcudiyet,8
cihet,8
tevhid,8
şer,8
dalâlet,8
muhtevî,8
mevzu,8
beşer,7
muhtelif,7
bilhassa,7
âhenk,7
hürmet,7
muharrir,7
mukaddes,7
müsteşrik,7
kelâm,6
muhalif,6
menba,6
binaenaleyh,6
câmi,6
tecellî etmek,6
kudret,6
azamet,6
itikad,6
semâvî,6
nezahet,6
kudsî,6
tercüme,6
zât-ı kibriyâ,6
mutaassıp,6
rezilet,6
talim,6
izah,5
cüz,5
münasebet,5
nazm,5
cemâl,5
münhasır,5
ihlâs,5
kaide,5
mâlik,5
ilâhî,5
kezâ,5
takdim,5
füruat,5
hamd,5
mâkabli,5
mahlukât,5
iane,5
tevfik,5
hidayet,5
bâtıl,5
iffet,5
ziyade,5
beşeriyet,5
tetkik,5
inkişaf,5
nokta-i nazar,5
hıristiyan,5
telâkki,5
ulviyet,5
zaaf,5
ulvî,5
akide,5
mecelle,5
mukabil,5
telkin,5
tertip,5
intişar,5
beraat,5
belâgat,4
me’haz,4
haşiye,4
mahiyet,4
umum,4
remiz,4
beyan,4
itibar,4
kur’ân-ı azîmüşşan,4
nazar-ı dikkat,4
tasdik,4
hâiz,4
zuhur,4
haşir,4
makasıd-ı erbaa,4
risalet,4
saadet-i ebediye,4
besmele,4
delâlet etmek,4
nizam,4
icap etmek,4
kudret-i ezeliye,4
malûm,4
vücud,4
hâvi,4
sıfat,4
keza,4
elfaz,4
hasıl olmak,4
hak,4
itibarıyla,4
alâkadar,4
istihsan,4
dimağ,4
filozof,4
doktor maurice,4
mütercim,4
fevkalâde,4
filhakika,4
arapça,4
hâdim,4
hususiyet,4
cihan,4
esâsât,4
esasat-ı kur’âniye,4
fazilet,4
hâlıkın hukuku,4
hukukullah,4
kavanin-i tabiiye,4
keşfiyat,4
mahlûkatın hukuku,4
mesai,4
mesâil,4
münasebât,4
raptetmek,4
sarf etme,4
sarih,4
suret,4
şâyân,4
taarruz etme,4
takarrub,4
telif,4
vücut bulma,4
iktisat,4
irad etme,4
vuku bulma,4
ilham,4
mükemmel,4
şayan,4
vahdâniyet,4
haşmet,4
muhafaza,4
sâlik,4
ecdad,4
düstur,3
mücmel,3
nazar,3
saniyen,3
zaruret,3
delâlet,3
mâni,3
nükte,3
sair,3
kur’ân-ı hakîm,3
lâfz,3
vehim,3
kelâmullah,3
küllî,3
mertebe,3
nev-i beşer,3
sadef,3
taife,3
âzamî,3
hüsün,3
israf,3
hitap,3
acz,3
azîm,3
ibare,3
tashih,3
müteveccihen,3
nübüvvet,3
mevcudat,3
temin etmek,3
hasr,3
haşr,3
mukadder,3
istilzam etmek,3
celâl,3
havf,3
sıfât-ı kemâliye,3
ikmal etmek,3
iktiza etmek,3
makbul,3
zira,3
şeriat,3
zerrat,3
muhalefet,3
müstesna,3
sâni,3
kezalik,3
vaz etmek,3
esbab,3
tevekkül,3
zamir,3
adl,3
mü’min,3
sebat,3
sırât-ı müstakîm,3
şecaat,3
nihayet,3
enbiya,3
âciz,3
kabilinden,3
ahkâm,3
akıbet,3
lütuf,3
bîçare,3
saadet,3
vecih,3
âzâde,3
mümtaz,3
nâşir,3
nur çeşmesi,3
temin etme,3
ezelî,3
fesahat,3
mu’cize,3
mütehassıs,3
âyet,3
edebî,3
mülhem,3
tahammül,3
tecellî,3
âyât,3
muhafız,3
şükran,3
aziz,3
esasat,3
nazarında,3
ulûhiyet,3
i’tilâ,3
mukadderat,3
seciye,3
seyyal,3
i’cazkâr,3
misal,3
takrir,3
tebcil,3
âlî,3
neşr,3
sekene,3
hakiki,3
mübarek,3
âhiret,3
asır,3
âyât-ı kur’âniye,3
eski said,2
gayet,2
îcâz,2
muhtasar,2
salisen,2
telif etmek,2
tenbih,2
birinci harb-i umumî,2
işârât,2
kur’ân-ı mu’cizü’l-beyan,2
nifak,2
risale,2
sünuhat,2
ulema,2
arabî,2
cezalet,2
envâ,2
cüz’î,2
eyyam-ı mübareke,2
hakikaten,2
harb-i umumî,2
ittihaz etmek,2
kelâm-ı ezelî,2
muayyen,2
îma,2
maksud,2
murad,2
esrar,2
hasebiyle,2
izhar etmek,2
kat’î,2
nakış,2
tabakat-ı beşer,2
cemaat,2
hakaik-ı kur’âniye,2
şümûl,2
taassup,2
caiz,2
dehâ,2
emniyet,2
husule gelmek,2
itimad,2
küll,2
tenasüp,2
istikbal,2
muvafık,2
takdir,2
anâsır-ı esasiye,2
benî adem,2
celb etmek,2
hilkat,2
kafile,2
mahlûk,2
mâzi,2
istidat,2
müşahhas,2
sarahaten,2
ziyadar,2
câr,2
kezâlik,2
kıyamet,2
mecrûr,2
mezkûr,2
gaffar,2
müstakil,2
müteallik,2
rezzâk,2
tazammun etmek,2
abd,2
nisbet,2
tesir,2
zât-ı akdes,2
bekà,2
mütemmim,2
rahîm,2
rahmân,2
ihsan,2
in’am,2
me’nus,2
mütevakkıf,2
tâdâd,2
terakki,2
imtisal,2
nüsha,2
şükr-ü örfî,2
tasavvur,2
tecellîgâh,2
tezahür etmek,2
uzuv,2
ecza,2
mazhar,2
tahrik etmek,2
gayr-ı mütenâhi,2
ihtiva etmek,2
imtisalen,2
şehadet,2
tasavvur etmek,2
celp,2
hasis,2
rahmet,2
ref etmek,2
daire-i esbab,2
ömr-ü beşer,2
tabiatıyla,2
vuku,2
cem’ sîgası,2
mezheb,2
müstetir,2
arş,2
ehl-i tevhid,2
muhabbet,2
râci,2
tâbi olmak,2
mukaddeme,2
temerrüd,2
âfâkî,2
bâtınî,2
burhan,2
dahilî,2
enfüsî,2
halk,2
haricî,2
hicap,2
i’tâ,2
ihdas,2
inkılâb,2
inzal,2
irsal,2
iskân,2
mâruz,2
masdar,2
mezc,2
müştak,2
müteaddit,2
taaddüt etmek,2
tagayyür,2
zâhirî,2
ifrat,2
iştiha,2
kuvve-i gadabiye,2
lâkin,2
tefrit,2
vasat,2
kemâl,2
lâfız,2
butlan,2
şe’n,2
tebeddül,2
hakaik-i nisbiye,2
kubuh,2
meyletmek,2
tebeî,2
fırka,2
fısk,2
galebe,2
ism-i fâil,2
ism-i mef’ul,2
nefis,2
ecram,2
hacet,2
tevahhuş etmek,2
semâ,2
münafi,2
ruh,2
tekerrür,2
adalet,2
ezcümle,2
meziyet,2
senâ,2
tazammun,2
beyanat,2
kemal-i hürmet,2
muasır,2
münzel,2
arz,2
haiz,2
muvaffakiyet,2
daima,2
iftihar,2
mektep,2
münevver,2
amelî,2
bâtıl itikad,2
beşerî,2
esasat-ı diniye,2
gayr-ı ahlâkî,2
gayr-i beliğ,2
hudut,2
incil,2
isnad,2
kitab-ı mukaddes,2
mebzuliyetle,2
muavenet,2
muharref,2
münezzeh,2
nakîsa,2
nezâhet,2
tarümar,2
tenvir,2
tevrat,2
üslûp,2
bahr-i muhit-i atlasî,2
filozofane,2
ganj nehri,2
hakkaniyet,2
hâşâ,2
ingiltere,2
inkişaf-ı fikr,2
ipham,2
izhar,2
kabil-i temyiz,2
kanaat,2
