kelime,frekans
aziz,177
sıddık,151
şakirt,144
mübarek,119
cenâb-ı hak,115
cihet,94
şükür,92
ziyade,89
hakikat,88
risale,85
inşaallah,85
suret,84
umum,79
ehemmiyetli,74
kıymettar,72
fevkalâde,56
âmin,56
ihlâs,55
hususan,55
nazar,53
nam,51
havali,51
hadsiz,50
tevafuk,50
mukabil,49
hâlis,49
hakikî,49
keramet,46
beyan,45
haşiye,42
fıkra,42
muhafaza,42
ehemmiyet,40
nevi,40
âhir,39
ihtar,39
kudsî,37
rahmet,37
münasebet,37
nüsha,36
risaletü’n-nur,35
biçare,34
bilhassa,34
sadık,34
musibet,33
alâkadar,33
ehl-i dalâlet,33
sadakat,33
mânen,32
mesrur,32
ihtiyat,30
sebat,30
sürur,30
fütuhat,30
sair,29
acip,29
evvel,27
has,27
metanet,27
cereyan,27
şahs-ı mânevî,26
intişar,26
ekser,26
taarruz,26
hissedar,26
hizmet-i kur’âniye,25
ehl-i iman,25
saniyen,25
emare,25
cüz’î,25
mâsum,25
hususî,24
binaen,24
âhiret,24
muvaffak,24
fevkinde,23
münasip,22
hikmet,22
düstur,22
sebatkâr,22
bâki,22
tevakkuf,22
muhabere,21
hakaik-i imaniye,21
kat’î,21
mânâ-yı işârî,21
küllî,21
kur’ân-ı mu’cizü’l-beyan,21
dalâlet,21
ihsan,21
kâinat,21
lâhika,21
mütemadiyen,20
ebeden,20
beyan etme,20
muhalif,20
âlem-i islâm,20
merhum,20
müteaddit,19
muvaffakiyet,19
âciz,19
zarfında,19
tesanüd,19
derd-i maişet,19
vilâyet,18
Âyetü’l-kübrâ,18
kat’iyen,18
tâbir,18
hakikaten,18
ulema,17
hüsn-ü zan,17
lisan,17
medar,17
tashih,17
fütur,17
ümmî,17
umumî,17
tasdik,16
tefsir,16
ehl-i dünya,16
selâmet,16
ezcümle,16
lâtif,16
âhirzaman,16
rahmet-i ilâhiye,16
kerametkârâne,16
nev’,16
evvelâ,16
istifade,16
ehl-i hakikat,15
istikbal,15
defter-i a’mâl,15
kesretli,15
münafık,15
erkân,15
kâfi,15
hasenat,15
mazhar,15
hemşire,15
hayat-ı içtimaiye,15
ittifak,15
vâris,14
mu’cizât-ı ahmediye,14
maatteessüf,14
imdad,14
huruf,14
minnettar,14
gaybî,14
tarikat,14
galebe,14
mukabele,14
dehşetli,14
hamd,13
iştiyak,13
lillâhilhamd,13
had,13
mu’cize,13
ebedî,13
evham,13
müşahede,13
makbul,13
cenâb-ı erhamürrâhimîn,13
bârekâllah,12
irtibat,12
iştirak,12
hadis,12
inâyet-i ilâhiye,12
izale etme,12
cemaat,12
mütalâa,12
mukabele etme,12
zelzele,12
salisen,12
hüccet,12
telif,12
küre-i arz,12
inayet,12
meşgale,12
nükte,12
asır,12
medrese-i nuriye,12
hayat-ı dünyeviye,12
medrese-i nûriye,12
berzah,11
mahiyet,11
vâkıa,11
kâtip,11
burhan,11
arabî,11
azîm,11
ihtiyar,11
hamd ü senâ,11
taharrî,11
zâlim,11
makam-ı cifrî,11
yekûn,11
tahattur,11
şedde,11
rüfeka,11
sefahet,11
istimal,11
izah,11
bilfiil,11
emsal,11
nev-i beşer,11
semâvî,11
şefkat,11
hizmet-i imaniye,11
elhak,11
musibetzede,11
enaniyet,11
mâşaallah,10
tasdik etme,10
evliya,10
nefs,10
nefs-i emmâre,10
fedakâr,10
nâşir,10
peder,10
mağlûbiyet,10
maişet,10
mukavemet,10
hiss-i kablelvuku,10
mânidar,10
valide,10
leyle-i kadir,10
muvakkat,10
niyaz,10
zındıka,10
hengâm,10
arz-ı hürmet,10
müstehak,10
müdakkik,10
cilve,10
hurufat,10
ekseriyet-i mutlaka,10
cazibedar,10
nisbeten,10
elîm,10
rükün,10
gaflet,10
tesirli,10
hane,10
mâni,9
şerait,9
hasene,9
muktedir,9
hülâsa,9
inşirah,9
inâyet,9
muannid,9
müştak,9
kur’ân-ı hakîm,9
muavenet,9
zahir,9
zaruret,9
dostâne,9
teberrük,9
ramazan-ı şerif,9
tenvin,9
tetabuk,9
alâkadarlık,9
zulümat,9
himmet,9
dirhem,9
mezkûr,9
tecavüz,9
heyet,9
tezahür,9
elem,9
uhrevî,9
tesanüt,9
tab’,9
tenkit,9
hizmet-i nuriye,9
ecel,8
mevt,8
ihsas,8
mahviyet,8
fâni,8
karye,8
şehadet,8
mürşid,8
mukaddeme,8
beşaret,8
nefis,8
makbuliyet,8
şevk,8
desise,8
izale,8
tahribat,8
hadis-i şerif,8
tiryak,8
hâtime,8
celb,8
muhterem,8
mahrem,8
i’câz,8
sadâkat,8
teessür,8
hıfz,8
aleyhissalatü vesselâm,8
elzem,8
hakaik,8
nümune,8
mücahid,8
mazlum,8
mutabık,8
müteessir etme,8
mükellef,8
mukteza,8
telâkki,8
hayat-ı uhreviye,8
temsil,8
mecmua,8
tâbi,8
merhume,8
radıyallahu anh,8
fedakârâne,8
meşrep,8
işârât-ı kur’âniye,8
istifade etme,8
