kelime,frekans
etmek,430
hakikat,179
ehl,104
etme,94
islâm,90
aziz,83
hakikî,83
âlem,83
islâmiye,77
imaniye,65
hak,62
sıddık,61
ilâhiye,61
kur’âniye,58
rahmet,58
nevi,57
umum,57
beyan,55
mecmua,54
saniyen,54
cenâb,52
eden,50
ilâhî,49
muhafaza,49
mukabil,48
hayat,48
intişar,48
hizmet,47
nazar,46
kat’î,45
mutlak,45
ve,44
hususan,44
edilmek,43
ihlâs,42
acip,42
binaen,41
kur’ân,41
alâkadar,41
kanaat,40
ruh,40
nüsha,40
can,39
hakaik,39
umumî,39
beraat,39
saadet,39
tefsir,38
kudsî,38
âsâyiş,38
olmak,38
u,37
suret,37
muhalif,36
kanun,36
beşer,36
diyanet,35
risale,35
vaziyet,35
hikmet,35
temin,35
inşaallah,34
müsadere,33
kudret,33
salisen,32
medâr,32
şükür,32
kat’iyen,31
şakirt,31
neşir,31
has,31
hadsiz,31
mazhar,31
haşiye,31
kemâl,30
cereyan,30
biçare,30
tahribat,29
nuriye,29
neşretmek,28
mâneviye,28
bedel,27
kıymettar,27
ihtar,27
mahkeme,27
mânevî,27
mukabele,26
tetkik,26
küllî,26
esasî,26
esas,26
zülfikar,25
hakîm,25
adalet,25
ihsan,25
tab,24
takdir,24
şerif,24
tasdik,24
iman,24
kâinat,24
vazife,23
zemin,23
âhir,23
riyaseti,22
hâlet,22
heyet,22
arz,22
meb’us,22
hüsn,21
nur,21
mahsus,21
düstur,21
hemşire,21
temyiz,21
vukuf,21
ittiham,21
müdafaat,20
hususî,20
malûmat,20
havale,20
zerre,20
medrese,20
men,20
müellif,20
dalâlet,20
mu’cize,20
ulûm,19
hal,19
emare,19
istibdad,19
muvaffak,19
azîm,19
mevzu,19
şark,19
cihet,19
havali,18
muvaffakiyet,18
muhterem,18
uhuvvet,18
olma,18
mahiyet,18
medar,18
hariç,18
su,18
ekser,18
ilmiye,17
serbestiyet,17
uhrevî,17
içtimaiye,17
erkân,17
istida,17
menfaat,17
sevk,17
mâsum,17
âhiret,17
umumiye,17
sürur,16
ecza,16
cilve,16
inayet,16
niyaz,16
selâmet,16
reis,16
hâlis,16
küfr,16
şekvâ,16
ulema,16
mezkûr,16
ü,16
ihtiyar,16
tashih,15
hakikaten,15
zaruret,15
arabî,15
berâ,15
elzem,15
emsal,15
şehadet,15
ittihad,15
muarız,15
tahsin,15
hadis,15
intibah,15
mu’cizât,15
