kelime,frekans
etme,191
etmek,43
âlem,27
beşer,25
olma,24
nazar,23
kudret,22
nokta,20
hayat,19
meyl,19
islâm,18
islâmiye,18
ve,18
gayr,17
şeriat,16
umum,14
düstur,14
nefs,13
kaziye,13
kâinat,12
cemaat,11
ezeliye,11
nazara,10
eden,10
sûret,10
tazammun,10
zerre,10
hakikat,9
saadet,9
nihayet,9
mâhiyet,9
kemâl,9
ziyade,9
küll,9
evsaf,9
medeniyet,9
diniye,9
ehl,8
mutlak,8
mutlaka,8
müteveccih,8
rabıta,8
teavün,8
izzet,8
küre,8
ferd,8
adalet,8
mizan,8
nispet,8
melekûtiyet,8
cumhur,8
efkâr,8
zaaf,8
hak,7
derece,7
sa’y,7
lâzım,7
menfi,7
nükte,7
zerrat,7
icad,7
vaz,7
külliye,7
şems,7
zaruriye,7
vücud,7
nefis,7
zulüm,7
zan,7
cihet,6
içtimaiye,6
istikbal,6
muhafaza,6
hiss,6
arz,6
celb,6
ezelî,6
mâsiyet,6
netice,6
şâmil,6
nev’,6
tecavüz,6
fıtrat,6
tecellî,6
mebde,6
ruh,6
neş’et,6
misâl,6
câmi,6
desatir,6
mübalâğa,6
belâgat,6
cüz’,6
ene,6
hodgâmlık,6
nisbeten,6
mâsume,6
azîm,6
esbab,6
mülk,6
muzaaf,6
husumet,6
hilâfet,6
uhuvvet,6
musibet,6
cereyan,6
hevâ,6
fikr,6
hürriyet,5
zahiren,5
ehemmiyet,5
kesret,5
sükût,5
zâtî,5
tabiat,5
terettüp,5
unsuriyet,5
halk,5
kuvvet,5
vahdet,5
mahdut,5
harap,5
hariç,5
daime,5
münteşire,5
mezc,5
nev,5
burhan,5
hasenat,5
sıfat,5
edilme,5
teshil,5
timsal,5
umur,5
meyil,5
lâkayt,5
mevki,5
hasım,5
inzimam,5
tahdit,5
teşmil,5
hazıra,5
mükâfat,5
istinat,5
meşihat,5
ukde,5
ekseriyet,5
inkişaf,5
istinad,5
sefahet,5
zemin,5
mukabele,4
tefsir,4
haşiye,4
menfaat,4
rüya,4
insaniyet,4
ihsan,4
libas,4
muharrik,4
rağbet,4
hamiyet,4
hayır,4
hitab,4
hususî,4
hüsün,4
muhtelif,4
tabiiye,4
müncer,4
müsamaha,4
mütekellim,4
tabakat,4
emr,4
fırka,4
muayyen,4
heyet,4
gelme,4
intibah,4
istilzam,4
nefer,4
iştirak,4
rızık,4
şefkat,4
tekebbür,4
âsâr,4
muhassal,4
hayvan,4
ihzar,4
ekber,4
izhar,4
kader,4
(etmek),4
tesanüd,4
cazibe,4
umumiye,4
feyz,4
katarat,4
lemeat,4
müntehâ,4
zıll,4
bilfiil,4
istidad,4
fıtrî,4
mazhar,4
nâmütenâhi,4
şerr,4
terekküp,4
binaen,4
efrad,4
kâfi,4
mümkinat,4
ilâhî,4
taallûk,4
avâik,4
rüçhan,4
tecezzî,4
teşahhusat,4
hakikî,4
lüzum,4
tabiî,4
asğar,4
hususiyat,4
imtisal,4
muvazene,4
tahrik,4
mukavemet,4
fıtriye,4
dünyevî,4
müslim,4
aksülâmel,4
selef,4
siyaset,4
ekberü’l,4
kebâir,4
eşkâl,4
fıtraten,4
hodbinlik,4
hodendişlik,4
inhisar,4
kuvâ,4
mecma,4
perişaniyet,4
şahs,4
fetvâ,4
ahkâm,4
sevk,4
şedit,4
menba,4
sû,4
şûrâ,4
mânevî,4
vazife,4
mânen,4
hayatiye,4
uzmâ,4
beyne,4
galebe,4
menfî,4
milliyet,4
rahmet,4
şe’n,4
ü,4
muhabbet,4
bidayet,3
izale,3
suret,3
tabir,3
tasavvur,3
harb,3
umumî,3
kıymettar,3
mukaddeme,3
almak,3
vaziyet,3
kudsiyet,3
vicdan,3
vüs’at,3
a’sâr,3
âkıbet,3
amel,3
beyan,3
ekseriya,3
îcâz,3
nisbî,3
sâlihat,3
semere,3
mukaddemat,3
filcümle,3
müteselsil,3
revabıt,3
cinsiye,3
tearüf,3
kavî,3
müphem,3
kesif,3
âzâ,3
olunan,3
kalb,3
maraz,3
terk,3
eser,3
istihale,3
menşe,3
müttehid,3
câzibe,3
bâki,3
küllî,3
münâfi,3
mütelezziz,3
yakaza,3
hayr,3
(vermek),3
inkılâp,3
müstaid,3
vermek,3
semerat,3
şiddet,3
tevellüt,3
vâki,3
zımnen,3
acip,3
ûlâ,3
çendan,3
hârikulâde,3
mantıkan,3
müreccah,3
alma,3
kâfire,3
