kelime,frekans
etmek,55
etme,32
olma,15
nazar,10
adem,10
haşiye,9
âlem,8
şeriat,8
cerbeze,8
seyyie,8
hâkim,7
ihtilâf,7
olmak,7
hikmet,7
avam,7
sebeb,6
fetvâ,5
gayr,5
galebe,5
delil,5
ene,5
ecnebî,5
kader,5
islâm,4
meclis,4
nev’i,4
beşer,4
el,4
fillah,4
zâlim,4
ümmet,4
ve,4
kemâl,4
tayy,4
vâlide,4
diniye,4
hak,4
ahlâk,4
himaye,4
âliye,4
lisân,4
medeniyet,4
teşci,4
gaye,4
havas,4
mecrâ,4
müncer,4
tâdil,4
tarik,4
adalet,4
taaddüd,4
kabul,4
ihtilâfat,3
intihap,3
şahs,3
ulema,3
çalmak,3
hevâ,3
hüdâ,3
kavl,3
âli,3
nokta,3
şems,3
telkih,3
aşiret,3
bâtıl,3
islâmiye,3
edilme,3
makasıd,3
müteferrik,3
fesad,3
hasenat,3
murdar,3
hayal,3
ezeliye,3
âdilâne,3
maslahat,3
râcih,3
seyyiat,3
acip,3
efkâr,3
ezhan,3
gürûh,3
mücahidîn,3
mazarrat,3
mesail,3
neşvünemâ,3
tevellüd,3
mahz,3
merkez,3
hilâfet,3
kuvvet,3
mukabele,3
acz,3
aşk,3
hakikat,3
çendan,3
inkâr,3
encümen,2
şûrâ,2
istidat,2
mağz,2
meb’usan,2
mevzu,2
rey,2
cumhur,2
meçhul,2
azîm,2
inkılâp,2
inkişaf,2
olunan,2
lâkin,2
mizaç,2
mukteza,2
mutlak,2
nasraniyet,2
mühimme,2
selef,2
tazammun,2
ziya,2
tenkit,2
hakaik,2
kevn,2
âlûd,2
cinan,2
cennet,2
dakika,2
vâhide,2
efrad,2
enva,2
galip,2
garaib,2
hüzün,2
engizâne,2
kıyas,2
mahsusat,2
matem,2
me’yusiyet,2
muhassal,2
mukteziyat,2
mustakzer,2
müberra,2
müncezip,2
müteaffin,2
müzehher,2
müzeyyen,2
nakais,2
nazarında,2
rakkasâne,2
râyiha,2
kerihe,2
sudur,2
sümbüllendirmek,2
hazır,2
şe’n,2
tasavvur,2
tasvir,2
tavr,2
acîb,2
mekân,2
zaman,2
temaşa,2
temsil,2
tenezzüh,2
tevbih,2
vehim,2
vehmen,2
fena,2
hasım,2
değil,2
izzet,2
ruh,2
tenkidat,2
muayyen,2
mülzim,2
sâmiye,2
azlem,2
câni,2
dehalet,2
fitnekâr,2
halâskâr,2
harb,2
vahşiyane,2
hassa,2
mümeyyize,2
hissiyat,2
hiyanet,2
hizbüşşeytan,2
ihtilâle,2
verme,2
imha,2
intifa,2
irtikâp,2
maatteessüf,2
mel’un,2
menfaat,2
menfîlik,2
mim’siz,2
mitralyoz,2
müteessir,2
nazir,2
tahripkâr,2
tathir,2
tel’in,2
zahiren,2
zâlimâne,2
hubbu,2
esefâ,2
fakr,2
fukara,2
hayalden,2
tenasi,2
nisyan,2
hasıl,2
ihsan,2
ittihad,2
mağlûp,2
mahviyet,2
maksad,2
mehâsin,2
müttefekun,2
aleyh,2
müttefik,2
namuskârane,2
nev’,2
peşkeş,2
gelme,2
sahih,2
merhamet,2
tevazu,2
şedit,2
tabur,2
tahakküm,2
taksim,2
edilmek,2
tefehhüm,2
tarz,2
telâkki,2
tefavüt,2
teferruat,2
tekebbür,2
vahdet,2
vuzuh,2
zaruriyât,2
kur’âniye,2
bidayet,2
inkılâb,2
cündüp,2
damar,2
zulüm,2
dest,2
düstur,2
elîm,2
fıtrat,2
insan,2
geda,2
içtimâi,2
sistem,2
kavanin,2
meşhur,2
kısas,2
hâl,2
maksud,2
mâtem,2
mezra,2
muntabık,2
musibet,2
muvakkat,2
müstehak,2
secayâ,2
hasene,2
sevâb,2
âhiret,2
sukut,2
şah,2
fıtriye,2
tabaka,2
meşru,2
temâyülât,2
şerriye,2
tilâvet,2
abd,2
izafiye,2
ahkâm,2
bab,2
fitne,2
binaenaleyh,2
ehvenüşşer,2
evham,2
fıtraten,2
gaddar,2
galiben,2
hayr,2
heyet,2
içtimaiye,2
heyhat,2
hükümfermâ,2
hüsn,2
hakikî,2
ifrağ,2
iktiza,2
irad,2
kalb,2
habise,2
muaddel,2
muaddil,2
muvafakat,2
müeddi,2
müesses,2
müraat,2
ref’,2
semere,2
serrişte,2
şerait,2
şübehat,2
zevcat,2
tabiat,2
telekkuh,2
vâzı,2
esaret,2
sübut,2
hizmet,2
âdileştirmek,2
ahsen,2
azîmleştirmek,2
cevaz,2
katl,2
ecza,2
ehak,2
fevkalâde,2
hasen,2
hatiat,2
ihtilât,2
(kabil,2
i),2
iltibas,2
is’âd,2
ittifak,2
kabil,2
imtizac,2
kavî,2
ecnebiye,2
maddiyat,2
mesai,2
meziyet,2
mukaddes,2
mücahid,2
müddet,2
taharrî,2
müsamaha,2
nahnü,2
nisbeten,2
şek,2
teavün,2
teşarük,2
sâik,2
ecsam,2
hâssa,2
mâlik,2
timsal,2
akval,1
ekseriyet,1
muntazam,1
hâli,1
intizam,1
istidadât,1
kari’,1
mâadâ,1
muhtelif,1
münasip,1
nazarıyla,1
naziresi,1
ratb,1
sual,1
şiddet,1
alâka,1
telepati,1
yâbis,1
âdem,1
âyine,1
bahşetme,1
berk,1
cerh,1
ekalliyet,1
etbâ,1
feveran,1
halef,1
hatar,1
hedm,1
hıfz,1
hicap,1
iltizam,1
insibağ,1
kavim,1
kaviyyen,1
mabeyn,1
mahsus,1
mukaddese,1
meczup,1
men,1
mevrus,1
meyelân,1
mezhep,1
millet,1
insaniye,1
muhalif,1
mukallit,1
mukayyed,1
musahhar,1
bırakma,1
müsademe,1
müşağabe,1
nefsülemir,1
rahmetli,1
sergerdan,1
islâmiyet,1
taassup,1
tahavvül,1
tamim,1
tecellî,1
tefeyyüz,1
teşerrüb,1
âlemi,1
amel,1
ayn,1
bedbin,1
câmi,1
delâil,1
buğzu,1
hûbbu,1
esas,1
merhametkâr,1
fasit,1
fesat,1
fikr,1
gàyât,1
harekât,1
ıstıfa,1
ikame,1
inşikak,1
kulûb,1
intıfa,1
istinad,1
müdahale,1
sâil,1
salisen,1
saniyen,1
ihtilaf,1
