kelime,frekans
etmek,112
etme,42
hak,25
olmak,21
cenâb,20
tefsir,19
hikmet,19
kur’âniye,16
beşer,15
beyan,14
kâinat,14
hakikat,14
umumî,13
i’câz,13
kudret,13
nazar,12
kur’ân,12
hakaik,12
hâlık,12
tevhid,12
hülâsa,12
belâğat,11
tebliğ,11
mevzu,11
ehl,10
kelâm,10
ihtar,10
itikad,10
belâgat,9
ilâhî,9
nevi,9
tecellî,9
olma,9
cihet,9
ve,9
hürmet,9
mukaddes,9
esasat,9
binaen,8
nazm,8
delâlet,8
lisan,8
mevcudiyet,8
zât,8
gayr,8
vücut,8
şer,8
dalâlet,8
tercüme,8
hukuku,8
muhtevî,8
bulma,8
telif,7
mahiyet,7
muhalif,7
muhtelif,7
bilhassa,7
saadet,7
temin,7
sıfât,7
(sıfatı),7
vücud,7
azamet,7
bâtıl,7
kuvve,7
âhenk,7
inkişaf,7
muharrir,7
kudsî,7
müsteşrik,7
şâyân,7
talim,7
vahdâniyet,7
harb,6
izah,6
cüz,6
hitap,6
ezelî,6
tetkik,6
menba,6
münhasır,6
binaenaleyh,6
câmi,6
mâlik,6
nur,6
erbaa,6
ism,6
kalb,6
nokta,6
ilâhiye,6
esbab,6
diniye,6
vuku,6
semâvî,6
arz,6
nezahet,6
âyât,6
kibriyâ,6
mutaassıp,6
tabiiye,6
rezilet,6
bahis,6
zuhur,5
münasebât,5
lâfz,5
muhafaza,5
münasebet,5
cemâl,5
irad,5
mazhar,5
ihlâs,5
kabil,5
kaide,5
haşir,5
risalet,5
kezâ,5
nizam,5
takdim,5
celâl,5
füruat,5
hamd,5
mâkabli,5
hakiki,5
mahlukât,5
sıfat,5
iane,5
tevfik,5
hidayet,5
huzur,5
iffet,5
ziyade,5
ahkâm,5
âyet,5
beşeriyet,5
hıristiyan,5
telâkki,5
ulviyet,5
zaaf,5
ulvî,5
akide,5
mecelle,5
mukabil,5
telkin,5
tertip,5
intişar,5
beraat,5
me’haz,4
mücmel,4
arabiye,4
ulema,4
haşiye,4
uhrevî,4
nev,4
azîm,4
umum,4
remiz,4
ayn,4
izhar,4
mu’cize,4
muhit,4
itibar,4
azîmüşşan,4
mütehassıs,4
dikkat,4
tasdik,4
âzâde,4
hâiz,4
anâsır,4
esasiye,4
celb,4
mâzi,4
makasıd,4
ebediye,4
besmele,4
haşr,4
resul,4
tazammun,4
icap,4
ezeliye,4
kemâliye,4
iktiza,4
irade,4
tekerrür,4
malûm,4
yed,4
hâvi,4
şeriat,4
tasavvur,4
âlem,4
kemâl,4
muhalefet,4
keza,4
elfaz,4
hasıl,4
tevekkül,4
zamir,4
tâbi,4
itibarıyla,4
temyiz,4
alâkadar,4
zulümat,4
mutlak,4
makam,4
istihsan,4
istinad,4
iman,4
mecmua,4
dimağ,4
filozof,4
doktor,4
maurice,4
kitab,4
mütercim,4
fevkalâde,4
filhakika,4
arapça,4
ahlâkî,4
beliğ,4
hâdim,4
hususiyet,4
cihan,4
esâsât,4
fazilet,4
hâlıkın,4
hukukullah,4
kavanin,4
keşfiyat,4
mahlûkatın,4
mesai,4
mesâil,4
raptetmek,4
sarf,4
sarih,4
suret,4
taarruz,4
takarrub,4
iktisat,4
ilham,4
mükemmel,4
şayan,4
imha,4
âlî,4
haşmet,4
neşr,4
sâlik,4
ecdad,4
asâ,4
düstur,3
eski,3
saniyen,3
zaruret,3
kur’ânî,3
nifak,3
mâni,3
nükte,3
sair,3
sünuhat,3
tahkik,3
arabî,3
izale,3
hakîm,3
vehim,3
kelâmullah,3
küllî,3
mertebe,3
sadef,3
taife,3
maksud,3
usul,3
âzamî,3
hüsün,3
israf,3
tezahür,3
arş,3
acz,3
emniyet,3
ibare,3
tashih,3
islâm,3
adem,3
müteveccihen,3
nübüvvet,3
kübrâ,3
mevcudat,3
hasr,3
mukadder,3
istilzam,3
havf,3
hayat,3
ikmal,3
makbul,3
zira,3
ihsan,3
esmâ,3
şehadet,3
zerrat,3
sîgası,3
müstesna,3
sâni,3
celp,3
kezalik,3
vaz,3
daire,3
galebe,3
ömr,3
cem’,3
fâil,3
burhan,3
adl,3
halk,3
mâruz,3
mü’min,3
sebat,3
sırât,3
müstakîm,3
şecaat,3
gadabiye,3
nihayet,3
enbiya,3
âciz,3
kabilinden,3
bizzat,3
daimî,3
akıbet,3
hakikiye,3
nefis,3
lütuf,3
bîçare,3
adalet,3
vecih,3
mümtaz,3
münzel,3
nâşir,3
çeşmesi,3
fesahat,3
hüsn,3
maarif,3
edebî,3
mülhem,3
tahammül,3
muhafız,3
şükran,3
aziz,3
kanaat,3
nazarında,3
ulûhiyet,3
i’tilâ,3
akaid,3
mukadderat,3
seciye,3
seyyal,3
i’cazkâr,3
misal,3
takrir,3
tebcil,3
sekene,3
mübarek,3
âhiret,3
asır,3
imaniye,3
musa,3
cephe,2
harp,2
derece,2
said,2
fatiha,2
gayet,2
îcâz,2
meram,2
mevcut,2
muhtasar,2
mütalâa,2
salisen,2
tatbik,2
tenbih,2
ulûm,2
birinci,2
ders,2
istifade,2
işârât,2
mu’cizü’l,2
meslek,2
risale,2
âhir,2
cezalet,2
envâ,2
ihtiyar,2
meyve,2
cüz’î,2
efkâr,2
eyyam,2
mübareke,2
hakikaten,2
ittihaz,2
kavâid,2
muayyen,2
rububiyet,2
îma,2
murad,2
esrar,2
hasebiyle,2
kat’î,2
külliyet,2
nakış,2
semere,2
tabakat,2
ahvâl,2
cemaat,2
icma,2
ihtisas,2
şümûl,2
taassup,2
caiz,2
dehâ,2
husule,2
gelmek,2
hürriyet,2
itimad,2
küll,2
mehmed,2
mânevî,2
tenasüp,2
kâmile,2
hakikî,2
istikbal,2
muvafık,2
takdir,2
benî,2
hilkat,2
kafile,2
mahlûk,2
vech,2
istidat,2
hey’et,2
müşahhas,2
sarahaten,2
ziyadar,2
câr,2
kezâlik,2
kıyamet,2
mecrûr,2
mezkûr,2
gaffar,2
müstakil,2
müteallik,2
rezzâk,2
abd,2
kesb,2
lâfza,2
nisbet,2
recâ,2
tesir,2
akdes,2
bekà,2
ilim,2
mütemmim,2
rahîm,2
rahmân,2
rızık,2
tedellî,2
in’am,2
mânâ,2
me’nus,2
mütevakkıf,2
tâdâd,2
terakki,2
imtisal,2
neş’e,2
nüsha,2
şükr,2
örfî,2
tecellîgâh,2
uzuv,2
gayb,2
ecza,2
intikal,2
intizam,2
tahrik,2
mütenâhi,2
ukalâ,2
ihtiva,2
imtisalen,2
hasis,2
rahmet,2
ref,2
dünya,2
tabiatıyla,2
incirar,2
mezheb,2
müstetir,2
muhabbet,2
muttasıf,2
râci,2
makamı,2
mukaddeme,2
temerrüd,2
