"kelime","anlam"
"evham etme","olmayan bir şeyi var zannederek şüphelenme, kuruntuya kapılma"
"mahrem","gizli olan, herkese gösterilmeyen"
"gayr-ı mahrem","gizli olmayan"
"esrar","sırlar"
"taharriyat","aramalar"
"tetkik","inceleme, araştırma"
"mûcib","gerektiren"
"evrak","sayfalar, yapraklar"
"Ankara ehl-i vukufu","Ankara mahkemesi bilirkişi heyeti"
"ittifak","birleşme"
"beraat","temize çıkma, suçsuz olduğunun anlaşılması"
"zarurî","zorunlu"
"hürmet","saygı"
"dâvâ","iddia"
"hazır","meydanda, göz önünde olan"
"tasdik etme","doğrulama, onaylama"
"reis","başkan, lider"
"mebus","milletvekili"
"erkân","devletin önde gelen idarecileri"
"intişar eden","yayılan"
"telifat","yazılmış kitaplar, eserler"
"zarfında","içinde"
"âsâyiş","bir yerin düzen ve güvenlik içinde bulunması durumu, güvenlik"
"vilâyet","il"
"zabıta","polis"
"taharri","arama tarama"
"iştigal eden","uğraşan"
"merkez-i hükûmet","yönetim merkezi"
"tahliye","serbest bırakma"
"iştiha","iştah; istek, arzu"
"meyil","eğilim, arzu"
"tereşşuhat","sızıntılar"
"emâre","alâmet, belirti"
"safahat","safhalar, aşamalar, dönemler"
"muannid","inatçı"
"müddeiumumî","savcı"
"vukuat","vâki olmuş, meydana gelmiş olan şeyler"
"imkânat","olabilirlikler, ihtimaller, olasılıklar"
"istimal etme","kullanma"
"mükerreren","defalarca"
"iddianame","savcının iddialarını topladığı ve soruşturma sonunda mahkemede okuduğu yazı"
"katl","öldürme"
"elhasıl","kısaca, özetle"
"divane","akılsız, deli"
"umûr-u dünya","dünya işleri"
"lâkayt","ilgisiz, duyarsız"
"saadet","mutluluk"
"ihlâs","içtenlik, samimiyet; ibadet ve davranışlarda sadece Allah’ın rızasını gözetme"
"tenezzül etme","inme, alçalma"
"tâciz etmek","sıkıntı vermek, rahatsız etmek"
"tazyik etmek","zorlamak, baskı yapmak"
"âsâyiş","bir yerin düzen ve güvenlik içinde bulunması durumu; güvenlik"
"nevi","çeşit, tür"
"ihanet","hainlik etmek; hakarette bulunmak"
"evham etmek","olmayan bir şeyi var zannederek şüphelenmek, kuruntuya kapılmak"
"beraat","temize çıkma, suçsuz olduğunun anlaşılması"
"cemiyet","topluluk, dernek, örgüt"
"cereyan","akım, fikir hareketi"
"dehâ","olağanüstü zeka ve akıl sahibi kimse"
"esrar","sırlar"
"hayat-ı dünyeviye","dünyaya ait hayat"
"hayat-ı içtimaiye","toplumsal hayat"
"hıfz-ı İlâhî","Allah’ın koruması, himayesi"
"idam-ı ebedî","bütün sevdiklerinden sonsuza dek ayrılış; geri dönmemek üzere sonsuza kadar yok oluş"
"ihtilâl","ayaklanma, karışıklık"
"inâyet-i Rabbâniye","Allah’ın inâyeti, ihsan ve ikramı"
"inayetkârâne","lütfederek, ihsan ve ikram ederek"
"kabil-i inkâr","inkâr edilebilir"
"keramet","Allah’ın bir ikramı olarak görülen olağanüstü hâl ve fiil"
"komite","kötü bir maksat için kurulmuş gizli cemiyet, dernek"
"mahrem","gizli"
"mazlumiyet","zulme uğramışlık"
"mübareze","karşı koyma, çarpışma"
"necat","kurtuluş"
"nezaret","gözetim altında tutma"
"risale","mektup, Risale-i Nur’un herbir bölümü"
"ruh u can","ruh ve can, bütün içtenlik"
"sırr-ı ihlâs","ihlâs sırrı; ibadet ve davranışlarda sadece Allah’ın rızasını gözetme"
"şakirt","talebe, öğrenci"
"tâbi","bağlı olma, uyma"
"tâciz","rahatsız etme"
"tarassut","gözetleme"
"tedbir","idare, daha önceden düşünüp önlem alma"
"temerrüd","inat etme, ayak direme"
"tetkikat","araştırmalar, incelemeler"
"uhrevî","âhirete ait"
"vâiz-i umumî","genel vaiz"
"vesika","belge"
"vilâyât-ı Şarkiye","Doğu illeri"
"zâyiât","kayıplar, zararlar"
"alâka","bağlantı, ilgi"
"Arş","göğün en yüksek katı; Cenâb-ı Hakkın sınırsız egemenliğinin tecellî ettiği yüce yer"
"Avrupa-perest","Avrupa düşkünü"
"azîmet-i şer’iye","dinî azimet; dinde takva ile hareket etmek"
"bedbaht","kötü bahtlı, talihsiz"
"bedduâ","Allah’tan birisi için kötülük isteme, kötü dua"
"beraat","temize çıkma, suçsuz olduğunun anlaşılması"
"beyhude","boşu boşuna, faydasız"
"bilâistisna","istisnasız, ayırt etmeksizin"
"cebr-i kanunî","kanunî zorlama"
"cihet","şekil, yön"
"hayat-ı içtimaiye","toplumsal hayat"
"hayat-ı siyasiye","siyasî hayat"
"hüccet","güçlü kanıt, delil"
"ittifak","birleşme, birlik"
"kanaat-i vicdâniye","vicdânî kanaat"
"mazlum","zulme uğramış"
"mevkuf","tevkif edilmiş, tutuklu"
"mûcib-i mes’uliyet","sorumluluk gerektiren"
"mûcip","gerektiren"
"muhalif","aykırı, zıt"
"nezaret","gözetim"
"nüsha","kopya"
"risale","küçük kitap; Risale-i Nur’daki herbir bölüm"
"ruhsat-ı şer’iye","dinin verdiği izin"
"tâdil etme","düzeltme"
"takke","şapka"
"takvâ","Allah’ın emirlerini tutup, günahlardan sakınma"
"tarassut","gözetleme"
"tasdik","doğrulama, onaylama"
"tevehhüm","olmayan birşeyi var saymak"
"zâlim","zulmeden, acımasız"
"zulüm","haksızlık, eziyet, işkence"
"zâfiyet","zayıflık, güçsüzlük"
"muhalefet","karşıt olma, aykırılık"
"tevehhüm etmek","olmayan bir şeyi varsayarak şüphelenmek, kuruntuya kapılmak"
"divane","deli, akılsız"
"minnet çekme","kendini borçlu hissetme"
"aziz","çok değerli, izzetli"
"sıddık","çok doğru"
"makbuliyet","kabul edilmişlik, geçerlilik"
"risale","küçük çaplı kitap; Risale-i Nur’un her bir bölümü"
"mecmua","düzenlenmiş şey, kitap"
"ziyade","çok, fazla"
"cihet","şekil, yön"
"Nurlar","Risale-i Nur’daki risaleler, bölümler"
"intişar","yayılma"
"umum","bütün, genel"
"gaybî","gayb âlemine ait"
"dâvâ","iddia, konu"
"ittifak","birleşme"
"sarahat","açıklık"
"vahdet-i mesele","konu birliği"
"emâre","alâmet, belirti"
"teyid etme","destekleme"
"keramet-i gaybiye","Allah’ın bir ikramı olarak, Onun sevgili kullarının olağanüstü bir şekilde gelecekle ilgili verdiği haberler"
"Ankara ehl-i vukufu","Ankara mahkemesi bilirkişi heyeti"
"tetkik etme","inceleme, araştırma"
"keramet","Allah’ın bir ikramı olarak, Onun sevgili kullarında görünen olağanüstü hâl ve fiil"
"tefsir","açıklama, yorum"
"ikram","İlâhî bağış ve ihsan"
"münasip","uygun"
"hadsiz","sınırsız"
"muarız","karşı çıkan"
"minnet çekme","kendini borçlu hissetme"
"kesretli","pek çok"
"kuvve-i mâneviye","mânevî güç, moral"
"gaybî","bilinmeyen, gayb âlemine ait"
"imdat","yardım"
"teşcî","cesaretlendirme"
"sebat","kararlı olma"
"metanet","sağlamlık, kararlılık"
"mecburiyet-i kat'iye","kesin zorunluluk"
"hodfuruşluk","kendi kendini beğenme"
"sukut","değerden düşme, değerini yitirme"
"ehemmiyet","değer, önem"
"ehl-i iman","Allah’a ve Allah’tan gelen her şeye inanan kimseler, mü’minler"
"dalâlet-i mutlaka","mutlak dalâlet, tam bir sapkınlık"
"uhrevî","âhirete ait"
"saadet","mutluluk"
"Ankara ehl-i vukufu","Ankara mahkemesi bilirkişi heyeti"
"ittifak","birleşme, fikir birliği"
"suret","nüsha, kopya"
"cem’an","bir yere toplamak suretiyle, toplanmış olarak"
"haşiye","dipnot, açıklayıcı not"
"ehl-i vukuf","bilirkişi heyeti"
"tenkit","eleştiri"
"kat'î","kesin bir şekilde"
"müdafaat","savunmalar"
"âhir","son"
"risale","küçük çaplı kitap; Risale-i Nur’un her bir bölümü"
"cüz'î","az, ferdî"
"sehiv","yanılma, şaşırma"
"telif edilen","yazılan"
"ecza","bütünü oluşturan parçalar, kısımlar"
"şakirt","talebe"
"âdi","basit, sıradan"
"muhabere","haberleşme"
"klişe","matbaada kullanılan, kabartma olarak resim veya yazılar çıkarılmış madenî levha"
"salâhiyet","yetki"
"mahiyet","esas nitelik, temel özellik"
"nev","çeşit, tür"
"tefsir","açıklama, yorum"
"hadis","Peygamber Efendimizin (a.s.m.) mübarek söz, fiil ve hareketi veya onun onayladığı başkasına ait söz, iş veya davranış"
"şerh","açıklama"
"âhiret","öteki dünya, öldükten sonraki ebedî hayat"
"akide","inanç"
"ibare","metin, cümle"
"temsil","analoji, kıyaslama tarzında benzetme"
"vak’a","hâdise, olay"
"esnaf","sınıflar, halk tabakaları"
"menkıbe","meşhur kimselerin hallerine dair hayat hikâyesi"
"ihtiva etmek","içermek"
"mevcud","var"
"teşkil eden","oluşturan, meydana getiren"
"müellif","telif eden, yazan"
"hasbî","samimî, karşılıksız"
"cemiyet","topluluk"
"teşkil etmek","oluşturmak"
"ihlâl","bozma"
"sarih","açık"
"şakirt","öğrenci, talebe"
"âdi","basit, sıradan"
"muhabere","haberleşme"
"nevi","çeşit, tür"
"sakîl","ağır"
