"kelime","anlam"
"âlem-i İslâm","İslâm dünyası (bk. a-l-m; s-l-m)"
"Arabî","Arapça"
"azîm","büyük, yüce(bk. a-ẓ-m)"
"aziz","çok değerli, izzetli, saygın (bk. a-z-z)"
"bedel","karşılık"
"bilâhare","daha sonra"
"Cami-i Emevî","Şam’daki Emevi Camii (bk. bilgiler – Câmiü’l-Emevî)"
"cemaat","namazı beraber kılan topluluk (bk. c-m-a)"
"ders-i içtimaî ve İslâmî","sosyal hayat ve İslâm dini hakkında verilen ders (bk. c-m-a; s-l-m)"
"ehl-i ilim","ilim ehli, âlimler (bk. a-l-m)"
"haiz","sahip olma"
"hakikat","doğru gerçek (bk. ḥ-ḳ-ḳ)"
"hasebiyle","cihetiyle, yönüyle, dolayısıyla"
"hiss-i kablelvuku","birşeyi olmadan önce hissetme duygusu"
"hutbe","İlâhî emir ve yasakları cemaate açıklamak ve hatırlatmak üzere söylenen söz, hitabe (bk. ḫ-t-b)"
"Hutbe-i Şâmiye","Üstad Bediüzzaman’ın Şam’daki Emeviye Camiinde verdiği hutbe (bk. bilgiler – Câmiü’l-Emevî)"
"iki harb-i umumî","iki dünya savaşı; Birinci ve İkinci Dünya Savaşları"
"irad etme","sunma, söyleme"
"istibdad-ı mutlak","tamamıyla baskıya dayalı yönetim, mutlak diktatörlük (bk. ṭ-l-ḳ)"
"kemâl-i kat'iyet","tam bir kesinlik"
"mukaddeme","ilk söz, başlangıç, giriş"
"müellif","bir kitabı telif eden, yazan"
"neşretme","yayınlama"
"risale","küçük çaplı kitap; Risale-i Nur’un her bir bölümü"
"sıddık","çok doğru; sadakatle bağlı olan (bk. ṣ-d-ḳ)"
"tab edilme","bir kitabın matbaada basılması (bk. ṭ-b-a)"
"tehir","erteleme, sonraya bırakma"
"tezahür","belirme, ortaya çıkma (bk. ẓ-h-r)"
"ulema","âlimler (bk. a-l-m)"
"âkıbet","son, sonuç, netice"
"amel","uygulama"
"batman","yaklaşık sekiz kiloya denk olan ağırlık ölçüsü"
"bîçare","çaresiz, zavallı"
"cihet","yön"
"dalâlet","Hz. Peygamber’in (a.s.m.) gösterdiği doğru yoldan ayrılma, sapkınlık (bk. ḍ-l-l)"
"dirhem","yaklaşık üç grama denk olan bir ağırlık ölçüsü"
"ehl-i dalâlet","doğru ve hak yoldan sapan kimseler (bk. ḍ-l-l)"
"ehl-i sefahet","sefahet ehli"
"elem","acı, keder, sıkıntı"
"elîm","acı ve sıkıntı veren"
"fenalık","kötülük, iyi olmayan şeyler"
"feylesof","felsefe ile uğraşan ve onun gelişmesine katkıda bulunan, felsefeci"
"fikir","düşünce (bk. f-k-r)"
"gaddârâne","acımasızca, zulmederek"
"galebe etme","üstün gelme"
"hakaik-i imaniye","iman hakikatleri, esasları (bk. ḥ-ḳ-ḳ; e-m-n)"
"hakaik-i şeriat","Allah tarafından bildirilen hükümlerin hakikatleri; İslâm hakikatleri (bk. ḥ-ḳ-ḳ; ş-r-a)"
"hakikî","asıl, gerçek, doğru (bk. ḥ-ḳ-ḳ)"
"hasenat","iyilikler, güzellikler (bk. ḥ-s-n)"
"haslet","huy, karakter"
"hayat-ı dünyeviye","dünya hayatı"
"hiss-i kablelvuku","birşeyi olmadan önce hissetme duygusu"
"hissiyat-ı insaniye","insanlarda bulunan hisler, duygular"
"intişar","yayılma"
"kemâl-i iştiyak","tam bir istek ve arzu (bk. k-m-l)"
"kıymettar","kıymetli, değerli"
"Kur’ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur’ân (bk. ḥ-k-m)"
"kütüb-ü imaniye ve İslâmiye","iman hakikatlerini ve İslâmın temel özelliklerini anlatan kitaplar (bk. k-t-b; e-m-n; s-l-m)"
"lezaiz","lezzetler"
"mağlup olma","yenilgiye uğrama"
"mahrum bırakma","yoksun kılma"
"muannid","inatçı"
"muarız","karşı gelen, karşıt"
"mukàbil","karşılık"
"mühim","önemli"
"münasebet geldi","ilgisi, alâkası geldi; gerekçe oluştu (bk. n-s-b)"
"nüsha","kopya"
"risale","mektup, kitapçık; Risale-i Nur’dan her bir bölüme verilen isim"
"sed çekmek","engel olmak"
"sefahet ehli","zevk ve eğlenceye düşkün olan ve sermayesini gereksiz yere harcayanlar"
"sefahet","yasak zevk ve eğlenceye düşkünlük; akılsızca davranış"
"sırr-ı i’câz","mu’cizelik sırrı, esprisi (bk. a-c-z)"
"sual","soru"
"tefsir","açıklama, yorum (bk. f-s-r)"
"tesirat","tesirler, etkiler"
"ziyade","fazla"
"âhir","son"
"âhiret","öteki dünya, öldükten sonraki hayat"
"âyet","Kur’ân’ın her bir cümlesi"
"Âyet-i Nur","Kur’ân’ın 24. sûresi olan Nur Sûresinin 35. âyeti"
"azap","büyük sıkıntı, eziyet, acı"
"bîçare","çaresiz, zavallı"
"Cenâb-ı Hak","Hakkın ta kendisi olan şeref ve yücelik sahibi Allah (bk. ḥ-ḳ-ḳ)"
"çare-i yegâne","tek çare"
"dalâlet","hak ve doğru yoldan ayrılma; sapkınlık (bk. ḍ-l-l)"
"dünyevî","dünya hayatıyla ilgili, dünyaya ait"
"ehl-i dalâlet","doğru ve hak yoldan sapan kimseler, sapkınlar (bk. ḍ-l-l)"
"ehl-i iman","Allah’a ve Allah’tan geldiği kesin olan herşeye inanan kimseler, mü’minler (bk. e-m-n)"
"ekser","birçok"
"elem","acı, keder, sıkıntı"
"elîm","acı ve sıkıntı veren"
"fen","bilim; gözlem ve tecrübeye dayalı bilimsel disiplinler"
"fenalık","kötülük"
"Gafûrü’r-Rahîm","kullarının günahlarını çok bağışlayan ve kullarına özel rahmet, merhamet ve şefkat gösteren Allah (bk. ğ-f-r; r-ḥ-m)"
"gayr-ı meşru","helâl olmayan, dine aykırı (bk. ş-r-a)"
"hakikat","asıl, gerçek, doğru  (bk. ḥ-ḳ-ḳ)"
"hissiyat","hisler, duygular"
"hubb-u dünya","dünya sevgisi; dünyanın geçici yüzünü sevme (bk. ḥ-b-b)"
"küfr-ü mutlak","tam bir küfür, hiçbir kutsal değere inanmama şeklindeki dinsizlik (bk. k-f-r; ṭ-l-ḳ)"
"küfür","Allah’ı veya Allah’ın bildirdiği kesin olan birşeyi inkâr; inanmama, kabul etmeme (bk. k-f-r)"
"mağlup etme","yenme"
"mağlup olma","yenilme"
"menhus","uğursuz"
"mevkıf","bölüm, kısım"
"muannid","inatçı"
"muvazene","iki şeyi karşılıklı olarak ölçme, dengeli bir şekilde değerlendirme (bk. v-z-n)"
"nefisperest","nefsin arzu ve isteklerine çok düşkün olan (bk. n-f-s)"
"sefahet","yasak zevk ve eğlenceye düşkünlük, savurgan davranma, yararı zararı fark edememe"
"sefih","yasak zevk ve eğlencelere aşırı düşkün olan; savurgan davranan; yararı zararı fark edemeyen"
"sevketme","yönlendirme"
"seyahat-i hayaliye","hayalî yolculuk"
"seyyiat","günahlar, kötülükler"
"Sikke-i Gaybiye","Risale-i Nur Külliyatı’ndan bir eser adı; Sikke-i Tasdîk-ı Gaybî"
"tâbi olmak","bağlı olmak, uymak"
"tafsil","ayrıntılı olarak açıklama"
"tevbe","pişmanlık duyarak günahtan dönüş"
"tiryakilik","bağımlılık"
"vücud","varlık (bk. v-c-d)"
"a’dâ","düşmanlar"
"acz","âcizlik, güçsüzlük (bk. a-c-z)"
"bekà","devamlılık ve kalıcılık (bk. b-ḳ-y)"
"bîçare","çaresiz, zavallı"
"dağdağalı","çalkantılı"
"ebed","sonu olmayan sonsuzluk (bk. e-b-d)"
"ebedî","sonu olmayan sonsuz (bk. e-b-d)"
"efkâr","fikirler, düşünceler (bk. f-k-r)"
"ehl-i dalâlet ve gaflet","doğru ve hak yoldan sapmış ve gaflete dalmış kimseler (bk. ḍ-l-l)"
"ehl-i dalâlet","doğru ve hak yoldan sapanlar, sapkın kimseler (bk. ḍ-l-l)"
"ehl-i gaflet","âhirete ve Allah’ın bildirdiği gerçeklere karşı duyarsız olan kimseler"
"elîm","acı ve sıkıntı veren"
"emel","arzu, istek"
"ezcümle","meselâ, örneğin"
"feryad","çaresizlik içinde bağırıp çağırma"
"fıtrî","yaratılıştan gelen, yaratılışında var olan (bk. f-ṭ-r)"
"firak","ayrılık (bk. f-r-ḳ)"
"had","sınır"
"hadsiz","sonsuz, sınırsız"
"hâlet","durum, hâl"
"hayvanat","hayvanlar"
"hazin","hüzün veren, acıklı"
"hikmet-i Kur’âniye","bütün varlıkların yaradılış gayelerini gösteren Kur’ân’daki İlâhî ilim (bk. ḥ-k-m)"
"himmet","ciddi gayret"
"hücum","saldırı"
"hüzün","üzüntü"
"ihata etme","kapsama, kuşatma"
"ihtiyacat","ihtiyaçlar (bk. ḥ-v-c)"
"istidat","kàbiliyet, yetenek (bk. a-d-d)"
"kuvve","duyu, his"
"maddî felsefe","aklı esas alıp herşeyi maddî ölçülere göre değerlendiren düşünce sistemi; materyalist felsefe"
"maişet","geçim"
"maksat","gaye, amaç"
