"kelime","anlam"
"acip","acayip, hayret verici, şaşırtıcı"
"Barla karyesi","Barla köyü"
"beşer","insan"
"beyan etmek","açıklamak, izah etmek"
"diyanet","din, dindarlık"
"ecnebi","yabancı; Avrupalı"
"garip","tuhaf"
"gayet","son derece"
"hâdise-i Nuriye","Risale-i Nur’la ilgili hâdise, olay"
"hakikat","asıl, gerçek"
"hakikî","asıl, gerçek"
"hâlet","durum, hâl"
"hane","ev"
"hazin","hüzünlü"
"ihtivâ etmek","içine almak, kapsamak"
"kâfir","Allah’ı veya Allah’ın kesin olarak bildirdiği şeylerden birini inkâr eden kimse; din aleyhinde çalışan, dinsiz"
"menfaat","yarar, fayda"
"meskat-ı re’s","bir kimsenin doğduğu yer, aslî vatan"
"mufarakat","ayrılık"
"mukaddeme","başlangıç, giriş bölümü"
"münazara","tartışma"
"nefs-i emmare","insanı daima kötülüğe, yasak zevk ve isteklere sevk eden duygu"
"risale","mektup, küçük çaplı kitap; Risale-i Nur’un her bir bölümü"
"sâik","sevk edici sebep, neden"
"sıla-i rahm","akrabalık bağı, alâkası"
"şuhud","gözle görme, seyretme; İlâhî tecellî ve hakikatleri gözlemleme"
"tâbir","ifade, söz, deyim"
"tarîk-i hakikat","doğru gerçekleri araştırma yolu"
"tarz-ı hareket","hareket tarzı, metodu"
"tarz-ı hayat","hayat tarzı"
"telif","yazma, kaleme alma"
"ziyade","çok"
"aynelyakîn","gözlem ve müşahedeye dayanarak, kuşkuya yer bırakmayacak şekilde kesin bilme"
"Küçük Sözler","Risale-i Nur’dan iman hakikatlerine dair bazı meselelerin derlenmesinden oluşan küçük bir eser"
"sûret","biçim, şekil"
"âhir","son"
"aslâ ve kat’a","asla, kesinlikle öyle değil"
"aynelyakîn","gözlem ve müşahedeye dayanarak, kuşkuya yer bırakmayacak şekilde kesin bilme"
"bârekâllah","Allah hayırlı ve bereketli kılsın"
"fihriste","içindekiler, liste"
"hakikat","gerçek"
"hususan","bilhassa, özellikle"
