"kelime","anlam"
"âlem-i menâm","uyku dünyası"
"anasır","unsurlar, esaslar"
"bedâat","lâfız bakımından kusursuz, mânâ yönünden makul ve bunlarda ahenkli ve eşsiz olma"
"belâgat","sözün düzgün, kusursuz, hâlin ve makamın icabına göre yerinde söylenmesi"
"beraat","güzellik ve üstünlükte çok ileride olma"
"beyan etme","açıklama"
"cezalet","güçlü ve düzgün ifade, güzel anlatım"
"fesâhat","dilin doğru, düzgün, açık ve akıcı şekilde kullanılması"
"garabet","şaşırtıcılık, harikalık"
"gayb","bilinmeyen, görünmeyen âlem"
"hakaik-i İlâhiye","Allah’ın zât ve sıfatlarına ait hakikatler"
"i’câz-ı Kur’ân","Kur’ân’ın mu’cize oluşu, bir benzerinin hiçbir varlık tarafından ortaya konulamaması"
"îcâz","mânâyı az sözle anlatma, özlü söz"
"ilmü’l-guyûb","gayblara dair ilim, gizliliklerin ilmi"
"itmam etme","tamamlama"
"lâfz","ifade, söz, kelime"
"maruz olma","birşeyle karşı karşıya kalma"
"mâzi","geçmiş zaman"
"mazmun","edebiyatta bazı kavramları dolaylı anlatmak için kullanılan nükteli ve san’atlı söz"
"mefhum","bir sözden çıkarılan zihnî mânâ, terim, kavram"
"menabi-i külliye","küllî, kapsamlı kaynaklar"
"menba","kaynak"
"misâlî","bütün olayları, halleri, vaziyetleri ve varlıkların birikimlerini kaydeden misal âlemi aynasında bulunan (misâl âlemi, dünya ve dünya içindekileri kaydeden âdeta büyük bir âhiret kamerasıdır"
"munsıf","insaflı, kötülükte ileri gitmeyen"
"mübâhase","karşılıklı konuşma, sohbet etme"
"müstakbel","gelecek zaman"
"nakş-i acip","hayrette bırakan nakış, işleme"
"nazm","diziliş, tertip ve düzen; Kur’ân’ın mânâya ve maksada delâlet eden söz ve kelimelerinin tertibi, dizilişi"
"nisyan-ı mutlak","hiçbirşeyi hatırlayamama; zihindeki herşeyin silinmesi tarzında bir unutkanlık"
"tecellî","yansıma"
"terekküp etme","meydana gelme, ortaya çıkma"
"tevellüd etme","doğma, meydana gelme"
"umur-u kevniye","kâinatla, oluşla ilgili şeyler, işler"
"üslûp","ifade ve anlatım tarzı"
"vuzuh","açıklık"
"ahbar-ı evvelîn ve âhirîn","geçmiştekilerin ve gelecektekilerin haberleri"
"ahkâm","hükümler, esaslar"
"câmiiyet-i hârikulâde","olağanüstü kapsamlılık"
"cihet","yön"
"derece-i fehim ve edeb","anlayış ve edep seviyesi"
"derece-i istidat ve kabiliyet","beceri ve kabiliyet derecesi"
"desatir-i fıtrat","fıtrata, yaratılışa ait düsturlar, prensipler"
"desatir-i saadet-i dâreyn","dünya ve âhiret mutluluğunu sağlayacak düsturlar ve prensipler"
"ezvak-ı ârifîn","irfan sahiplerinin, İlâhî hakikatlere vakıf olanların aldığı mânevî zevkler"
"hakaik-i ahvâl","maddî ve mânevî âlemlerdeki hâllerin gerçek mahiyetleri, içyüzleri"
"hakaik-i gayb ve şehadet","görünmeyen ve görünen âlemlere ait gerçekler"
"hârikulâde","olağanüstü, hayranlık verici"
"hasıl olma","meydana gelme"
"hikâyât","hikâyeler, öyküler"
"hikmet-i teşriiye","Şeriata ait ve Rabbânî kanunların hikmeti"
"ıttırad","tertip ve düzen içinde olma"
"ifâza-i nur","nurla feyizlendirme ve nimetlendirme"
"ihata","kuşatıcılık, kapsama"
"ihbârât-ı sâdıka","içinde yanlış ihtimali bulunmayan doğru haberler"
"ihtilâfî yerler","üzerinde görüş birliğine varılamayan yerler"
"ihtimâlât","ihtimaller, olması mümkün olan şeyler"
"irzâ etme","razı etme"
"istiâb","içine alma, kapsamına alma"
"istiğrak","kapsamına alma, ihata etme"
"ittifak","görüş birliği, oy birliği"
"küşâde","açık"
"kütüb-ü sabıka","Kur’ân’dan önce gelen semâvî kitaplar"
"lâfız","ifade, kelime"
"makasıd","maksatlar, gayeler"
"menba","kaynak"
"mesalik-i fukahâ","fıkıh âlimlerinin meslekleri, tuttukları yollar"
"meşârib-i evliya","velîlerin meşrepleri, tasavvuf yolunda ortaya koydukları ve takip ettikleri yöntemler"
"mezâhib-i sâlikîn","hak yolda yürüyenlerin takip ettikleri mezhepler, yol ve yöntemler"
"musaddıkane","doğruluğunu onaylar bir şekilde"
"musahhihâne","hatâları ve yanlışları düzeltmek şeklinde"
"mutabakat","uygunluk"
"muvazenet","denge"
"münasip","uygun"
"müstahsen","güzel karşılanan, beğenilen"
"nazar-ı belâgat","belâgat ilmine göre"
"neş’et etme","doğma, meydana gelme"
"revabıt-ı hayat-ı içtimaiye","toplum hayatını sağlayan bağlar"
"revabıt-ı kevniye","kâinatla irtibatlı meseleler, kâinatla ilgili bağlar"
"sahih","doğru, sağlam, sağlıklı"
"serâir-i İlâhiye","İlâhî sırlar"
"şümul","kapsamlı ve kuşatıcı oluş"
"tabakat","tabakalar; toplumu meydana getiren tabakalar"
"tekzip etme","yalanlama"
"turuk-u mütekellimîn","kelâm âlimlerinin takip ettikleri yollar"
"ulûm-u İlâhiye","İlâhî ilimler"
"ulûm-u kevniye","kevnî ilimler, kâinat ve dünya ile ilgili ilimler"
"usûl-ü Arabiye","Arapça gramerinde geçerli olan temel kurallar"
"vâki","olmuş, meydana gelmiş"
"vâsi","geniş"
"vesâil-i terbiye","terbiye vesileleri, araçları"
"vücuh","yönler, farklı mânâlar"
"anasır-ı seb’a","yedi unsur, esas, madde"
"beyan etme","açıklama"
"burhan","güçlü delil"
"cevab-ı mûcez","kısa ve özlü cevap"
"cezalet","güçlü ve düzgün ifade, güzel anlatım"
"cüz’","kısım, parça"
"dîn-i İslâm","İslâm dini"
"düstur","kural, prensip"
"elbuğzu fillâh","Allah için buğzetme ve kin besleme"
"elhasıl","kısaca, özetle"
"el-hubbu fillah","Allah için sevme"
"envâr-ı sitte","altı nur"
"hadsen","sezgiyle, zihnin hızlı intikali sûretiyle"
"hasıl olma","meydana gelme"
"hodgâmlık","bencillik"
"hüsn-ü hakikî","gerçek güzellik"
"Hüve hakkun","o haktır, doğrudur"
"Hüve’l-ahsen","o en güzeldir"
"Hüve’l-hakk","sadece o haktır, doğrudur"
"Hüve’l-hasen","sadece o güzeldir"
"ihtilâf","anlaşmazlık, birbirinden ayrılma"
"ihtilâf-ı turuk","hedefe giden yolların birbirinden farklı ve çeşitli olması"
"imtizac","birleşme, kaynaşma"
"inhisar","tekel, herşeyi kendi otoritesi ve kontrolü altına alma"
"irâe etme","gösterme"
"istidlâliyat","bir konu ve iddia hakkında delil arama işlemleri"
"izah","açıklama"
"kasır","eksik, noksan"
"lisân","dil"
"ma’reke-i evham","vehim ve asılsız kuruntuların çarpıştığı savaş alanı"
"matlup","istenen, talep edilen"
"mazi","geçmiş zaman"
"menba","kaynak"
"misl","benzer"
"muktedir olma","güç yetirme, yapabilme"
"mücelled","ciltli kitap"
"mücmel","kısa, özet"
"müstakbel","gelecek zaman"
"namında","isminde"
"nazm","diziliş, tertip ve düzen; Kur'ân’ın mânâya delâlet eden söz ve kelimelerinin tertibi, dizilişi"
"neş’et etme","doğma, meydana gelme"
"sâil-i misâlî","rüyada, misâl âleminde soru soran kişi"
"sual","soru"
"sû-i istimal etme","kötüye kullanma"
"şekk-i itiraz","itirazdan kaynaklanan şüphe"
"şerh etme","açıklama"
"şeriat","Allah tarafından bildirilen hükümlerin hepsi, İslâmiyet"
"taaddüd-ü mesalik","hedefe ulaştıran yol ve yöntemlerin çokluğu"
"tabiplik","doktorluk; mânevî hastalıkları tedavi etme özelliği"
"tâbir","ifade etme, adlandırma"
"taharrî","araştırma, inceleme"
"tasvir","anlatım, zihinde şekillenecek şekilde anlatma"
"tazammun etme","içerme, içine alma"
"teavün","yardımlaşma, işbirliği"
"tefsir","Kur’ân-ı Kerimi açıklayan, yorumlayan kitap; İşârâtü’l-İ’câz isimli eser"
