"kelime","anlam"
"alâkadar","alâkalı, ilgili"
"âlem-i İslâm","İslâm dünyası"
"beşaret","müjde"
"bidayet","başlangıç"
"cihet","yön"
"dehşetli","korkunç, ürkütücü"
"ehemmiyetli","önemli"
"ehl-i iman","Allah’a ve Allah’tan geldiği kesin olan her şeye inanan kimseler, mü’minler"
"evvel","önce"
"gaybî ihbar","gayba ait haber, gelecekle ilgili haber"
"hâdisat","hâdiseler, olaylar"
"hâdisat-ı âlem","dünyada meydana gelen olaylar"
"hayat-ı içtimaiye-i İslâmiye","İslâmın sosyal hayatı"
"hülasa","özet"
"Hürriyet","1908’de 2. Meşrutiyet’in ilânı ile birlikte gerçekleşen yeni sistemin halk arasındaki adı"
"ihtar-ı gaybî","gaybdan gelen hatırlatma"
"ihtiva etmek","içine almak, içermek"
"istikbal","gelecek"
"itikad","sarsılmaz kesin inanç"
"izahat","izahlar, açıklamalar"
"izale","giderme, ortadan kaldırma"
"kat’î","kesin"
"merhum","“Allah’ın rahmetine kavuşmuş, rahmete ermiş” anlamında vefat etmiş kimse için söylenen bir ifade"
"mes’udane","mutlu bir şekilde"
"meyusiyet","ümitsizlik"
"misillü","benzeri, gibi"
"muhafaza etmek","korumak"
"mukabele etmek","karşılık vermek"
"mukaddime","giriş, başlangıç"
"risale","mektup; Risale-i Nur’un bölümlerinden her biri"
"suret","şekil, biçim"
"Sünuhat/Sünuhat Risalesi","“kalbe doğan mânâ ve hakikatler risalesi” anlamına gelen Üstad Bediüzzaman’ın bu eseri"
"tabir etmek","ifade etmek, adlandırmak"
"tabir","ifade"
"tahayyül","hayal etme"
"Tarihçe-i Hayat","hayat hikâyesi; Üstad Bediüzzaman’ın hayatını anlatan kitap"
"tasavvur etmek","düşünmek, zannetmek"
"te’vil","yorum"
"tefsir","açıklama, yorum"
"tekzip etmek","yalanlamak"
"telif etmek","yazmak"
"âlem-i İslâm","İslâm dünyası"
"evvel","önce"
"fevkalâde","olağanüstü"
"hakikat","gerçek"
"hâlet","hâl"
"harb-i umumî","Dünya Savaşı"
"haşiye","dipnot, açıklayıcı not"
"hayat-ı bâkiye ve ebediye","kalıcı ve sonsuz olan âhiret hayatı"
"hayat-ı ebediye","sonsuz hayat, âhiret hayatı"
"hayat-ı fâniye-i dünyeviye","geçici dünya hayatı"
"hiss-i kable’l-vuku","bir şeyi olmadan önce hissetme duygusu"
"Hutbe-i Şâmiye","“Şam Hutbesi” anlamında Üstad Bediüzzaman’ın eseri"
"Hürriyet","1908’de 2. Meşrutiyet’in ilânı ile birlikte gerçekleşen yeni sistemin halk arasındaki adı"
"ihata etmek","kuşatmak, kapsamak"
"inşaallah","Allah dilerse"
"istibdad","baskı ve zulüm"
"istibdad-ı mutlak","sınırsız baskı, zulüm"
"istikbal","gelecek"
"kemmiyeten","sayıca çokluk bakımından, nicelik olarak"
"keyfiyeten","nitelik olarak, kalite bakımından"
"kıymettar","kıymetli, değerli"
"memleket-i Osmaniye","Osmanlı Devleti, Osmanlı memleketi"
"menfaat","fayda, yarar"
"muaccel","peşin, hemen verilen"
"mukaddeme","başlangıç"
"müeccel","ertelenmiş, sonraya bırakılan"
"nazar","bakış açısı"
"nazara almak","dikkate almak"
"rüya-yı sâdıka","şeytanın karışmadığı doğru rüya"
"saadet","mutluluk"
"suret","biçim, şekil"
"tasavvur etmek","hayalen canlandırmak"
"tehir","erteleme, sonraya bırakma"
"temin","sağlama, güvence altına alma"
"teşkil etmek","oluşturmak, meydana getirmek"
"vaziyet","durum, hâl"
"zahiren","görünürde, dış görünüş bakımından"
"adaletnâme-i Şeriat","Şeriatın adalet ölçüsü, belgesi"
"âlem-şümûl","dünya çapında, evrensel"
"Asr-ı Saadet","“mutluluk asrı” anlamında Peygamber Efendimizin (a.s.m.) yaşadığı dönemin adı"
"âlem-i İslâm","İslâm dünyası"
"arz etmek","sunmak"
"hakikat","doğru gerçek"
"insaniyet","insanlık"
"mahiyet","asıl nitelik, temel özellik"
"meydan-ı istifade","istifade meydanı, yararlanma alanı"
"müessir","tesirli, etkili"
"şeriat","Allah tarafından bildirilen hükümlerin hepsi, İslâmiyet"
"zuhura gelmek","meydana gelmek, ortaya çıkmak"
"bahis","konu"
"cânib","yön"
"celb olunmak","alıp getirilmek"
