"kelime","anlam"
"aleyhimesselâm","Allah’ın selâmı o ikisinin üzerine olsun"
"aleyhisselâm","Allah’ın selâmı onun üzerine olsun"
"ayn-ı Hızır","Hızır’ın kendisi"
"beşeriyet","insanlık"
"ehl-i şuhud ve keşif","maneviyat âlemlerinde iman hakikatlerini gözleme yeteneğine sahip insanlar"
"evliya","veliler, Allah dostları"
"levazımat","gerekli olan şeyler, ihtiyaçlar"
"makamat-ı velâyet","velîlik makamları"
"makam-ı Hızır","Hz. Hızır’ın (a.s.) makamı"
"merâtib-i hayat","hayat mertebeleri"
"mertebe","derece, makam"
"muhtasar","kısaltılmış, özet"
"mukayyet","kayıt altında, sınırlı"
"mühim","önemli"
"tabaka-i hayat","hayat tabakası"
"tabir edilme","adlandırılma"
"tecerrüt","soyutlanma, sıyrılma"
"telâkki","kabul etme"
"tenvir","nurlandırma, aydınlatma"
"tevatür","çeşitli kanallardan gelen ve doğruluğu kesin olarak kanıtlanan haber"
"ulema","âlimler"
"velî","Allah dostu"
"âhirzaman","dünya hayatının kıyamete yakın son devresi"
"âlem","dünya"
"âlem-i berzah","dünya ile âhiret arasındaki kabir âlemi"
"Aleyhisselâm","Allah’ın selâmı onun üzerine olsun"
"bâki","devamlı, kalıcı"
"beden-i misalî","görüntüden ibaret beden"
"berzah","dünya ile âhiret arasındaki âlem, kabir âlemi"
"Cenâb-ı Hak","Hakkın ta kendisi olan, şeref ve azamet sahibi yüce Allah"
"cereyan-ı küfrîye","küfür ve inançsızlık akımı"
"cesed-i necmî","parlayan bir yıldız gibi akıp giden; nurâni ceset"
"cism-i dünyevî","dünyaya ait cisim, beden"
"çendan","gerçi"
"ehl-i kubur","kabirdekiler, ölüler"
"felsefe-i tabiiye","herşeyi tabiata dayandıran felsefe"
"fevkinde","üstünde"
"firak","ayrılık"
"hadis","Peygamberimize ait söz, emir veya davranışlar"
"hakikî","gerçek"
"hayat-ı dünyevî","dünya hayatı"
"hayat-ı dünyeviye","dünya hayatı"
"Hazret-i İsâ","(bk. bilgiler İsâ (a.s.))"
"hurafat","aslı esası olmayan saçma inanışlar"
"ihsan","bağış, iyilik, lütuf"
"inkâr-ı ulûhiyet","Cenâb-ı Allah’ı inkâr fikri"
"inkılâp","dönüşme"
"İsevîlik","Hz. İsa’nın getirdiği din, Hıristiyanlık"
"kemâl-i kerem","lütuf ve cömertliğin mükemmelliği, kusursuz ikram edicilik"
"kemâl-i saadet","tam ve mükemmel mutluluk"
"kesb","kazanma, elde etme"
"letâfet","maddî ağırlık ve sınırlamalarla kısıtlı olmama"
"meâl","açıklama, anlam"
"mütelezziz","lezzetlenme"
"nass-ı Kur’ân","Kur’ân’ın kesin ve açık hükmü"
"nuranî","nurlu, parlak"
"nuraniyet","nur özelliği, nurluluk"
"saadet","mutluluk"
"semâvât","gökler"
"şüheda","şehitler, Allah yolunda ölenler"
"tabaka-i hayat","hayat tabakası"
"tarik-i hak","hak yolu"
"tasaffi etme","temizlenme, safileşme"
"tecerrüt","soyutlanma, sıyrılma"
"vahy-i semâvî","Allah tarafından peygambere gelen vahiy"
"âlem-i berzah","dünya ile âhiret arasındaki kabir âlemi"
"bekà-i ruh","ruhun ölümsüzlüğü ve devamlılığı"
"cüz’î","küçük ve ferdî"
"delâil-i kat’iye","kesin deliller"
"dünyevî","dünyaya ait"
"ehl-i kubur","kabirdekiler, ölüler"
"emârat","belirtiler, işaretler"
"emvat","ölüler"
"ervâh-ı evliya","velilerin ruhları"
"fenâ","gelip geçicilik"
"Furkan-ı Hakîm","doğru ile yanlışı birbirinden ayıran hikmetli Kur’ân"
"hayat-ı berzahiye","kabir hayatı"
"hayat-ı ruhanî","ruhânî hayat, ruhen yaşanan hayat"
"ıtlak-ı ruh","ruhun serbest bırakılması"
"idam","yok etme"
"ihbarat","haber vermeler"
"iltica","sığınma"
"istilâ","işgal"
"kanaat","görüş, fikir"
"kat’î","kesin"
"mahall-i defn","ölünün toprağa defnedildiği yer, kabir yeri"
"mazhar/mazhariyet","erişme, nail olma"
"menâmen","uykudayken"
"menzil","yer, ev"
"mevt","ölüm"
"muhafaza","koruma"
"mutabık","uygun"
"mükerrer","tekrarla, defalarca"
"münasebet","bağlantı, ilişki"
"Radıyallahu Anh","Allah ondan razı olsun"
"rivayat","rivayetler, nakledilen şeyler"
"rüya-yı sadıka","doğru olan rüya"
"saadet","mutluluk"
"sair","diğer, başka"
"Seyyidü’ş-Şüheda","şehitlerin seyyidi, efendisi"
"suret","biçim, şekil"
"şerâit","şartlar"
"şuhud","şahid olma, görme"
"şüheda","şehitler, Allah yolunda ölenler"
"tabaka-i hayat","hayat tabakası"
"tahte’l-arz","yeraltı"
"tarz-ı hayat","hayat tarzı"
"tebdil-i mekân","yer değişikliği"
"temessül","belirme, görünme"
"tenvir","nurlandırma, aydınlatma"
"terhis","göreve son verme"
"tezahür","görünme, ortaya çıkma"
"vakıa","olay"
"vakıat","olaylar"
"yakazaten","uyanıkken"
"adem","yokluk, hiçlik"
"âhir","son"
"âlem-i berzah","dünya ile âhiret arasındaki kabir âlemi"
"ayn-ı hayat","hayatın ta kendisi"
"âzâd etme","hürriyetine kavuşturma"
"cihet","yön"
"ednâ","en aşağı, en önemsiz"
"eser-i san’at","san’at eseri"
"hâdimü’l-lezzât","lezzetleri yok eden"
"halk","yaratma"
"hayat-ı bâkiye","devamlı ve kalıcı olan âhiret hayatı"
"hayat-ı insaniye","insanî hayat"
"hayat-ı nebâtiye","bitkilerin hayatı"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"ifham","anlatma, bildirme"
"imtizâcât-ı unsuriye","elementlerin kaynaşması, kimyevî birleşme"
"inhilâl","çözülme, dağılma"
"intizam","düzen, tertip"
"mahlûk","yaratık"
"mebde","başlangıç"
"mebde-i hayat","hayatın başlangıcı"
"menşe","kaynak, esas"
"mevt","ölüm"
"mide-i insaniye","insanın midesi"
"mizan","ölçü"
"muamele-i kimyeviye","kimyasal işlem"
"mukaddime","başlangıç, giriş"
"muntazam","düzenli"
"nimet","iyilik, lütuf, ihsan"
"tabaka-i hayat","hayat tabakası"
"tahvil-i vücut","vücudun başka hâle girmesi, değişmesi"
"takdir","Allah’ın ezelî ilmiyle belirlemesi"
"tebdil-i mekân","yer değişikliği"
"tedbir","idare etme, çekip çevirme"
"tefessüh","çürüyüp bozulma"
"tekâlif-i hayat","hayatla ilgili sorumluluklar ve yükümlülükler"
"terhis","göreve son verme"
"teşekkülât-ı zerreviye","atomların teşekkülü, oluşması"
"tezahür","belirme, ortaya çıkma"
"ulvî","yüksek, yüce"
"vazife-i hayat","hayat vazifesi"
"vech","yön"
"vücuh","vecihler, yönler"
"zâhiren","görünürde"
"zîhayat","hayat sahibi, canlı"
"zira","çünkü"
"ahbap","sevilenler, dostlar"
"âlem-i berzah","dünya ile âhiret arasındaki kabir âlemi"
"arz","yer, dünya"
"ayn-ı nimet ve rahmet","rahmetin ve nimetin ta kendisi"
"azap","acı, sıkıntı"
"bahis","konu"
"bâki","devamlı, kalıcı"
"beyan","açıklama"
"ced","dede, ata"
"dağdağa","sıkıntı, kargaşa"
"daire-i rahmet","rahmet dairesi"
"ehl-i dalâlet","doğru ve hak yoldan sapmış inançsız kimseler"
"esbab","sebebler"
"fevkinde","üstünde"
"hareket-i seneviye","senelik hareket"
"hususan","bilhassa, özellikle"
"ıztırap","acı, sıkıntı"
"istirahat","dinlenme, rahatlama"
"kat’î","kesin"
"küre-i arz","yerküre, dünya"
"Mahbûb-u Bâkî","varlıklar tarafından çok sevilen ve varlığının sonu olmayan sonsuz sevgili, Allah"
"mahlûkat","yaratıklar"
"mazhariyet","sahip olma, erişme"
"mecma-ı haşir","haşirde toplanma yeri"
"medar-ı senevî","(dünyanın) güneş etrafındaki bir yıllık yörüngesi"
"mesafe-i azîme","büyük mesafe"
"mevt","ölüm"
"musibetzede","musibete, belâya uğrayan kimse"
"müptelâ","imtihana tabi tutulmuş"
"müteaddit","birçok, çeşitli"
"nevm","uyku"
"nikmet","azap, ceza; nimetin zıttı"
"nimet","iyilik, lütuf, ihsan"
"peder","baba"
"rahmet","şefkat, merhamet, ihsan"
"rivâyât","rivayetler, nakledilen şeyler"
"sefalet-i hal","perişan ve yoksul bir hal, yaşayış"
"sürurlu","mutlu, sevinçli"
"şedâid","şiddetler; sıkıntılı ve zahmetli durumlar"
"şerâit-i hayatiye","hayat şartları"
"tahte’l-arz","yeraltı"
"valide","anne"
"visal","kavuşma"
"vüs’atli","geniş"
"zelzele","sarsıntı, deprem"
"âhiret âlemi","öteki dünya, öldükten sonraki hayat"
"âlem-i âhiret","öldükten sonraki hayat, âhiret âlemi"
"âlem-i berzah","dünya ile âhiret arasındaki kabir âlemi"
"ateş-i dünyevî","dünya ateşi"
"câmi","kapsamlı, içine alan"
"Cehennem-i Kübrâ","Büyük Cehennem"
"Cehennem-i Suğrâ","Küçük Cehennem"
"derece-i hararet","sıcaklık derecesi"
"dünyevî","dünyaya ait"
"ehâdis","hadisler, Peygamberimize ait söz, emir veya davranışlar"
"ehl-i İtizâl","ehl-i sünnet dışı Mu’tezile mezhebine mensup olan kimseler"
"ekseriya","genellikle, çoğunlukla"
"emr-i İlâhî","Allah’ın emri"
"gabâvet","ahmaklık, zekâ geriliği"
"galat","hatâ, yanlış"
"hafriyat","yeri derinlemesine kazma"
