"kelime","anlam"
"Arabî","Arapça"
"avn","yardım"
"azîm","büyük, yüce"
"bahtiyar addedmek","talihli, mutlu saymak"
"cesîm","çok büyük"
"cevher-baha","mücevher gibi değerli"
"cezalet","güçlü ve akıcı ifade"
"cihanbaha","dünyalar kıymetinde"
"el-Mesneviyyü'l-Arabî","Arapça Mesnevî-i Nuriye"
"evlâd-ı vatan","vatan evlatları"
"fabrika-i dımağiye","akıl fabrikası"
"hakaik","gerçekler, esaslar"
"imanî","imanla ilgili, imana dair"
"inayet","lütuf, yardım, bağış"
"itizar","özür dileme"
"kıymettar","kıymetli, değerli"
"kisve","örtü, kıyafet"
"Kur'ânî","Kur'ân'a ait; Kur'ân'da bulunan"
"lâfız","söylenen ifade, kelime"
"lisan","dil"
"meal","kısa açıklamalı tercüme"
"muanven","isimli; namlı"
"muvaffak olmak","başarmak"
"müellif","telif eden, yazan"
"müellif-i muhterem","hürmetli müellif; saygıdeğer yazar"
"nâkıs ve kasır","eksik ve kısa"
"neseben","soyca, sülâle bakımından"
"tayyedilmek","atlanmak, çıkarılmak"
"tayyetmek","çıkarmak"
"tedarik etmek","elde etmek"
"ulviyet","yücelik"
"zarf olmak","kılıf olmak, sarmak"
"aklen","akıl vasıtasıyla"
"Arabî","Arapça"
"câzibedar","çekici"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"ehl-i hakikat","gerçekleri bilenler, hakikatlere ulaşmayı temel alanlar"
"ehl-i istiğrâk","manevî zevklere dalıp kendinden geçen kişiler"
"ehl-i tarikat","bir tarikata mensup olmak suretiyle hakikate ulaşmaya çalışanlar"
"ekser","pek çok"
"gaybî","gayba ait; bilinmeyen âlemlerle bağlantılı"
"gayet","çok"
"hadsiz","sınırsız"
"hakikat","bir şeyin aslı ve esası, gerçek mahiyeti"
"hakikatü'l-hakaik","hakikatlerin hakikati; en büyük hakikat"
"hassa","nitelik, özellik"
"hikmet-i felsefiye","varlıkların hakikatlerini felsefî yollarla açıklamayı esas alan sistem"
"hükmünde olan","bir şeyle aynı hükmü alan"
"irşad","doğru yol gösterme"
"kalben","kalp aracılığıyla"
"kanaat etmek","yetinmek"
"mazhar olma","ayna olma, nail olma"
"mecmua","derlenmiş eser"
"Mesnevî-i Şerif","her beyti ayrı kafiye olan manzum eser; Mevlânâ’nın Farsça eseri"
"mukaddeme","önsöz, başlangıç"
"mücahede","cihad etme, din uğrunda çaba harcama"
"nefs-i emmare","insanı daima kötülüğe, yasak zevk ve isteklere sevk eden duygu"
"nevi","çeşit, tür"
"sülûke başlamak","mânevî âlemlere ve derecelere yönelmek"
"şükûk ve şübehat","tereddütler ve şüpheler"
"şükür","Allah’a karşı minnet duyma ve Ona teşekkür etme"
"tahayyürde kalma","hayrete düşme; ne yapacağını şaşırma"
"tevhid-i kıble","bir tek hedef belirleme"
