"kelime","anlam"
"belâgat","belâgat ilmi; sözün düzgün, kusursuz, yerinde, hâlin ve makamın icabına uygunluğunu tespit eden ilim"
"beyan etmek","açıklamak, izah etmek"
"binaen","-dayanarak"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"cephe-i harp","savaş cephesi, üzerinde savaş yapılan bölge"
"cerh etmek","çürütmek, reddetmek"
"dakik","ince"
"derece-i fehim","anlayış derecesi"
"düstur","prensip, kural"
"elhak","gerçekten"
"Eski Harb-i Umumî","I. Dünya Savaşı (bk. bilgiler – Birinci Harb-i Umûmî)"
"Eski Said","(bk. bilgiler – Bediüzzaman Said Nursî)"
"Fatiha","Kur’ân-ı Kerim’in ilk sûresi"
"gayet","son derece"
"hâlis","içten, katıksız, samimî"
"harp","savaş"
"hatîât","hatalar"
"i’câz","mu’cize oluş; bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstülük"
"îcâz","sözü kısaltmak; maksadı açık ve net bir şekilde az sözle ifade etme"
"ifade-i meram etme","maksadı ifade etme, anlatma"
"izah","açıklama"
"keffaret-i zünub","günahlara keffâret, bağışlanmaya vesile"
"me’haz","kaynak"
"mevcut olmak","var olmak, bulunmak"
"muhtasar","kısaca, özet"
"mücmel","kısa, kısaca"
"mütalâa etmek","dikkatlice okuyup incelemek, düşünmek"
"nazar","bakış açısı"
"nazm-ı Kur’ân","Kur’ân’ın nazmı, Kur’ân’ın mübarek kelime ve âyetlerinin tertip, diziliş ve düzeni"
"nısf-ı evvel","ilk yarı"
"salisen","üçüncü olarak"
"saniyen","ikinci olarak"
"şaheser","üstün, değerli eser"
"tabirat","tabirler, ifadeler"
"tatbik etmek","uygulamak"
"tefsir","Kur’ân’ın âyetlerini açıklamak ve yorumlamak için yazılan eser"
"telif etmek","yazmak"
"tenbih","ikaz, uyarı"
"tetkîkat-ı âliye","üst düzeyde, derinlemesine incelemeler, araştırmalar"
"ulûm-u Arabiye","Arapça ilimler; medrese ilimleri"
"zaruret","zorunluluk, gereklilik"
"bahtiyar","talihli, mutlu"
"beyan etmek","açıklamak"
"bidâyet-i zuhur-u İslâmiyet","İslâmiyetin ilk ortaya çıktığı zaman"
"Birinci Harb-i Umumî","I. Dünya Savaşı"
"cüz","bölüm, parça"
"cüz-ü tefsir","tefsirin bir bölümü"
"delâlet","delil olma, işaret etme"
"ders-i Kur’ânî","Kur’ânî ders"
"ehemmiyetsiz","önemsiz"
"ehl-i nifak","iki yüzlü kimseler, münafıklar"
"elfâz-ı Kur’âniye","Kur’ân’ın kelimeleri, sözleri"
"hakaik-ı tefsiriye","tefsir ilminin hakikatleri"
"hâşiye","dipnot, açıklayıcı not"
"hikmet","sebep, gaye, sır"
"i’câz","mu’cize oluş; bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstülük"
"i’câz-ı nazmî","Kur’ân’ın tertip ve düzenindeki, benzerini yapmaktan başkalarını aciz bırakan olağanüstülüğü, mu’cizelik özelliği"
"istifade etmek","faydalanmak, yararlanmak"
"istinat","dayanak, dayanma"
"işârât","işaretler, belirtiler"
"izah","açıklama"
"izahat","izahlar, açıklamalar"
"kâfir","Allah'ı veya Onun kesin olarak bildirdiği şeylerden herhangi birini inkâr eden kimse"
"Kur’ân-ı Mu’cizü’l-Beyan","açıklamalarıyla benzerini yapmakta akılları âciz bırakan Kur’ân"
"mâhiyet-i küfriye","küfrün içyüzü, aslı, esası"
"mahiyet-i meslek","mesleğin temel özelliği, iç yüzü"
"mâni","engel"
"me’haz","kaynak"
"muannid","inatçı, inanmamakta direnen"
"muarız","itiraz eden, karşıt"
"muhalif olmak","farklı olmak, zıt olmak"
"mücmel bırakma","kısa tutma, özetleme"
