kelime,frekans
kâinat,67
hikmet,64
suret,61
hakikat,46
nihayetsiz,36
rahmet,34
hadsiz,29
mevcudat,29
âhiret,28
âlem,26
şehadet,25
mazhar,24
vücud,24
cemâl,23
cilve,23
ebedî,22
inkâr,22
inâyet,21
haşir,19
umum,18
cihet,18
fâni,18
icad,18
muvakkat,17
kat'î,17
daimî,17
kudret,17
haşr,17
beyan,16
mahkeme-i kübrâ,16
müşahede,16
ziyade,16
delâlet,15
intizam,15
izzet,15
raiyet,15
nümune,15
vaad,15
arz,15
kabil,14
muhafaza,14
kerem,14
kemâlât,14
müştak,14
bâki,14
mahlûkat,14
zîhayat,14
saltanat,13
ihsan,13
sâni,13
rububiyet,13
beka,13
tasdik,12
saadet,12
ziya,12
menzil,12
nev-i insan,12
halk,12
temsil,11
meşher,11
mukabil,11
zevâl,11
vech,11
âyine,11
medar,11
mucize,11
şuur,11
sermedî,11
mahlûk,11
küre-i arz,11
ihyâ,11
nihayet,10
muntazam,10
kıymettar,10
ferman,10
mükâfat,10
muhteşem,10
hakikî,10
mizan,10
burhan,10
zerre,10
ubûdiyet,10
rahîm,10
ekser,10
nevi,9
sehâvet,9
teşkil,9
yâver-i ekrem,9
muhal,9
kur'ân-ı hakîm,9
hakîm,9
enbiya,9
saadet-i ebediye,9
mahiyet,9
iktiza,9
inşa,9
ahali,8
mücazat,8
haysiyet,8
âli,8
teşhir,8
muhabbet,8
hürmet,8
muhasebe,8
amel,8
sair,8
zîşuur,8
risalet,8
masnuat,8
hakkaniyet,8
bâb,8
âciz,8
kıyamet,8
nizam,8
tahakkuk,8
hülâsa,8
mezkûr,8
hayattar,8
mâlik,7
misilsiz,7
elem,7
zabit,7
cüzdan,7
biçare,7
hâlık,7
esmâ,7
kerîm,7
celâl,7
tecellî,7
ibâd,7
azamet,7
nuranî,7
semâvât,7
hâşâ ve kellâ,7
âlem-i beka,7
âlem-i gayb,7
hak,7
hüccet,7
zemin,7
kâtip,6
tebdil,6
harap,6
bahusus,6
muamele,6
haşmet,6
kemâl,6
istihsan edici,6
muhtelif,6
şefkat,6
teçhizat,6
meydan-ı imtihan,6
mesken,6
müteaddit,6
hıfz,6
nefs,6
saadet-i uzmâ,6
ittifak,6
ulvî,6
mazi,6
zahir,6
tezahür,6
münhasır,6
mukaddime,6
sâni-i zülcelâl,6
küfür,6
mukabele,6
âsâr,6
rab,6
lâtif,6
maslahat,6
ebed,6
cûd,6
evliya,6
müttefikan,6
nev-i beşer,6
tezyinat,6
fena,6
vücut,6
hâşâ,6
acz,6
envâ,6
ihya,6
hayat-ı dünyeviye,6
istilzam,6
lisan,5
cüz'î,5
in'âm,5
taltif,5
tasavvur,5
tahkir,5
içtima,5
istidad,5
âdi,5
gayret,5
tekzip,5
ihzar,5
tevatür,5
müstekar,5
müstakbel,5
bekasız,5
bedbaht,5
