kelime,frekans
rahmet,40
kâinat,30
hakikat,19
acz,18
sima,18
hadsiz,17
nefs,17
suret,16
fakr,15
bedbaht,15
nam,14
nihayetsiz,14
tılsım,14
bismillâhirrahmânirrahîm,12
saadet,12
nefer,12
âlem,11
nazar,11
hikmet,11
bahtiyar,11
zevâl,11
bismillâh,10
mahlûkat,10
fâni,10
hasâret,10
hizmetkâr,10
mevcudat,9
cenâb-ı hak,9
musahhar,9
kıymettar,9
cihet,9
ihtar,8
tezahür,8
sikke-i ehadiyet,8
zîhayat,8
abd,8
âciz,8
elîm,8
hâkim,8
talim,8
mübarek,7
temsîlî,7
leziz,7
nefis,7
cilve,7
küre-i arz,7
âyine,7
sikke,7
firak,7
neş'et,7
hâlık,7
rab,7
tevekkül,7
ubûdiyet,7
amel,7
birader,7
ziyade,6
kudret,6
şefaatçi,6
mânen,6
muhabbet,6
has,6
arz,6
vâhidiyet,6
vahdet,6
bilbedâhe,6
zâhir,6
hakikî,6
mazhar,6
münasip,6
acip,6
kemâl,6
salâvat,6
mü'min,6
tesbih,6
âhiret,6
iktidar,6
ruh-u beşer,6
sarf,6
vaziyet,6
allahu ekber,6
sahrâ,5
mağrur,5
dergâh,5
sır,5
ziya,5
müteveccih,5
elem,5
izhar,5
kat'î,5
kesret,5
biçare,5
rahmeten li'l-Âlemîn,5
aleyhissalâtü vesselâm,5
fena,5
nizam,5
iltica,5
kudret-i samedâniye,5
azîm,5
itimad,5
asr,5
darağacı,5
tecrübe,5
hamd,5
rububiyet,5
istinad,4
hazine-i rahmet,4
hararet,4
zahirî,4
makam,4
nümune,4
hayvanât,4
intizam,4
rahîm,4
ehadiyet,4
mülâhaza,4
aks,4
umum,4
zât-ı akdes,4
muavenet,4
ebed,4
zât-ı zülcelâl,4
hürmet,4
mahlûk,4
nuranî,4
valide,4
zemin,4
mirac,4
kâfi,4
tebaiyet,4
halet,4
fâsık,4
ibadet,4
sefahet,4
batman,4
minnet,4
havf,4
ihsan,4
tabur,4
muharebe,4
perestiş,4
istimal,4
müstehak,4
inkılâb,4
zahiren,4
muzır,4
dereke,4
arşın,4
ünsiyet,4
gaflet,4
gurub,4
işâ,4
güz,4
bedel,4
istikbal,4
nişan,3
şer,3
hâcât,3
tedarik,3
selâmet,3
define,3
makbul,3
sevk,3
muhtelif,3
latîf,3
gafil,3
mün'im-i hakikî,3
zikir,3
şükür,3
elhamdü lillâh,3
derk,3
nur,3
nâzır,3
teşkil,3
ihata,3
mahiyet,3
bilmüşahede,3
ihtiyâcât,3
sultan-ı ezel ve ebed,3
envâ,3
sikke-i rahmet,3
hâtem-i ehadiyet,3
mezkûr,3
cemâl,3
hülâsa,3
hadis-i şerif,3
muntazam,3
delâlet,3
celâl,3
ebedî,3
rahmet-i rahmân,3
elhasıl,3
hodbin,3
müteellim,3
divane,3
kâfir,3
ecel,3
tasdik,3
fısk,3
menfaat,3
âsi,3
muhafaza,3
saadet-i ebediye,3
şehadet,3
mühim,3
zayi,3
muvakkat,3
haşr,3
beşer,3
hayat-ı dünyeviye,3
muallem,3
mücahede,3
kebâir,3
emniyet,3
zaaf,3
muvazene,3
halk,3
hıyanet,3
hasse,3
bâkî,3
âzâ,3
meş'um,3
nefs-i emmâre,3
kadîr-i zülcelâl,3
dua,3
dessas,3
meyl,3
berzah,3
zindan-ı dünya,3
kâmil,3
telezzüz,3
hak,3
