kelime,frekans
cihet,104
elem,99
hakikat,92
kâinat,80
suret,70
muhabbet,70
hadsiz,65
nefs,64
nihayetsiz,59
saadet,59
dalâlet,54
nazar,51
hakikî,50
acz,49
dua,45
hikmet,42
rahmet,42
âlem,41
nimet,41
beşer,39
âhiret,38
sefahet,37
bâki,37
fâni,37
cenâb-ı hak,36
musibet,36
hâlık,36
elîm,35
zevâl,34
biçare,34
ene,34
zîhayat,32
gaflet,32
ziyade,31
muvazene,31
ebedî,31
mevcudat,31
fakr,30
nefis,30
şe'n,30
istikbal,30
nam,29
kat'î,29
zulümat,28
bedbaht,28
cüz'î,28
adem,28
zemin,28
ubûdiyet,27
esmâ,27
firak,26
cilve,26
beyan,26
nevi,26
zaaf,25
mâlik,25
sair,25
âciz,25
alâkadar,25
kudret,24
muhafaza,24
muvakkat,24
ehl-i dalâlet,23
hayat-ı dünyeviye,23
mahiyet,23
saadet-i ebediye,22
nuranî,22
musahhar,22
menfaat,22
hizmetkâr,22
sarf,22
esbab,22
mukabil,21
ihtiyar,21
mahlûkat,21
umum,20
tılsım,20
muzır,20
vahşet,20
nihayet,19
dehşetli,19
mü'min,19
tevekkül,19
kemâlât,19
medar,19
elhamdü lillâh,18
mübarek,18
mazhar,18
sukut,18
darağacı,18
semâvât,18
dehâ,18
ehl-i iman,17
hissiyat,17
şefkat,17
beka,17
rab,17
havf,17
abd,17
nev-i beşer,17
tabiat,17
hamd,17
ebed,16
küre-i arz,16
bahtiyar,16
neş'et,16
hane,16
ünsiyet,16
temsil,16
nisbet,16
kıymettar,15
müteveccih,15
hâlet,15
kâfi,15
tasdik,15
ulvî,15
nefer,15
hevâ,15
ihsan,15
mahlûk,15
telâkki,15
icad,15
menzil,15
avrupa,15
kezâ,15
münasebet,14
kur'ân-ı hakîm,14
amel,14
vücud,14
gayr-ı meşru,14
hasâret,14
iltica,14
iktidar,14
hayat-ı ebediye,14
kemâl,14
fenâ,14
düstur,14
emel,13
istidat,13
taife,13
istinad,13
mânen,13
arz,13
nefs-i emmâre,13
nur,13
hususan,13
sıfât,13
hususî,13
tesettür,13
inkılâp,13
rahmân,12
rububiyet,12
hüccet,12
seyyah,12
ecel,12
leziz,12
fıtrat,12
ferman,12
mizan,12
mülk,12
acip,12
nümune,12
hürmet,12
mevt,12
sadakat,12
tenvir,12
ziya,12
eşya,12
zâil,12
insaniyet,12
kader,12
tulû,11
izale,11
ihtar,11
şer,11
hülâsa,11
azîm,11
hâkim,11
zayi,11
hak,11
marifet,11
fazilet,11
tecavüz,11
şehadet,11
iktiza,11
vecih,11
nur-u iman,11
enaniyet,11
müşahede,11
mahbup,11
mehâsin,11
cemâl,11
hüdâ,11
muannid,10
haslet,10
galebe,10
ekser,10
rahîm,10
şimendifer,10
nisbeten,10
umumî,10
mütemerrid,10
mağrur,10
sürur,10
tesbih,10
itikad,10
cihazat,10
müstehak,10
teessüf,10
sâni-i zülcelâl,10
hayat-ı içtimaiye,10
hayır,10
şakirt,10
nokta-i istinad,10
uhuvvet,10
cazibedar,10
mâdum,10
mütemadiyen,10
mahpus,10
celb,10
müstakbel,10
mâbud,10
tasavvur,10
küllî,10
esmâ-i hüsnâ,10
mağlûp,9
fıtrî,9
mezaristan,9
zelzele,9
mezkûr,9
bismillâh,9
hâcât,9
selâmet,9
meyusâne,9
lâtif,9
küfür,9
maruz,9
has,9
itimad,9
nazik,9
âli,9
semere,9
mahv,9
berzah,9
niyaz,9
âyet,9
unsuriyet,9
zulmet,9
izah,9
müştak,9
inkişaf,9
muhit,9
şedit,9
hût,9
binaenaleyh,9
intişar,8
seyahat-i hayaliye,8
âhir,8
maksat,8
kabil,8
tenezzüh,8
nev',8
gafil,8
fena,8
evvelki,8
tevehhüm,8
tecellî,8
nizam,8
çendan,8
elhasıl,8
talim,8
perestiş,8
emniyet,8
istimal,8
zahiren,8
dereke,8
meşakkat,8
istifade,8
mahbub,8
aziz,8
ahbap,8
cidal,8
fitne,8
idam-ı ebedî,8
enbiya,8
müptelâ,8
fıtraten,8
gam,8
mes'ut,8
hayat-ı bâkiye,8
kaza,8
ahbab,8
envâ,8
cihât-ı sitte,8
mecazî,8
lem'a,8
kesret,8
esfel-i sâfilîn,8
şuur,8
sâni,8
terakki,8
muvaffak,8
mahsus,8
tahrip,8
âdi,8
letâif,8
tabir,8
belâğat,8
hâlık-ı zülcelâl,8
nefsi,8
menşe,8
imdad,8
hükm,8
şirk,8
iman-ı âhiret,8
fenalık,7
hayvanat,7
hazin,7
hakîm,7
kerîm,7
nev-i insan,7
azap,7
muvakkaten,7
zerre,7
burhan,7
temsîlî,7
muhtelif,7
takdim,7
miskin,7
halet,7
ecnebî,7
divane,7
malûm,7
birader,7
taksim,7
inkılâb,7
tecrübe,7
âyine,7
sofra-i nimet,7
vaziyet,7
meyusiyet,7
sır,7
terhis,7
tilmiz,7
hevesat,7
hikmet-i kur'ân,7
rabıta,7
medet,7
inkâr,7
evliya,7
aleyhissalâtü vesselâm,7
mazi,7
nezaret,7
güya,7
mahiyet-i insaniye,7
süflî,7
masnuat,7
mezar-ı ekber,7
fıkra,7
âlâ-yı illiyyîn,7
kerem,7
hayvânât,7
zaman-ı mazi,7
kadîr-i mutlak,7
makasıd,7
teshir,7
şems,7
tazammun,7
cihâzât,7
ehemmiyetli,7
mâlikiyet,7
câmi',7
münâcât,7
muâraza,7
medeniyet-i hazıra,7
daimî,7
hâkezâ,7
silsile,7
nübüvvet,7
gayet,7
hamiyet,7
eski said,6
risale,6
batman,6
tâbi,6
şekvâ,6
mâruz,6
muntazam,6
erzak,6
zîruh,6
cereyan,6
iptal-i his,6
hidayet,6
lisan-ı hâl,6
sahrâ,6
dergâh,6
zikir,6
