kelime,frekans
hikmet,80
kâinat,78
suret,66
âlem,61
hakikat,60
hayat,53
rahmet,44
ve,43
saadet,42
vücud,38
âhiret,37
nihayetsiz,36
saltanat,30
rububiyet,30
hadsiz,29
cemâl,29
şehadet,29
kudret,29
cilve,29
mevcudat,29
hakîm,28
arz,28
haşr,28
kemâl,27
ebedî,26
haşir,24
intizam,24
mazhar,24
nev,24
inâyet,23
kübrâ,22
sâni,22
inkâr,22
beka,22
daimî,21
izzet,20
cihet,20
fâni,20
icad,20
zât,19
vaad,19
rahîm,19
beyan,18
ferman,18
umum,18
kat'î,18
ilâhiye,18
muvakkat,17
müşahede,17
ekrem,17
zülcelâl,17
mahlûkat,17
esmâ,17
kabil,16
mahkeme,16
bâki,16
ubûdiyet,16
mutlak,16
ziyade,16
delâlet,15
meşher,15
raiyet,15
zevâl,15
kemâlât,15
müştak,15
nümune,15
hâşâ,15
ehl,15
kur'ân,15
kadîr,15
muhafaza,14
ihsan,14
kerem,14
mucize,14
insan,14
zîhayat,14
beşer,14
mükâfat,13
hüsn,13
mizan,13
menzil,13
risalet,13
halk,13
sermedî,13
dar,13
mücazat,12
tasdik,12
ziya,12
muhal,12
hak,12
hâlık,12
şuur,12
ebediye,12
küre,12
iman,12
temsil,11
mukabil,11
dâr,11
vech,11
âyine,11
amel,11
medar,11
âzam,11
burhan,11
envâ,11
zerre,11
mahlûk,11
ihyâ,11
âyât,11
haşriye,11
hüccet,11
nihayet,10
muntazam,10
kıymettar,10
muhteşem,10
hakikî,10
muhasebe,10
misal,10
uzmâ,10
celâl,10
mutlaka,10
a'mâl,10
mahiyet,10
dünya,10
ekser,10
lisan,9
nevi,9
tebdil,9
sehâvet,9
elem,9
teşkil,9
istihsan,9
edici,9
muhabbet,9
şefkat,9
yâver,9
resul,9
enbiya,9
kerîm,9
kader,9
azamet,9
iktiza,9
kıyamet,9
semâvât,9
gayb,9
zemin,9
hülâsa,9
inşa,9
hakaik,8
ahali,8
delâil,8
haysiyet,8
âli,8
haşmet,8
teşhir,8
vücut,8
hürmet,8
meydan,8
nefs,8
sair,8
zîşuur,8
dalâlet,8
ulûhiyet,8
masnuat,8
hakkaniyet,8
bâb,8
âciz,8
hilkat,8
mânâ,8
nizam,8
hayy,8
tahakkuk,8
nazar,8
mezkûr,8
hayattar,8
mâlik,7
had,7
muamele,7
misilsiz,7
hıfz,7
ittifak,7
ekber,7
ef'âl,7
zabit,7
cüzdan,7
biçare,7
ilâhî,7
mukaddes,7
san'at,7
kesret,7
rab,7
tecellî,7
ibâd,7
ebed,7
cûd,7
muhammediye,7
nuranî,7
kellâ,7
dünyeviye,7
eşya,7
insaniye,7
kâtip,6
hâkim,6
harap,6
bahusus,6
hesaba,6
dellâl,6
muhtelif,6
makarr,6
teçhizat,6
imtihan,6
ihsânât,6
mesken,6
müteaddit,6
mülk,6
ulvî,6
mazi,6
zahir,6
ekmel,6
hakîmâne,6
tezahür,6
münhasır,6
mukaddime,6
tarz,6
cihazat,6
irade,6
risale,6
küfür,6
mukabele,6
âsâr,6
lâtif,6
cereyan,6
maslahat,6
evliya,6
müttefikan,6
niyaz,6
sırr,6
mahşer,6
nefer,6
tezyinat,6
fena,6
hafîziyet,6
ihata,6
ervah,6
acz,6
ihya,6
adalet,6
içtimaiye,6
istilzam,6
neşr,6
rükn,6
cüz'î,5
in'âm,5
taltif,5
devam,5
tasavvur,5
tahkir,5
içtima,5
istidad,5
âdi,5
hafîz,5
gayret,5
hilâf,5
tekzip,5
ihzar,5
tevatür,5
icmâ,5
azîme,5
müstekar,5
müstakbel,5
bekasız,5
emârât,5
memleket,5
icraat,5
rahîmâne,5
düstur,5
bedbaht,5
gelmez,5
tevfik,5
cenâb,5
hane,5
tezyin,5
masnu,5
külliye,5
zâtî,5
istidat,5
cami',5
şayeste,5
mutasarrıf,5
mazhariyet,5
Âdil,5
hayvanat,5
sukut,5
misafirhane,5
nam,5
Âdem,5
hizmetkâr,5
kayyûm,5
semavî,5
musahhar,5
şecere,5
tabur,5
ezelî,5
Âzam,5
hayatiye,5
mevt,5
istinad,5
tanzim,5
âhir,5
muvazene,5
müdahale,5
akîde,5
bâkiye,5
melâike,5
remzen,5
tasarruf,4
taam,4
itaat,4
mazlum,4
telezzüz,4
firak,4
letâif,4
mütehayyir,4
seyrangâh,4
ednâ,4
hacet,4
nişan,4
mukteza,4
tayyare,4
müstemir,4
şe'n,4
merhamet,4
mes'ud,4
hulf,4
vehm,4
müstehak,4
dehşetli,4
ihbar,4
zevâlsiz,4
diyar,4
maksat,4
bâhir,4
intizâmât,4
işârât,4
semerât,4
dereke,4
tazammun,4
evsâf,4
acip,4
ziynet,4
derc,4
alîm,4
vahdâniyet,4
dikkat,4
âmme,4
sual,4
vahdet,4
nübüvvet,4
aleyhissalâtü,4
vesselâm,4
asfiya,4
kâfi,4
bilhassa,4
kudsiye,4
umumî,4
rahmân,4
sahife,4
münasip,4
rabbâniye,4
mehâsin,4
münezzeh,4
mikyas,4
hâl,4
icabet,4
suhulet,4
sebeb,4
emirber,4
tenezzüh,4
alâkadar,4
güz,4
sübhâniye,4
elvâh,4
tesbihat,4
neşir,4
nazdar,4
sayha,4
sultan,4
istirahat,4
ahsen,4
zerrât,4
elhasıl,4
keyfiyet,4
müteveccih,4
münasebet,4
netice,4
ism,4
kuvve,4
tekvîniye,4
müsavi,4
imtisal,4
tefsir,4
haşrî,4
mâneviye,4
uhreviye,4
refakat,4
vuku,4
ayn,4
sûret,4
rubûbiyet,4
zeyl,4
cevher,4
ezeliye,4
ilmî,4
misâl,4
kâh,4
nazire,4
islâmiye,3
muhkem,3
malı,3
şimendifer,3
manevra,3
kafile,3
emin,3
muti',3
müzeyyen,3
zillet,3
cenah,3
iltica,3
ziyafet,3
mânevî,3
nazirsiz,3
adavet,3
teyid,3
celb,3
teşhirgâh,3
vaziyet,3
mahsus,3
muazzam,3
iktidar,3
sıdk,3
tenvir,3
ifa,3
kavî,3
mütegayyir,3
sür'atli,3
tahrip,3
terkip,3
ihtifâlât,3
acaip,3
vâsi,3
yakinen,3
ecmel,3
daire,3
mukim,3
malûm,3
gaddar,3
inkılâb,3
ulyâ,3
cemaat,3
hassa,3
kurb,3
mükerrem,3
zelil,3
emare,3
alâmet,3
evâmir,3
nefis,3
hikâye,3
temsiliye,3
edilen,3
ümmet,3
fihriste,3
şuhud,3
imtiyaz,3
hezeyan,3
teşkilât,3
muhît,3
has,3
zîşân,3
tabakatı,3
habib,3
zuhur,3
vazife,3
azîm,3
zira,3
zâil,3
makasıd,3
mü'min,3
bedaheten,3
cüz,3
kalb,3
tehir,3
hazâin,3
cemîl,3
mahall,3
nebatat,3
nazarında,3
sıfât,3
mükerreren,3
azametli,3
yâ,3
esbab,3
müddet,3
timsal,3
ibka,3
kanun,3
ruh,3
hilâfet,3
emanet,3
hafıza,3
zâhir,3
semere,3
ihtimam,3
münafi,3
münkir,3
rû,3
efrad,3
farz,3
istib'âd,3
taife,3
küllî,3
abes,3
hakikiye,3
abesiyet,3
zarfında,3
Âhiret,3
hitâbât,3
takvim,3
tahammül,3
şuûnât,3
teçhiz,3
keşif,3
kat'iyet,3
vecih,3
ihtiyar,3
şeffâfiyet,3
arş,3
mümkinat,3
adem,3
imkân,3
ehven,3
feyz,3
kudsî,3
nükte,3
divâne,3
erkân,3
mucizü'l,3
hususan,3
resûl,3
istinaden,3
suhuf,3
ilmelyakîn,3
sâdık,3
tekzib,3
vücub,3
mütemadiyen,3
zevi'l,3
intihap,3
nur,3
idam,3
lem'a,3
sermediye,3
ilm,3
rabbânî,3
sâfi,3
his,3
müheyyâ,3
kabile,3
zikr,3
metâ,3
ihtar,2
makul,2
mütesanit,2
hayalî,2
heves,2
tebaiyet,2
sefahet,2
mîrî,2
istifade,2
musannâ,2
turra,2
temerrüt,2
hizmet,2
şahane,2
zerrece,2
haddinden,2
tecavüz,2
heybet,2
te'dib,2
hükûmet,2
himaye,2
icra,2
mat'umat,2
lezzet,2
muciznümâ,2
mahfî,2
meyl,2
musibetzede,2
menba,2
mahv,2
müteşekkir,2
maksud,2
temâşâ,2
tahavvül,2
halis,2
vukuat,2
zaptedilsin,2
mükerrer,2
âsi,2
mühim,2
hezeyancı,2
tezellül,2
muhbir,2
tekemmülsüz,2
umur,2
kesretli,2
mahir,2
inkılâp,2
mecma,2
mucizekâr,2
suretçe,2
mertebe,2
eşmel,2
ecell,2
tevehhüm,2
sefih,2
sofestâî,2
reis,2
harekât,2
hazine,2
istimal,2
muhterem,2
tebliğat,2
nisbeten,2
tebliğ,2
vehim,2
halâs,2
izah,2
emmâre,2
şakirt,2
millet,2
küfriye,2
kaside,2
nakş,2
kalem,2
harika,2
sofra,2
nimet,2
ihtilât,2
gaflet,2
aks,2
divanelik,2
zerrecik,2
divane,2
heyet,2
menşe,2
vâhid,2
bende,2
şems,2
elzem,2
tarif,2
enzar,2
dergâh,2
letaif,2
izhar,2
muallim,2
vezaif,2
mukarrebîn,2
tahkik,2
mucizât,2
bahr,2
vücuh,2
fıtrat,2
mektubât,2
samedâniye,2
ikram,2
libas,2
tahtında,2
nebatî,2
meş'um,2
hamd,2
hareket,2
hidayet,2
tarihçe,2
cihâzât,2
levâzımât,2
adl,2
hâcet,2
belki,2
nisbet,2
tecdit,2
sehâ,2
enzâr,2
şevk,2
kâfir,2
