kelime,frekans
kâinat,125
rahmet,119
hikmet,119
âlem,101
ve,95
suret,92
hakikat,91
hayat,87
saadet,67
nihayetsiz,57
kudret,55
ilâhiye,55
kemâl,51
arz,51
mevcudat,48
hadsiz,47
rububiyet,47
vücud,45
âhiret,45
cilve,44
hakîm,44
zât,42
cemâl,42
saltanat,41
nefs,36
ehl,36
ubûdiyet,36
kur'ân,35
şehadet,35
rahîm,34
intizam,34
mahlûkat,34
cihet,34
zülcelâl,34
sâni,34
ebedî,32
esmâ,32
mazhar,32
haşr,32
hak,31
fâni,31
âyine,30
mutlak,30
acz,29
hakikî,29
kübrâ,29
hâlık,28
beka,28
kadîr,27
sikke,27
inâyet,27
zevâl,26
beşer,26
nazar,25
haşir,25
müşahede,24
ferman,24
izzet,24
nev,24
hâkim,23
cenâb,23
kat'î,23
delâlet,23
kemâlât,23
inkâr,23
ziyade,22
fakr,22
umum,22
zîhayat,22
ebed,22
insan,22
ekrem,22
daimî,22
kıymettar,21
muhabbet,21
beyan,21
ziya,21
temsil,21
kerîm,21
ebediye,21
muvakkat,21
amel,21
icad,21
nam,20
rahmân,20
mucize,20
bedbaht,20
hüsn,20
bâki,20
sima,19
nümune,19
küre,19
mahiyet,19
âciz,19
ihsan,19
rab,19
tılsım,19
vaad,19
ehadiyet,18
envâ,18
âzam,18
sermedî,18
nefer,18
muhafaza,18
hizmetkâr,18
raiyet,18
dünya,18
iman,18
insaniye,17
hâşâ,17
mükâfat,17
âli,17
mukabele,17
mânâ,17
lisan,16
hilkat,16
azamet,16
semâvât,16
muntazam,16
âsâr,16
tasdik,16
dünyeviye,16
halk,16
mizan,16
ekber,16
dar,16
müştak,16
risalet,16
kabil,16
ahali,16
meşher,16
mahkeme,16
musahhar,15
mahlûk,15
ilâhî,15
izhar,15
vech,15
sırr,15
azîm,15
cüz'î,15
mezkûr,15
ruh,15
âyât,15
kerem,15
menzil,15
nefis,14
tezahür,14
ulûhiyet,14
şefkat,14
mukabil,14
mutlaka,14
elem,14
zemin,14
uzmâ,14
tecellî,14
ekser,14
celâl,14
resul,14
cihazat,14
istihsan,14
mâlik,13
bismillâhirrahmânirrahîm,13
kesret,13
sultan,13
hürmet,13
hülâsa,13
dalâlet,13
meydan,13
imtihan,13
lâtif,13
nizam,13
muamele,13
kudsiye,13
şe'n,13
dergâh,12
istinad,12
medar,12
nuranî,12
teşkil,12
hüccet,12
münasip,12
zerre,12
biçare,12
abd,12
bahtiyar,12
nihayet,12
firak,12
vazife,12
dâr,12
maksat,12
bâkî,12
tebdil,12
misal,12
ihyâ,12
mücazat,12
muhteşem,12
muhal,12
masnuat,12
şuur,12
üstad,12
san'at,11
vesselâm,11
