kelime,frekans
hakikat,124
hayat,116
elem,107
saadet,107
cihet,105
ehl,98
dalâlet,92
âlem,91
kâinat,89
nefs,86
hikmet,79
muhabbet,79
ve,76
suret,73
rahmet,72
iman,69
nazar,68
hakikî,66
hadsiz,65
beşer,65
nihayetsiz,59
hak,54
acz,54
nimet,54
hâlık,53
esmâ,53
âhiret,52
ebedî,52
dua,49
kur'ân,46
nur,46
sefahet,45
ebediye,45
zevâl,45
gaflet,44
bâki,43
ilâhiye,42
kudret,41
cenâb,40
mevcudat,40
elîm,39
fâni,39
kemâl,38
ubûdiyet,38
musibet,37
arz,37
hakîm,36
fakr,35
adem,35
vücud,34
rahîm,34
zulümat,34
biçare,34
düstur,34
zemin,34
ene,34
zülcelâl,33
muvazene,32
zîhayat,32
mahiyet,32
medar,32
istikbal,32
beyan,32
ziyade,31
firak,31
mâlik,31
nefis,31
gayr,30
cilve,30
kat'î,30
şe'n,30
dünyeviye,29
nam,29
mutlak,28
bedbaht,28
menfaat,28
cüz'î,28
insaniye,27
nev,26
tılsım,26
kemâlât,26
nevi,26
insaniyet,26
zaaf,25
kerîm,25
sair,25
âciz,25
ihtiyar,25
alâkadar,25
rahmân,24
nuranî,24
musahhar,24
muhafaza,24
muvakkat,24
sâni,24
esbab,24
amel,23
beka,23
istinad,23
mü'min,23
ilâhî,23
hizmetkâr,23
daire,23
mahlûkat,23
şefkat,22
semâvât,22
lisan,22
kadîr,22
sarf,22
beşeriye,22
sukut,22
silsile,22
mukabil,21
abd,21
vahşet,21
şecere,21
dehâ,21
hissiyat,20
ebed,20
umum,20
elhamdü,20
lillâh,20
insan,20
mâneviye,20
vazife,20
tevekkül,20
ruh,20
muzır,20
cemâl,20
hamd,20
kur'âniye,19
kuvve,19
nihayet,19
dehşetli,19
tasdik,19
kalb,19
iktidar,19
mazhar,19
zât,19
dünya,18
meşru,18
küre,18
mübarek,18
ihsan,18
fıtrat,18
darağacı,18
zaman,18
medeniyet,18
tabiat,18
misal,18
rab,17
neş'et,17
ü,17
havf,17
hevâ,17
hane,17
azîm,17
mülk,17
felsefe,17
nokta,17
nisbet,17
avrupa,17
hayaliye,16
hâlet,16
rububiyet,16
hâcât,16
bahtiyar,16
ulvî,16
lezzet,16
ayn,16
ünsiyet,16
âyet,16
şehadet,16
temsil,16
mecazî,16
sıfât,16
menzil,16
kıymettar,15
hakaik,15
müteveccih,15
rabbâniye,15
kâfi,15
umumî,15
san'at,15
nefer,15
mahlûk,15
telâkki,15
içtimaiye,15
icad,15
mevt,15
mazi,15
vakıa,15
cüz,15
fenâ,15
eşya,15
mehâsin,15
kezâ,15
münasebet,14
taife,14
hidayet,14
hasâret,14
iltica,14
müşahede,14
ferman,14
zâil,14
berzah,14
hüsn,14
hürmet,14
mânevî,14
ziya,14
tesettür,14
hüdâ,14
sırr,13
emel,13
fıtrî,13
istidat,13
ihtar,13
şer,13
selâmet,13
hazine,13
mânen,13
leziz,13
emmâre,13
marifet,13
hevesât,13
uhuvvet,13
hususan,13
sadakat,13
kader,13
ekber,13
tenvir,13
şirk,13
aşk,13
tasavvur,13
küllî,13
hususî,13
inkılâp,13
haslet,12
seyahat,12
âhir,12
maksat,12
hüccet,12
mu'cize,12
seyyah,12
hâkim,12
ecel,12
tesbih,12
tecellî,12
mizan,12
âyine,12
acip,12
nümune,12
mahbub,12
cidal,12
cihâzât,12
nübüvvet,12
said,11
galebe,11
tulû,11
letâif,11
kabil,11
zelzele,11
azap,11
izale,11
hilkat,11
ezelî,11
sürur,11
âsâr,11
hülâsa,11
emniyet,11
zayi,11
cihazat,11
gaye,11
sultan,11
niyaz,11
ahbap,11
hükm,11
fazilet,11
mahsus,11
rabıta,11
tecavüz,11
iktiza,11
celb,11
vecih,11
vücut,11
enaniyet,11
mahbup,11
kesret,11
