"kelime","anlam"
"nasihat","öğüt"
"temsilât","temsiller, kıyaslama tarzında benzetmeler"
"hakikat","gerçek, doğru"
"ziyade","çok, fazla"
"nasihat","öğüt"
"avam","halk"
"BİSMİLLÂH","Allah'ın adıyla"
"hayr","iyilik, güzel iş"
"mübarek","bereketli, uğurlu"
"nişan","alâmet, işaret"
"mevcudât","varlıklar"
"lisan-ı hâl","hal ve beden dili"
"vird-i zebân","sürekli okunan zikir"
"Bismillâh","Allah'ın adıyla"
"bereket","Allah'tan gelen bolluk"
"temsîlî","kıyaslamalı benzetme şeklinde, analojik"
"Bedevî","çölde yaşayan, göçebe"
"kabile","boy, aşiret, topluluk"
"himaye","koruma altına alma"
"şakî","haydut, yol kesici"
"şer","kötülük, zarar"
"hâcât","ihtiyaçlar"
"tedarik","elde etme"
"hadsiz","sınırsız"
"ihtiyacat","ihtiyaçlar"
"sahrâ","çöl"
"mütevazı","alçakgönüllü"
"mağrur","gururlu"
"Mütevazi","alçakgönüllü"
"mağrur","gururlu"
"selâmet","esenlik, rahatlık"
"katıu't-tarîk","yolkesen, eşkiya"
"Şakî","haydut, yol kesici"
"nam","ad"
"mağrur","gururlu"
"zelil","alçalmak"
"mağrur","gururlu"
"nefs","kişinin kendisi"
"seyyah","yolcu"
"Acz","âcizlik, güçsüzlük"
"fakr","fakirlik, ihtiyaç hali"
"hadsiz","sınırsız"
"hâcât","ihtiyaçlar"
"nihayetsiz","sonsuz"
"sahrâ","çöl"
"Mâlik-i Ebedî","sahipliği sonsuza kadar süren Allah"
"Hâkim-i Ezelî","egemenliği zaman öncesinden beri devam eden Allah"
"kâinat","evren, yaratılmış herşey"
"hâdisât","olaylar"
"mübarek","bereketli, uğurlu"
"define","gizli hazine"
"nihayetsiz","sonsuz"
"acz","âcizlik, güçsüzlük"
"fakr","ihtiyaç hali, fakirlik"
"nihayetsiz","sonsuz"
"kudret","güç, iktidar"
"rahmet","şefkat, merhamet"
"rapt","bağlamak"
"Kadîr-i Rahîm","herşeye gücü yeten, sonsuz rahmet sahibi Allah"
"dergâh","makam, huzur"
"acz","âcizlik, güçsüzlük"
"fakr","ihtiyaç hali, fakirlik"
"makbul","kabul görmüş"
"şefaatçi","yardımcı, lütuf ve ikrama vesile kılan"
"pervâ","korku"
"mevcudat","varlıklar"
"lisan-ı hâl","hal ve beden dili"
"Bismillâh","Allah'ın adıyla"
"cebren","zorla"
"sevk","göndermek, sürmek"
"cebren","zorla"
"Yakînen","kesin olarak"
"istinad","dayanmak"
"Cenâb-ı Hak","Hakkın ta kendisi olan şeref ve yücelik sahibi Allah"
"zerrecik","atom, en küçük madde parçası"
"Bismillâh","Allah'ın adıyla"
"hazine-i rahmet","rahmet hazinesi"
"tablacılık","tezgâhtarlık, sunuculuk"
"bostan","sebze bahçesi"
"Bismillâh","Allah'ın adıyla"
"matbaha-i kudret","Allah'ın kudret mutfağı"
"muhtelif","çeşitli"
"leziz","lezzetli"
"taam","yiyecek"
"mübarek","bereketli, uğurlu"
"Bismillâh","Allah'ın adıyla"
"rahmet","şefkat, merhamet"
"feyz","ihsan, bolluk, bereket"
"Rezzak","bütün varlıkların rızıklarını veren Allah"
"latîf","güzel, hoş"
"nazif","temiz"
"âb-ı hayat","hayat suyu"
"takdim","sunmak"
"nebat","bitki"
"Bismillâh","Allah'ın adıyla"
"Rahmân","yarattıklarını esirgeyip koruyan, şefkat eden ve rızıklandıran sonsuz rahmet sahibi Allah"
"musahhar","boyun eğmek"
"intişar","yayılma"
"kemâl-i suhuletle","tam bir kolaylıkla"
"intişar","yayılma"
"şiddet-i hararet","sıcaklığın şiddeti"
"nâzik","zarif, ince, narin"
"tabiiyyun","tabiatçılar, herşeyin tabiatın tesiriyle olduğunu savunanlar"
"salâbet","sertlik, katılık"
"hararet","sıcaklık"
"emir tahtında","emir altında"
"Asâ-yı Mûsâ","Hz. Mûsâ'nın taşa vurunca su çıkaran ve sihri yok eden mu'cizeli asâsı; bk. Mûsâ (a.s.)"
"imtisal","emre uymak, itaat etmek"
"şak","yarmak"
"nâzenin","ince, nazik"
"âzâ-yı İbrahim","ateşe atıldığında mucize eseri yanmayan Hz. İbrahim'in vücut organları; bk. İbrahim (a.s.)"
"hararet","sıcaklık"
"mânen","mânevî olarak"
"Bismillâh","Allah'ın adıyla"
"nam","ad"
"Bismillâh","Allah'ın adıyla"
"nam","ad"
"nam","ad"
"nam","ad"
"gafil","duyarsız ve mânevî sorumluluklarından habersiz"
"Tablacı","tezgâhtar, sunucu"
