"kelime","anlam"
"mahrem","gizli olan, herkese söylenmeyen, gizli sır"
"has kardeşler","Üstadın çok değer verdiği ilk sıradaki talebeler"
"neşr","yayınlamak"
"zabıta","polis"
"tetkik","inceleme, araştırma"
"muhalif","aykırı"
"nâmahrem","yabancı kişi"
"Isparta","bk. Isparta"
"umum","bütün, genel"
"nazar","bakış, görüş"
"şakirt","öğrenci, talebe"
"kuvve-i mâneviye","manevî güç, moral"
"ziyade","artırmak"
"Medresetü'z-Zehra","Bediüzzaman'ın doğu illerinde kurmayı hayal ettiği üniversite; Risale-i Nur talebelerinin oluşturduğu mânevî üniversitesi; bk. Medresetü'z-Zehra"
"erkân","ileri gelenler"
"neşr","yayınlama"
"iştirak","katılma"
"Leyle-i Kadîr","Kadir gecesi"
"ihtar","hatırlatma"
"mesele-i mühimme","önemli mesele"
"Leyle-i Kadîr","Kadir gecesi"
"Nev-i beşer","insanlık, insan türü"
"son Harb-i Umumî","İkinci Dünya Savaşı"
"eşedd-i zulüm","zulmün en şiddetlisi"
"istibdad","baskının en şiddetlisi"
"tahribat","yıkımlar, bozmalar"
"meyusiyet","ümitsizlik"
"galip","yenen, üstün gelen"
"tahribat","yıkımlar, bozmalar"
"fâni","ölümlü, geçici"
"muvakkat","geçici"
"fantaziye","aşırı süs ve lüks, yalandan gösteriş"
"umum","genel, herkes"
"fıtrat-ı beşeriye","insanın yaratılışı, tabiatı"
"istidadat","kabiliyetler, yetenekler"
"mahiyet-i insaniye","insanın öz niteliği, iç yüzü"
"umum","genel, herkes"
"suret","şekil, görüntü"
"ebedperest","ebediyete önem veren"
"hissiyat-ı bâkiye","kalıcı olmayı, sonsuzluğu isteyen duygular"
"fıtrî aşk-ı insaniye","insanın fıtratındaki şiddetli sevgi, aşk"
"gaflet","umursamazlık, âhiretten ve Allah'ın emir ve yasaklarından habersiz davranma"
"dalâlet","hak yoldan sapkınlık, inançsızlık"
"tabiat","doğa, canlı cansız bütün varlıklar, maddî âlem"
"gaflet","umursamazlık, âhiretten ve Allah'ın emir ve yasaklarından habersiz davranma"
"dalâlet","hak yoldan sapkınlık, inançsızlık"
"siyasetin rû-yi zemin","dünya siyaseti"
"gaddârâne","acımasızca, zulmederek"
"suret","şekil, görüntü"
"Şimal","kuzey"
"garp","batı"
"emare","belirti, işaret"
"binaen","–dayanarak"
"nev-i beşer","insanlık, insan türü"
"mâşuk-u mecazî","gerçek sevgiye layık olmadığı halde aşık olunan şey"
"hayat-ı dünyeviye","dünya hayatı"
"hayat-ı bâkiye","devamlı ve kalıcı hayat"
"şakird","talebe, öğrenci"
"ehl-i hakikat","hak ve doğru yolda olanlar"
"kudsiyet","kusur ve noksandan uzak oluş, kutsallık"
"beşer","insanlar"
