"kelime","anlam"
"Cümle tahiyyat","bütün selamlar ve ibadetler"
"Hâkim-i Ezel","hükümranlığı bütün zamanları kaplayan"
"Hakîm-i Ezelî","varlığının başlangıcı olmayıp sürekli var olan ve herşeyi hikmetle yapan Allah"
"Rahmân-ı Lemyezelî","sonsuza kadar bütün mahlûkata merhamet ve şefkat eden, onlara nimetler veren Allah"
"elyak","en lâyık, en uygun"
"serfiraz","yükselten, yücelten; şereflendiren"
"şeriat-ı garrâ","büyük ve parlak şeriat, İslâmiyet"
"sırat-ı müstakîm","dosdoğru yol; iman ve Kur'ân yolu; ehl-i sünnet yolu"
"hidayet","doğru yola erdirmek"
"nakil","Kur'ân-ı Kerim ve sünnet gibi kaynaklardan aktarılan bilgi"
"dest-be-dest","el ele"
"ittifak","birleşmek, beraber hareket etmek"
"şeriatın hakaikinin hakkaniyeti","şeriatın hakikatlerinin doğruluğu"
"tasdik","doğrulamak, kabul etmek"
"hakikat","esas, doğru, gerçek"
"rüsuh","kökleşme, sağlamlaşma"
"kemâlât","olgunluklar, mükemmellikler, faziletler"
"intişar","yayılmak"
"füruat","dallar, şubeler; asıldan ayrılan kollar"
"saâdet-i dâreyn","dünya ve âhiret mutluluğu"
"Kur'ân-ı Mu'ciz","benzerini yapmakta akılları âciz bırakan Kur'ân"
"irşad","doğru yolu göstermek"
"kaide","düstur, kural"
"hilkat-i âlemin kitabı","şu âlemin yaratılışı, anlamlı olması, kendini yazanı göstermesi ve benzer cihetlerden bir kitaba benzetiliyor"
"dest-i kader","kader eli; kitap gibi yazılmış şu âlemi ince ölçülerle yazan el (buradaki kullanım mecazîdir)"
"kalem-i hikmet","hikmet kalemi; şu âlemde herşeyin belli bir gaye ve hedefe yönelik olarak yaratılıyor olması hali bir kaleme benzetiliyor"
"mektûb","yazılmış"
"cârî","geçerli"
"kavanîn-i amîka-i dakika-i İlâhiye","çok derin ve hassas olan İlâhi kanunlar"
"izhar","açığa çıkarmak, göstermek"
"ahkâm-ı âdilâne","adâletli hükümler, esaslar"
"nev-i beşer","insanlık âlemi, insanlar"
"nizam","düzen"
"muvazenet","denge, ölçü"
"terakki","ilerleme, yükselme"
