"kelime","anlam"
"Medine-i Münevvere","bk. Medine"
"Büyük İkbâl","bk. Muhammed İkbal"
"tarih-i hayat","hayat tarihi, biyografi"
"ulvî","yüce, büyük"
"menkıbe","meşhur kimselerin ahvaline dair hayat hikâyesi"
"aziz","çok değerli, izzetli, saygın"
"ulvî","yüce, büyük"
"feyz","Allah tarafından kula lutfedilen ve ilham yoluyla kalbe gelen manevî nimet"
"nisbet","kıyas, oran"
"rayiha","güzel ve hoş koku"
"feyz","Allah tarafından kula lutfedilen ve ilham yoluyla kalbe gelen manevî nimet"
"hakikat","gerçek, doğru"
"azamet","büyüklük, yücelik"
"ihtişam","haşmetli ve heybetli oluş"
"idrak","anlama, kavrama"
"Zira","çünkü"
"aziz","çok değerli, izzetli, saygın"
"muhterem","hürmete lâyık, saygıdeğer"
"ihlâs","ibadet ve davranışlarda sadece Allah rızasını gözetme; samimiyet"
"takdim","sunma"
"asr","yüzyıl"
"bereket","Allah'tan gelen bolluk, nimet"
"safha","merhale, aşama"
"fâtih","fetheden, açan"
"ibaret","meydana gelen"
"fazilet","güzel ahlâk, erdem"
"ihlâs","ibadet ve davranışlarda sadece Allah rızasını gözetme; samimiyet"
"irfan","bilme, anlama, sezme"
"safha","merhale, aşama"
"talebe","öğrenci"
"mukaddeme","giriş, başlangıç"
"hülâsa","özet"
"mevzu","konu"
"müstakil","bağımsız"
"muazzam","büyük"
"muhteviyat","bir şeyin içinde bulunan unsur ve özelilkler"
"mukaddeme","giriş, başlangıç"
"kabil","mümkün"
"âcizane","âciz ve güçsüz bir şekilde (bu ifade tevazu mânâsını taşır)"
"manzum","şiir şeklinde, vezinli"
"mensur","nesir, düz yazı"
"acz","acizlik, güçsüzlük"
"hayret","şaşkınlık"
"Binaenaleyh","bundan dolayı"
"İlâhî","Allah tarafından olan"
"neş'e","sevinç"
"Bediüzzaman","Bediüzzaman Said Nursî"
"müstesna","seçkin, benzeri olmayan"
"İlâhî","Allah tarafından olan"
"tecelli","belirme, görünme, yansıma"
"mazhar","ayna olma, erişme"
"mümtaz","seçkin"
"tetkik","inceleme, araştırma"
"hissen","his aracılğıyla"
"fikren","düşünce aracılığıyla"
"beyt","iki mısradan oluşan şiir bölümü"
"hakikat","gerçek, doğru"
"Cenâb-ı Hak","Hakkın ta kendisi olan, sonsuz şeref ve azamet sahibi yüce Allah"
"ulviyet","yücelik"
"dâvâ","takip edilen fikir ve düşünce sistemi"
"ihtişam","haşmetli ve görkemli oluş"
"azamet","büyüklük, yücelik"
"feyiz","ilham, bolluk, bereket"
"ilham","Allah tarafından kalbe indirilen mânâ"
"kutb","manevî mertebelerin en yükseğinde bulunan kimse"
"câzibe","çekim kuvveti"
"hayret","şaşkınlık"
"ulvî","yüce, büyük"
"münkir","inanmayan, inkar eden"
"şâd","neşeli, memnun"
"mesrur","sevinçli, mutlu"
"rabıta","bağ"
"İlâhî","Allah tarafından olan"
"mücahid","cihad eden, din uğrunda çaba harcayan"
"vecd","mânevî coşku"
"çirkef","iğrenç, pis şey"
"tufan","büyük su baskını"
"istikamet","yön"
"fazilet","güzel ahlâk, mânevî değer, erdem"
"Bediüzzaman","Bediüzzaman Said Nursî"
"mukavemet","karşı koyma, direnç gösterme"
"intikal","geçme, ulaşma"
"mukavemet","karşı koyma, direnç gösterme"
"feyiz","ilham, bolluk, bereket"
"meşreb","hareket tarzı, metod"
"tarikat","İlâhî hakikatlere ulaşmak için, şeyhin gözetiminde takip edilen yol"
"cemiyet","dernek"
"teşekkül","oluşum"
"idarî","yönetimle bağlantılı"
"adlî","adalet sistemiyle bağlantılı"
"tetkik","inceleme, araştırma"
"müselsel","silsile halinde, zincirleme"
"cereyan","oluşma, meydana gelme"
"İlâhî","Allah tarafından olan"
"tecellî","belirme, görünme, yansıma"
"irfan","bilgi, anlayış"
"müessese","kurum"
"tahakkuk","gerçekleşme"
"İlâhî","Allah tarafından olan"
"suret","biçim, şekil"
"tecellî","belirme, görünme, yansıma"
"zuhur","görünme, ortaya çıkma"
"beraat","temize çıkma, suçsuz olduğunun anlaşılması"
"bâtıl","doğru olmayan, yalan, yanlış"
"zulmet","karanlık"
"küfr","inkâr, inançsızlık"
"galebe","üstün gelmek"
"ezel","başlangıcı olmayan sonsuzluk"
"ebed","sonu olmayan sonsuzluk"
"İlâhî","Allah tarafından olan"
"hakikat","gerçek mahiyet, esas"
"zuhur","görünme, ortaya çıkma"
"ıslahatçı","yanlışlıkları ve eksiklikleri düzeltmeye ve iyileştirmeye çabalayan kişi"
"mahiyet","asıl, nitelik, özellik"
"hakikat","gerçek mahiyet, esas"
"sadakat","bağlılık, sebat"
"mi'yar","ölçü birimi"
"dâvâ","takip edilen fikir ve düşünce sistemi"
"muzaffer","zafer kazanan, galip gelen"
"ferdî","ferde, kişiye ait"
"içtimaî","toplumsal, sosyal"
"uzvî","insanın organları ve bedeniyle ilgili"
"ruhî","ruh ile ilgili"
"vücuda","var olma, meydana gelme"
"mütevazi","alçakgönüllü, gösterişsiz"
"âlicenap","yüksek ahlâk sahibi"
"feragat","hakkından isteyerek vaz geçme, affetme"
"mahviyetkâr","alçak gönüllü"
"hülâsa","özet olarak"
"fazilet","güzel ahlâk, mânevî değer, erdem"
"mümtaz","seçkin"
"şahsiyet","kişilik, yapı"
"cihad","mücadele, din uğrunda çaba harcama"
"muzaffer","zafer kazanan, galip gelen"
"emel","arzu, istek"
"neş'e","sevinç"
"dâvâ","takip edilen fikir ve düşünce sistemi"
"mahiyet","asıl, nitelik, özellik"
"hakikat","gerçek mahiyet, esas"
"şahsiyet","kişilik, yapı"
"hüviyet","kimlik"
"çehre","yüz, görünüm"
"aks","yansıtma"
"berrak","duru, saf"
"şaheser","üstün ve kalıcı nitelikte olan eser, başyapıt"
"misal","örnek"
"bilhassa","özellikle"
"Sultanu'l-Enbiya","bütün peygamberlerin sultanı olan Hz. Muhammed (a.s.m.)"
"sallâllahu aleyhi ve sellem","Allah'ın salât ve selâmı onun üzerine olsun"
"halife","Fahr-i Kâinat (a.s.m.) Efendimizin vekili olarak Müslümanların başkanlığını yapan ve İslâmiyeti korumak ve yaşatmakla görevli olan zât"
"Sahabe","Peygamberimizi (a s m ) dünya gözüyle görüp onun yolundan gidenler, onun etrafında bulunup hizmet edenler"
"varis","mirasçı"
"hadis-i şerif","Peygamber Efendimizin (a.s.m.) mübarek söz, fiil ve hareketi veya onun onayladığı başkasına ait söz, iş veya davranış"
"i'câzkâr","mu'cizeli, benzerini yapmakta başkalarını âciz ve hayrette bırakan"
"belâğat","sözün düzgün, kusursuz, yerinde, hâlin ve makamın icabına göre söylenmesi"
"beyan","açıklama"
"Zira","çünkü"
"varis","mirasçı"
"hakikat","gerçek, doğru"
"tebliğ","bildirme, sunma"
"neşr","yayma"
"tevkif","tutuklama"
"muhakeme","mahkemede yargılama"
"tecrid","insanlardan soyutlama, yalnız başına bırakma"
"asır","yüzyıl"
"mukaddes","her türlü çirkinlikten ve eksiklikten arınmış, kutsal"
"cihad","mücadele, din uğrunda çaba harcama"
"çetin","zor"
"sür'atiyle","hızıyla"
"vâris","mirasçı"
"amelî bir surette","uygulamalı bir şekilde"
"fazilet","güzel ahlâk, mânevî değer, erdem"
"meziyet","üstün özellik"
"meftun","insanları kendisine bağlayan, kendisinden geçiren"
"sema","gökyüzü"
"Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"muazzam","büyük"
"tazyik","baskı, ağırlık"
"tâzip","azap verme, cezalandırma"
"Büyük İkbâl","bk. Muhammed İkbal"
"ilham","Allah tarafından insanın kalbine indirilen mânâ"
"Mücahid","cihad eden, din uğrunda çaba harcayan"
"manzume","vezinli ve kafiyeli söz, şiir"
"mısra","şiirde yer alan her bir satır"
"şâirane","şairce"
"mübalâğa","abartı"
"Lâkin","ancak"
"mukaddeme","başlangıç, giriş"
"şaheser","üstün ve kalıcı nitelikte olan eser, başyapıt"
"vecd","coşku"
"kemal","mükemmel hale gelmek, olgunlaşmak"
"azm","kararlılık, irade, gayret"
"Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"ilham","Allah tarafından insanın kalbine indirilen mânâ"
"mihrap","Camilerde Kâbe yönünü gösteren ve imamın namaz kıldırırken geçtiği yer; mecazî olarak umut bağlanılan yer"
"Kandil","lâmba"
"mehtap","ay ışığı"
"Mahv","yıkılıp dağılma"
"sarp","çıkılması ve geçilmesi çok zor olan uçurum"
"meş'ale","kandil, lamba; ucunda ateş yanan ve aydınlatmak için kullanılan değnek"
"mukaddes","her türlü çirkinlikten ve eksiklikten arınmış, kutsal"
"Şafak","güneş doğmadan az önce beliren aydınlık"
"Zulmet","karanlık"
"meş'ale","kandil, lamba; ucunda ateş yanan ve aydınlatmak için kullanılan değnek"
"mısra","şiirde yer alan her bir satır"
"mücahid","cihad eden, din uğrunda çaba harcayan"
"Bediüzzaman Hazretleri","Bediüzzaman Said Nursî"
"Zira","çünkü"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"mücahid","cihad eden, din uğrunda çaba harcayan"
"vaad","söz verme"
"Meâl-i şerif","şerefli, yüce mânâ"
"mücahede","cihad etme, din uğrunda çaba harcama"
"muhsin","Allah'ı görmese de, Allah'ı görür gibi Ona ibadet eden"
"mücahid","cihad eden, din uğrunda çaba harcayan"
"cihan","dünya"
"mücahid","cihad eden, din uğrunda çaba harcayan"
"hidayet","doğru ve hak olan yol, İslâmiyet"
"vaad","söz verme"
"Hâşâ","asla, kesinlikle öyle değil"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"vaad","söz verme"
"hulf","verdiği sözü tutmama"
"azim","çok büyük"
"vaad-i İlâhî","Allah tarafından kullara verilen vaad"
"icap","gerektirme"
"tahakkuk","gerçekleşme"
"âyet-i kerime","şerefli âyet, Kur'ân'ın herbir cümlesi"
"tahlil","değerlendirme, çözümleme"
"billûr","kristal; duru, berrak ve akıcı"
"Zira","çünkü"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"hıfz","koruma"
"himaye","koruma"
"mazhar","ayna olma, erişme"
"bahis mevzu","söz konusu"
"sema","gökyüzü; yüksek dereceler"
"huzur-u İlâhî","kulun kendisini her an Allah'ın huzurunda hissetmesi"
"bahtiyar","yüce bir makâma erişmenin sağladığı mutluluk ve huzur"
"fâni","geçici, ölümlü"
"emel","arzu, istek"
"teveccüh","ilgi, yönelme"
"iltifat","yönelme, değer verme"
"pespâye","aşağılık, âdi"
"ihtiras","aşırı istek, tutku"
"teskin","sakinleştirme, rahatlatma"
"yâr","dost, sevgili"
"mürebbî","terbiye edici, eğitici"
"velî","dost"
"mârifet","Allah'ı tanıma, bilme"
"yâd","anma"
"Bezm-i Elest","Elest meclisi, Allah'ın ruhları yarattığında, Ben sizin Rabbiniz değil miyim? anlamındaki sorusuna, ruhların, Evet, Rabbimizsin diye cevap verdikleri an"
"tecellî","belirme, görünme, yansıma"
"ezel","başlangıcı olmayan sonsuzluk"
"mest","kendinden geçmiş"
"inayet","Allah'tan gelen yardım, ihsan, iyilik"
"mazhar","ayna olma, erişme"
"mübarek","kutlu; kendisine çok saygı duyulan"
"gülistan","gül bahçesi"
"ebediyet","sonu olmayan sonsuzluk"
"irşad","doğru yolu gösterme"
"ulvî","yüce, büyük"
"sebat","kararlılık, sabit olma"
"metanet","sağlamlık, kararlılık"
"celâdet","kahramanlık, yiğitlik"
