"kelime","anlam"
"İ'tizar","özür dileme"
"el-Mesneviyyü'l-Arabî","Arapça Mesnevî-i Nuriye"
"muanven","isimli; namlı"
"cihanbaha","dünyalar kıymetinde"
"kıymettar","kıymetli, değerli"
"avn","yardım"
"inayet","lütuf, yardım, bağış"
"Arabî","Arapça"
"muvaffak","başarmak"
"bahtiyar addediyorum","talihli, mutlu saymak"
"ulviyet","yücelik"
"cezalet","güçlü ve akıcı ifade"
"cevher-baha","mücevher gibi değerli"
"zarf","kılıf olmak, sarmak"
"lâfız","söylenen ifade, kelime"
"lisan","dil"
"nâkıs ve kasır","eksik ve kısa"
"azîm","büyük, yüce"
"imanî","imanla ilgili, imana dair"
"cesîm","çok büyük"
"Kur'ânî","Kur'ân'a ait; Kur'ân'da bulunan"
"kisve","örtü, kıyafet"
"tedarik","elde etmek"
"Fabrika-i dımağiye","akıl fabrikası"
"müellif-i muhterem","hürmetli müellif; saygıdeğer yazar"
"Bediüzzaman","bk. Bediüzzaman Said Nursî"
"meal","kısa açıklamalı tercüme"
"tayyedilmiş","atlanmak, çıkarılmak"
"meal","kısa açıklamalı tercüme"
"tayyettim","çıkarmak"
"hakaik","gerçekler, esaslar"
"evlâd-ı vatan","vatan evlatları"
"Müellif","telif eden, yazan"
"neseben","soyca, sülâle bakımından"
"Abdülmecid Nursî","(1884-1967) Üstad Bediüzzaman'ın kardeşi ve talebesi; bk. Abdülmecid (Nursî)"
"NEVİ","çeşit, tür"
"ARABÎ","Arapça"
"MESNEVÎ-İ ŞERİF","her beyti ayrı kafiye olan manzum eser; Mevlânâ'nın Farsça eseri"
"HÜKMÜNDE","bir şeyle aynı hükmü alan"
"MECMUA","derlenmiş eser"
"MUKADDEME","önsöz, başlangıç"
"Eski Said","bk. Bediüzzaman Said Nursî"
"ulûm-u akliye ve felsefiye","aklî ve felsefî ilimler"
"hakikatü'l-hakaik","hakikatlerin hakikati; en büyük hakikat"
"ehl-i tarikat","bir tarikata mensup olmak suretiyle hakikate ulaşmaya çalışanlar"
"ehl-i hakikat","gerçekleri bilenler, hakikatlere ulaşmayı temel alanlar"
"Ekser","pek çok"
"ehl-i tarikat","bir tarikata mensup olmak suretiyle hakikate ulaşmaya çalışanlar"
"kalben","kalp aracılığıyla"
"kanaat","yetinmek"
"hikmet-i felsefiye","varlıkların hakikatlerini felsefî yollarla açıklamayı esas alan sistem"
"kalben","kalp aracılığıyla"
"aklen","akıl vasıtasıyla"
"hakikat","bir şeyin aslı ve esası, gerçek mahiyeti"
"ehl-i hakikat","gerçekleri bilenler, hakikatlere ulaşmayı temel alanlar"
"câzibedar","çekici"
"hassa","nitelik, özellik"
"tahayyürde","hayrete düşme; ne yapacağını şaşırma"
"İmam-ı Rabbânî","bk. İmam-ı Rabbânî"
"gaybî","gayba ait; bilinmeyen âlemlerle bağlantılı"
"Tevhid-i kıble","bir tek hedef belirleme"
"üstad","eğitici; lider, öncü"
"Eski Said","bk. Bediüzzaman Said Nursî"
"Üstad-ı hakikî","gerçek öğretici"
"Tevhid-i kıble","bir tek hedef belirleme"
"üstad","eğitici; lider, öncü"
"üstad-ı kudsî","kutsal üstad, yol gösterici hoca"
"irşad","doğru yol gösterme"
"sülûke başladılar","mânevî âlemlere ve derecelere yönelmek"
"Nefs-i emmare","insanı daima kötülüğe, yasak zevk ve isteklere sevk eden duygu"
"şükûk ve şübehat","tereddütler ve şüpheler"
"mücahede","cihad etme, din uğrunda çaba harcama"
"İmam-ı Gazâlî","bk. İmam-ı Gazâlî"
"Mevlâna Celâleddin","Mevlânâ Celâleddîn-i Rûmî"
"İmam-ı Rabbânî","bk. İmam-ı Rabbânî"
"ehl-i istiğrâk","manevî zevklere dalıp kendinden geçen kişiler"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"hadsiz","sınırsız"
"şükür","Allah'a karşı minnet duyma ve Ona teşekkür etme"
"irşad","doğru yol gösterme"
"hakikat","bir şeyin aslı ve esası, gerçek mahiyeti"
"hakikat","bir şeyin aslı ve esası, gerçek mahiyeti"
"mazhar","ayna olma, nail olma"
"Yeni Said","bk. Bediüzzaman Said Nursî"
"NOKTA","bu eserde yer alan bir risale"
"Mevlâna Celâleddin","bk. Mevlânâ Celâleddîn-i Rûmî"
"İmam-ı Rabbânî","(1564-1624) soyu Hz. Ömer'e dayanan ve Hindistan'da yetişen büyük velî, âlim ve müceddid zât; bk. İmam-ı Rabbânî"
"İmam-ı Gazâlî","(1058-1111) İslâm âlimleri arasında en çok eser verenlerden biridir. Dönemindeki felsefecilerin İslâmiyet aleyhine sordukları sorularına çok etkili cevaplar verdiği için Hüccetü'l-İslâm (İslâm'ın delili) lakabını almıştır; bk. İmam-ı Gazâlî"
"ittifak","birlik, bütünlük"
"evham","kuruntular, şüpheler"
"lillâhilhamd","Allah'a hamd olsun ki"
"Eski Said","bk. Bediüzzaman Said Nursî"
"Yeni Said","bk. Bediüzzaman Said Nursî"
"inkılâp","değişmek, dönüşmek"
"Farisî","Farsça"
"Mesnevî-i Şerif","her beyti ayrı kafiye olan manzum eser; içinde dinî ve ahlâkî nasihatlar bulunan Mevlânâ'nın Farsça eseri; bk. Mesnevî-i Şerif"
"nevi","çeşit, tür"
"Mesnevî","her beyti ayrı kafiye olan manzum eser; içinde dinî ve ahlâkî nasihatlar bulunan Mevlânâ'nın Farsça eseri; bk. Mesnevî-i Şerif"
"hükmünde","yerinde; bir şeyle aynı hükmü alma"
"Katre","damla mânâsını taşıyan ve bu eserde yer yer alan bir risale"
"Hubab","su kabarcığı mânâsını taşıyan ve bu eserde yer alan bir risale"
"Habbe","dâne, tohum mânâsını taşıyan ve bu eserde yer alan bir risale"
"Zühre","çiçek mânâsını taşıyan ve bu eserde yer alan bir risale"
"Zerre","atom mânâsını taşıyan ve bu eserde yer alan bir risale"
"Şemme","kokucuk ve güzel koku mânâsını taşıyan ve bu eserde yer alan bir risale"
"Şu'le","ateşten çıkan ince sivri alev mânâsını taşıyan ve bu eserde yer alan bir risale"
"Lem'alar","parıltılar mânâsını taşıyan ve bu eserde yer alan bir risale"
"Reşhalar","sızıntılar mânâsını taşıyan ve bu eserde yer alan bir risale"
"Lâsiyyemalar","bu eserde yer alan bir risale."
"Nokta","bu eserde yer alan bir risale"
"Lemeat","parıltılar mânâsını taşıyan ve Sözler'in sonunda yer alan bir risale"
"tab'","yazmak, basmak"
"dahilî","iç, içsel olan"
"nefis","insanı daima kötülüğe, haram olan zevk ve isteklere sevk eden duygu"
"hariçte","dışarıda"
"mütehayyir","şaşkın"
"dalâlet","hak yoldan sapkınlık inançsızlık"
"ehl-i felsefe","felsefe ilmini temel kabul eden kişiler"
"küllî","genel, kapsamlı"
"Mesnevîler","Mesnevî tarzıyla kaleme alınan eserler"
"hükmüne geçti","benzer bir şeyle aynı hükmü almak"
"NOKTA","bu eserde yer alan bir risale"
"Yeni Said","bk. Bediüzzaman Said Nursî"
"münazara","karşılıklı tartışma"
"nefis","insanı daima kötülüğe, haram olan zevk ve isteklere sevk eden duygu"
"tâlib-i hakikat","varlıkların arkasındaki hakikatlere ulaşmak isteyen"
"ehl-i ilhad ve dalâlet","dinsiz ve sapık olanlar"
"ilzam ve iskât","muhataba üstün gelmek ve onu susturmak"
"Arabî","Arapça"
"Mesnevî mecmuası","kitap hâlinde bir araya getirilen Mesnevî-i Nuriye risalesi"
"nevi","çeşit, tür"
"hükmünde","yerinde; bir şeyle aynı hükmü alma"
"mecmua","kitap hâlinde bir araya getirilmiş eser"
"dahilî","iç, içsel olan"
"nefis","insanı daima kötülüğe, haram olan zevk ve isteklere sevk eden duygu"
"nefs-i emmare","insanı daima kötülüğe, haram olan zevk ve isteklere sevk eden duygu"
"şeytan-ı cinnî ve insî","cinlerden ve insanlardan olup da insanları şerlere sevketmeye çalışan şeytanlar"
"şübehat","şüpheler, delil diye ileri sürülen tutarsızlıklar"
"malûmat","bilgiler, bilinen şeyler"
"meşhûdat","görünen ve bilinen şeyler"
"hükmünde","yerinde; bir şeyle aynı hükmü alma"
"ilmelyakîn","ilme, bilgiye ve sağlam delillere dayanarak, kuşkuya yer bırakmayacak şekilde kesin bilme"
"aynelyakîn","bir mesele hakkında gözle görmek sûretiyle, kesin bilgi sahibi olma"
"itminan","inanma, tatmin olma"
"Eski Said","bk. Bediüzzaman Said Nursî"
"ilm-i hikmet","felsefe ilmi; varlıkların mahiyet, nitelik ve özelliklerinden bahseden ilim"
