"kelime","anlam"
"Tenbih","ikaz, uyarı"
"tefsir","Kur'ân'ın âyetlerini açıklamak ve yorumlamak için yazılan eser"
"eski Harb-i Umumî","Birinci Dünya Savaşı; bk. Birinci Harb-i Umumî"
"cephe-i harp","savaş cephesi, üzerinde savaş yapılan bölge"
"me'haz","kaynak"
"mevcut","var olmak, bulunmak"
"telif","yazmak"
"Harp","savaş"
"zaruret","zorunluluk, gereklilik"
"binaen","-dayanarak"
"gayet","son derece"
"muhtasar","kısaca, özet"
"îcaz","sözü kısaltmak; maksadı açık ve net bir şekilde az sözle ifade etme"
"Fatiha","Kur'ân-ı Kerim'in ilk sûresi"
"nısf-ı evvel","ilk yarı"
"mücmel","kısa, kısaca"
"muhtasar","kısaca, özet"
"izah","açıklama"
"Eski Said","bk. Bediüzzaman Said Nursî"
"îcaz","sözü kısaltmak; maksadı açık ve net bir şekilde az sözle ifade etme"
"tabirat","tabirler, ifadeler"
"ifade-i meram","maksadı ifade etme, anlatma"
"Saniyen","ikinci olarak"
"Gayet","son derece"
"derece-i fehim","anlayış derecesi"
"Salisen","üçüncü olarak"
"Eski Said","bk. Bediüzzaman Said Nursî"
"dakik","ince"
"nazm-ı Kur'ân","Kur'ân'ın nazmı, Kur'ân'ın mübarek kelime ve âyetlerinin tertip, diziliş ve düzeni"
"îcaz","sözü kısaltmak; maksadı açık ve net bir şekilde az sözle ifade etme"
"i'câz","mu'cize oluş; bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstülük"
"beyan","açıklamak, izah etmek"
"Yeni Said","bk. Bediüzzaman Said Nursî"
"nazar","bakış açısı"
"mütalâa","dikkatlice okuyup incelemek, düşünmek"
"Elhak","gerçekten"
"Eski Said","bk. Bediüzzaman Said Nursî"
"hatiat","hatalar"
"tefsir","Kur'ân'ın âyetlerini açıklamak ve yorumlamak için yazılan eser"
"tetkikat-ı âliye","üst düzeyde, derinlemesine incelemeler, araştırmalar"
"şaheser","üstün, değerli eser"
"hâlis","içten, katıksız, samimî"
"belâgat","belâgat ilmi; sözün düzgün, kusursuz, yerinde, hâlin ve makamın icabına uygunluğunu tespit eden ilim"
"ulûm-u Arabiye","Arapça ilimler; medrese ilimleri"
"düstur","prensip, kural"
"tatbik","uygulamak"
"cerh","çürütmek, reddetmek"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"kefaret-i zünub","günahlara keffâret, bağışlanmaya vesile"
