"kelime","anlam"
"acip","acaip, şaşırtıcı"
"ehl-i îman","Allah'a inananlar, mü'minler"
"ehl-i fen ve mektep","fen ilimleriyle, öğrenim ve öğretim işleriyle meşgul olan"
"muallim","öğretmen"
"Zülfikar","Bediüzzaman'ın Kur'ân ve Peygamber Efendimizin mu'cizeleri ile ilgili olan bir eseri"
"i'câz-ı Kur'âniye","Kur'ân'ın mu'cize oluşu"
"ekser","çoğunluk"
"medar-ı şüphe ve itiraz","şüphe ve itirazlara sebep olan"
"i'câz","mu'cize oluş, bir benzerini yapmakta başkalarını aciz bırakma"
"lem'a","parıltı"
"nükte","ince ve derin anlamlı söz"
"Umum","bütün"
"Şâkirt","talebe, öğrenci"
"Said Nursî","bk. Bediüzzaman Said Nursî"
"Aziz","izzetli"
"sıddık","çok doğru, çok bağlı"
"taammüm","yayılma, genelleşme"
"hikmet-i cedide","yeni bilim"
"muallim","öğretmen"
"beyan","açıklamak, anlatmak"
"mutlak","kayıtsız, sınırsız"
"muzır","zararlı"
"hayat-ı içtimaiye-i beşeriye","insanlığın sosyal hayatı"
"kemâlât-ı insaniye","insana ait mükemmellikler"
"terakkiyat","ilerlemeler, yükselmeler"
"hikmet","eşyanın hallerinden, iç ve dış özelliklerinden bahseden ilim; fayda, gaye"
"hikmet","eşyanın hallerinden, iç ve dış özelliklerinden bahseden ilim; fayda, gaye"
"hâdim","hizmetçi"
"muaraza","karşı koymak"
"dalâlet","yoldan sapkınlık, inançsızlık"
"ilhad","dinsizlik, inkâr"
"sefahet","yasak zevk ve eğlencelere düşkünlük; beyinsizce davranış"
"lehviyat","haram eğlenceler, oyunlar"
"gaflet","Allah'ın emir ve yasaklarına duyarsız davranma hâli"
"dalâlet","yoldan sapkınlık, inançsızlık"
"mucizekâr","mu'cizeli"
"muaraza","karşı koymak"
"ekser","çoğunluk"
"ecza","kısımlar, bölümler"
"mizan","ölçü, tartı"
"burhan","güçlü ve sarsılmaz delil"
"muvazene","karşılaştırmak"
"müstakim","dosdoğru olan"
"menfaattar","faydalı, yararlı"
"münafık","iki yüzlü, inanmadığı halde inanmış görünen"
"ehl-i medrese","medresede ilim tahsil edenler"
"hakikî","asıl, gerçek"
"istimal","kullanmak"
"enaniyet-i ilmiye","ilimden, ilim sahibi olmaktan gelen benlik ve enaniyet"
"tahrik","harekete geçirmek"
"istimal","kullanmak"
"binaen","dayanarak"
"Zülfikar","Bediüzzaman'ın Kur'ân ve Peygamber Efendimizin mu'cizeleri ile ilgili olan bir eseri"
"mecmua","kitap"
"Said Nursî","bk. Bediüzzaman Said Nursî"
"İmam-ı Ali","dördüncü halife olan Hz. Ali (r.a.); bk. Ali (r.a.)"
"Celcelutiye","Resul-i Ekrem Efendimizin (a.s.m.) derslerine istinaden, aslı cifir ve ebced hesabı ile alâkalı olarak Hazret-i Ali (r.a.) tarafından te'lif edilen Süryanice bir kaside; bk. Celcelûtiye"
"sarahat","açıklık"
"ehemmiyetli","değerli, önemli"
"İmam-ı Ali","dördüncü halife olan Hz. Ali (r.a.); bk. Ali (r.a.)"
"radıyallahü anh","Allah ondan razı olsun"
"Celcelutiye","Resul-i Ekrem Efendimizin (a.s.m.) derslerine istinaden, aslı cifir ve ebced hesabı ile alâkalı olarak Hazret-i Ali (r.a.) tarafından te'lif edilen Süryanice bir kaside; bk. Celcelûtiye"
"fıkra","ifade, cümle"
"evvel","önce"
"Âyetü'l-Kübrâ","Risale-i Nur Külliyatında yer alan Yedinci Şua"
"telifçe","yazılma olarak"
"cümle-i Aleviye","Hz. Ali'nin (r.a.) cümlesi"
"meâl","anlam"
"asâ-yı Mûsâ","Hz. Mûsâ'nın mu'cizeli asâsı, bastonu; bk. Mûsâ (a.s.)"
"aleyhisselâm","Allah'ın selâmı onun üzerine olsun (peygamberler hakkında söylenir)"
"mecmua","kitap"
"Meyve","Risale-i Nur'da yer alan On Birinci Şua olan Meyve Risalesi"
"dehşetli","korkunç, ürkütücü"
"zulmet","karanlık"
"Hüccetler","Asâ-yı Mûsâ'nın ikinci bölümünde yer alan imânî meselelere dair on bir güçlü delil"
"izale","gidermek, ortadan kaldırmak"
"Ankara","bk. Ankara"
"ehl-i vukuf","bilirkişi heyeti"
"tahsin","güzel bulma"
"zulmet","karanlık"
"emâre","belirti, işaret"
"asâ-yı Mûsâ","Hz. Mûsâ'nın mu'cizeli asâsı, bastonu; bk. Mûsâ (a.s.)"
"aleyhisselâm","Allah'ın selâmı onun üzerine olsun (peygamberler hakkında söylenir)"
