"kelime","anlam"
"Haşir","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"İHTAR","hatırlatma"
"teşbih","benzetme"
"temsil","kıyaslama tarzında benzetme, analoji"
"suret","şekil, biçim"
"teshil","kolaylaştırma"
"hakaik-ı İslâmiye","İslâmın gerçekleri, esasları"
"makul","akla uygun"
"mütenasip","birbirine uygun"
"muhkem","sağlam, kuvvetli"
"mütesanit","birbirini destekleyen"
"hakikat","gerçek, doğru"
"Kinâiyat","bir şeyi temsille ve dolaylı olarak anlatan sözler"
"kabil","gibi, çeşit"
"delâlet","işaret etme, delil olma"
"hayalî","hayale dayalı"
"hakikat","gerçek, doğru"
"Birader","kardeş"
"haşir","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"âhiret","öteki dünya, öldükten sonraki hayat"
"avam","okumamış halk"
"lisan","dil"
"vâzıh","açık, âşikâr"
"beyan","açıklama"
"temsîl","kıyaslama tarzında benzetme, analoji"
"muhafaza","koruma"
"gasp","zorla almak"
"Heves","nefsin arzu ve istekleri"
"tebaiyet","uymak"
"nevi","çeşit"
"sefahet","yasak zevklere düşkünlük, beyinsizce davranış, budalalık"
"irtikâp","yapmak, işlemek"
"Ahali","halk"
"belâ","büyük sıkıntı"
"mîrî malı","devlete ait mal, kamu malı"
"ahali","halk"
"istihdam","çalıştırılmak"
"intizam","düzen"
"şedid","şiddetli"
"dehalet","sığınmak, aman dilemek"
"mîrî malı","devlete ait mal, kamu malı"
"vakıf malı","herkesin faydasına sunulmuş mal"
"tasarruf","dilediği gibi kullanma"
"istifade","faydalanma, yararlanma"
"men","yasaklamak"
"feylesofâne","felsefeci gibi"
"safsatiyât","anlamsız ve uydurma şeyler"
"münazara","tartışma"
"kâtip","yazar"
"nihayet","son"
"muntazam","düzenli"
"hâkim","hükümdar, idareci"
"şimendifer","tren"
"gaip","görünmeyen âlem"
"kıymettar","kıymetli, değerli"
"musannâ","sanatla yapılmış"
"ilânname","duyuru"
"beyanname","açıklama belgesi"
"turra","padişaha ait mühür, nişan"
"sikke","mühür, işaret"
"mâlik","sahip"
"firengî","Batı kültürü"
"ferman","buyruk"
"cüz'î","küçük, az"
"istifade","faydalanma, yararlanma"
"noksan","eksik"
"manevra meydanı","eğitim ve deneme yeri"
"sanayi-i garibe-i sultaniye","saltanata, devlete ait antika sanatlar"
"meşher","sergi"
"muvakkat","geçici"
"kafile","grup, topluluk"
"tebdil","değiştirilmek"
"ahali","halk"
"mukabil","karşılık"
"mükâfat","ödül"
"temerrüt","inat"
"harap","yıkılma, yok edilme"
"emin","güvenilir"
"temerrüt","inat"
"had ve hesabı olmayan","sonsuz ve sınırsız olmak"
"delâil","deliller, işaretler"
"Suret","şekil, görüntü"
"mahkeme-i kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"dâr-ı mükâfat ve ihsan","ödüllendirme ve iyilik yeri"
"dâr-ı mücazat ve zindan","ceza ve hapis yeri"
"SURET","şekil, görüntü"
"saltanat","sultanlık, egemenlik"
"bahusus","özellikle"
"muhteşem","ihtişamlı, görkemli"
"saltanat","sultanlık, egemenlik"
"hüsn-ü hizmet","güzel hizmet"
"muti'","itaatkâr, emre uyan"
"mükâfat","ödül"
"mücazat","ceza"
"mahkeme-i kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"SURET","şekil, görüntü"
"mükellef","mükemmel şekilde hazırlanmış"
"erzak","rızıklar; yiyecek ve içecekler"
"kıymettar","kıymetli, değerli"
"şahane","çok güzel, mükemmel"
"taam","yiyecek"
"murassâ","kıymetli taşlarla süslenmiş"
"müzeyyen","süslü"
"muhteşem","ihtişamlı, görkemli"
"zerrece","en ufak bir şekilde"
"haddinden tecavüz","çizgiyi aşmak, ileri gitmek"
"itaat","emre uyma"
"mütevaziâne","alçak gönüllülükle"
"havf","korku"
"heybet","saygıyla beraber korku duygusunu uyandıran hal"
"saltanat","sultanlık, egemenlik"
"kerem","cömertlik, iyilik, bağış"
"izzet","şeref, üstünlük, yücelik"
"celâlli","görkemli, haşmetli, yüce"
"haysiyet","şeref, itibar, değer"
"kerem","cömertlik, iyilik, bağış"
"in'âm","nimetlendirme"
"ihsan","bağış, iyilik"
"İzzet","şeref, üstünlük, yücelik"
"Haysiyet","şeref, itibar, değer"
"te'dib","edeplendirme, terbiye etme"
"izzet","şeref, üstünlük, yücelik"
"mazlum","zulme, haksızlığa uğrayan"
"zillet","alçaklık, aşağılık"
"mahkeme-i kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"SURET","şekil, görüntü"
"âli","yüce, yüksek"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"intizam","düzen"
"hakikî","gerçek, doğru"
"mizan","ölçü, denge"
"muamele","iş, davranış"
"hikmet-i hükûmet","hükûmetin gözettiği fayda"
"saltanat","sultanlık, egemenlik"
"cenah-ı himaye","koruma kanadı"
"iltica","sığınma"
"mülteci","sığınmacı"
"taltif","lütuf ve iyilikte bulunma"
"raiyet","halk, vatandaşlar"
"muhafaza","koruma"
"haysiyet","itibar, şeref"
"haşmet","heybet, görkem"
"muhafaza","koruma"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"icra","yerine getirilmek"
"mahkeme-i kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"Had ve hesaba gelmeyen","sonsuz ve sınırsız olmak"
"misilsiz","benzersiz"
"mücevherat","kıymetli taşlar"
"emsalsiz","benzersiz"
"mat'umat","yiyecekler"
"hadsiz","sınırsız"
"sehâvet","cömertlik"
"sehâvet","cömertlik"
"dâr-ı ziyafet","ziyafet yeri"
"telezzüz","lezzetlenen"
"zevâl","geçip gitme, yok olma"
"firak","ayrılık"
"elem","acı, keder, üzüntü"
"zevâl-i elem","acı ve kederin sona ermesi"
"zevâl-i lezzet","lezzetin sona ermesi"
"elem","acı, keder, üzüntü"
"dellâl","duyurucu, ilan edici"
"muciznümâ","mu'cize gösteren"
"teşkil","bir araya getirme"
"teşhir","sergileme"
"Kemâlât","mükemmellikler, kusursuzluklar"
"Misilsiz","benzersiz"
"cemâl-i mânevî","mânevî güzellik"
"beyan","açıklama"
"Hüsn-ü mahfî","gizli güzellik"
"letâif","güzel ve hoş şeyler"
"kemâlât","mükemmellikler, kusursuzluklar"
"cemâl-i mânevî","mânevî güzellik"
"kemâl","kusursuzluk, mükemmellik"
"istihsan edici","beğenen, güzel bulan"
"Maşaallah","Allah ne güzel dilemiş ve ne güzel yaratmış!."
"müşahede edici","gözlemci"
"teşhir","sergileme"
"Mahfî","gizli"
"nazirsiz","benzersiz, eşsiz"
"cemâl","güzellik"
"cemâl","güzellik"
"vech","şekil"
"muhtelif","çeşitli, değişik"
"âyine","ayna"
"müşahede","gözlem"
"müştak","arzulu, çok istekli"
"mütehayyir","hayrete düşen"
"istihsan edici","beğenen, güzel bulan"
"müşahede","gözlem"
"müşahede","gözlem"
"müşahede","gözlem"
"ebedî","sonu olmayan, sonsuz"
"işhad","şahit gösterme"
"cemâl","güzellik"
"müştak","arzulu, çok istekli"
"istihsan edici","beğenen, güzel bulan"
"devam-ı vücut","varlığın devamı"
"cemâl","güzellik"
"zail","geçici, yok olucu"
"müştak","arzulu, çok istekli"
"zevâl","geçip gitme, yok olma"
"zevâl","geçip gitme, yok olma"
"tasavvur","düşünme, hayal etme"
"muhabbet","sevgi"
"adavet","düşmanlık"
"hürmet","saygı"
"tahkir","hakaret etme, küçümseme"
"meyl","eğilim göstermek"
"kemâl","kusursuzluk, mükemmellik"
"cemâl","güzellik"
"seyrangâh-ı daimî","devamlı gezinti yeri"
"misilsiz","benzersiz"
"şefkat","acıma, merhamet"
"musibetzede","musibete uğrayan"
"matlub","istek"
"ednâ","en aşağı, en basit"
"hacet","ihtiyaç"
"ednâ","en aşağı, en basit"
"raiyet","halk, vatandaş"
"şefkat","acıma, merhamet"
"kaza","yerine getirmek"
"baytar","veteriner"
"içtima","toplanma"
"eşraf","ileri gelen büyükler"
"nişan","alâmet, işaret"
"yâver-i ekrem","çok değerli, yüksek rütbeli memur"
"nutuk","konuşma"
"şefkat","acıma, merhamet"
"ahali","halk"
"tasdik","doğrulama, onaylama"
"teyid","desteklemek"
"perverde","besleyen"
"nümune","örnek"
"menba","kaynak"
"makarr-ı saltanat","saltanatın merkezi, başkent"
"celb","çekmek"
"mahv","yok etmek"
"zevâl","geçip gitme, yok olma"
"teb'îd","uzaklaştırma, kovma"
"tazib","azaplandırma, eziyet verme"
"müştak","düşkün"
"müteşekkir","teşekkür eden"
"muti'","itaatkâr, emre uyan"
"raiyet","halk, vatandaş"
"şefkat","acıma, merhamet"
"kudretli","güç ve iktidar sahibi"
"ednâ","en aşağı, en basit"
"ednâ","en aşağı, en basit"
"meram","arzu, istek"
"yâver-i ekrem","çok değerli, yüksek rütbeli memur"
"maksud","istek, arzu"
"umum","genel, herkes"
"marzî","razı olunan şey"
"mukteza","gereklilik"
"muvakkat","geçici"
"nüzhetgâh","seyir ve dinlenme yeri"
"nümune","örnek"
"seyrangâh","gezinti yeri"
"seyrangâh","gezinti yeri"
"Saadet","mutluluk"
"şimendifer","tren"
"tayyare","uçak"
"teçhizat","cihazlar, âletler"
"saltanat","hâkimiyet, egemenlik"
"saltanat","hâkimiyet, egemenlik"
"raiyet","halk"
"raiyet","halk"
"raiyet","halk, vatandaşlar"
"manevra","eğitim ve deneme"
"meydan-ı imtihan","imtihan meydanı"
"tebdil","değiştirilmek"
"raiyet","halk, vatandaşlar"
"kıymettar","kıymetli, değerli"
"ihsânât","bağışlar, ikramlar, iyilikler"
"nümune","örnek"
"temâşâ","seyretmek"
"teşhirgâh","sergi yeri"
"Meşher","sergi"
"tahavvül","değişme"
"vaziyet","durum"
"kat'î","kesin"
"meşher","sergi"
"müstemir","yerleşmiş, devamlı"
"mesken","ev, mekan"
"nümune","örnek"
"suret","şekil; resim, görüntü"
"halis","katıksız, saf"
"istidad","kabiliyet"
"saadet","mutluluk"
"SURET","şekil; resim, görüntü"
"müteaddit","çeşitli, birden fazla"
"suret","şekil; resim, görüntü"
"müteaddit","çeşitli, birden fazla"
"kâtip","yazıcı"
"vukuat","olaylar"
"zaptediyorlar","kaydetmek, korumak"
"mahsus","özel"
"suret","şekil; resim, görüntü"
"mülk","sahip olunan ve hükmedilen yer"
"muamele","iş, davranış"
"zaptedilsin","kaydetmek, korumak"
"zât-ı muazzam","çok büyük zât"
"hadisât","olaylar"
"suret","şekil; resim, görüntü"
"hıfz","saklama"
"muhafaza","koruma"
"muhasebe","hesaba çekme, sorgulama"
"âdi","sıradan, basit"
"raiyet","halk, vatandaş"
"âdi","sıradan, basit"
"muamele","davranış, iş"
"hâkim-i hafîz","herşeye hükmeden ve herşeyi saklayıp koruyan Allah"
"raiyet","halk, vatandaş"
"amel","iş, davranış"
"muhafaza","koruma"
"muhasebe","hesaba çekme, sorgulama"
"mükâfat","ödül"
"mücazat","ceza"
"izzet","şeref, üstünlük, yücelik"
"gayret","şeref, haysiyet"
"şe'n-i merhamet","merhametin gereği"
"muamele","davranış, iş"
"sudur","çıkmak"
"mahkeme-i kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"ferman","buyruk"
"mükerrer","tekrar tekrar, tekrarla"
"vaad","söz vermek"
"makarr-ı saltanat","saltanat merkezi, başkent"
"muti'","itaatkar, emre uyan"
"mes'ud","mutlu"
"âsi","isyan eden"
"mahpus","hapsetmek"
"muvakkat","geçici"
"harap","yıkıp yok etmek"
"müebbed","sonsuz"
"hâvi","içine alan"
"vaad","söz vermek"
"raiyet","halk, vatandaş"
"mühim","önemli"
"hulf","sözünden dönme"
"izzet-i iktidar","gücün haysiyet ve şerefi"
"vehm","kuruntu, zan"
"hezeyancı","saçmalayan"
"nefs","insanı maddî zevk ve isteklere sevk eden kuvvet"
"tasdik","doğrulama, onaylama"
"vech","yön, şekil"
"hulf","sözünden dönme"
"hilâf","cayma, vaz geçme"
"cihet","yön, taraf"
"hilâf","cayma, vaz geçme"
"haysiyet","şeref, itibar"
"sıdk","doğruluk"
"şehadet","şahitlik, tanıklık"
"tekzip","yalanlama"
"müstehak","layık"
"Misal","örnek"
"ziya","ışık"
"vehmi","olmadığı halde varmış gibi görünen"
"dehşetli","korkunç"
"tenvir","aydınlatma"
"vaad","söz vermek"
"ifa","yerine getirme"
"mahkeme-i kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"saadet-i uzmâ","çok büyük mutluluk"
"rüesâ","reisler, başkanlar"
"ittifak","birlik, birleşme"
"ihbar","haber verme"
"mücazat","ceza"
"muhteşem","ihtişamlı, görkemli"
"ihzar","hazırlama"
"kavî","kuvvetli"
"vaad","söz verme"
"izzet","şeref, üstünlük"
"vech","yön, şekil"
"tenezzül","alçalma"
"tezellül","aşağılanma"
"muhbir","haber veren"
"tevatür","çeşitli kanallardan gelen ve doğruluğu kesin olarak kanıtlanan haber"
"icmâ","fikir birliği"
"ittifak","birlik, birleşme"
"saltanat-ı azîme","büyük saltanat, egemenlik"
"medar","kaynak, dayanak"
"makarr","merkez, karar yeri"
"meydan-ı imtihan","imtihan meydanı"
"muvakkat","geçici"
"tebdil","değiştirilmek"
"muhteşem","ihtişamlı, görkemli"
"zevâlsiz","son bulmayan"
