kelime,frekans
tevafuk,205
şakirt,155
fıkra,130
suret,111
hakikat,104
risale,102
beyan,91
cihet,91
keramet,78
Isparta,62
emare,62
şedde,58
mazhar,56
umum,50
karine,46
Emin,45
cifir,42
ol,40
münasebet,40
Hazret-i İmam-ı Ali,38
aleyhissalâtü vesselâm,38
tefsir,38
tenvin,38
kaside,37
Cenâb-ı Hak,37
ziyade,37
izhar,37
âhir,35
hadsiz,34
rahmet,34
intişar,34
Hz. Ali,34
makam-ı cifrî,33
binaen,33
burhan,33
ehl-i iman,33
remzen,33
hususî,33
ihtar,33
Hüsrev,32
nevi,31
küllî,30
Feyzi,30
Celcelutiye,30
sair,30
zerre,29
İmam-ı Ali,29
kudsî,29
nam,29
mânâ-yı işârî,28
kanaat,28
sarahat,28
cereyan,27
delâlet,27
telif,27
dalâlet,27
cüz'î,27
fevkalâde,26
hikmet,26
müteaddit,26
ekser,25
Aziz,25
müellif,25
nur,24
neşr,24
muhafaza,24
fitne,24
vecih,23
ihtiyar,23
lisan,23
İsm-i Azam,23
zulümat,23
ihsan,23
mürid,23
nazar,22
Müellif,22
hakikî,22
kat'î,21
Elhasıl,21
acip,21
istikamet,21
Lem'a,21
Hazret-i Gavs,21
kâinat,20
Kurân-ı Mucizül Beyan,20
Gavs-ı Azam,20
teyid,20
nev',20
mukabil,20
mezkur,20
lâtif,20
tasdik,20
musibet,20
Hazret-i Şeyh,20
tâbir,19
remz,19
biçare,19
remiz,19
Sabri,19
hizmet-i Kurâniye,19
