kelime,frekans
hakikat,418
suret,223
risale,205
cihet,176
ziyade,165
şakirt,162
şehadet,145
hadsiz,143
beyan,140
neşr,129
hikmet,119
âlem-i İslâm,117
hakikî,111
cemiyet,110
nazar,110
cereyan,108
İstanbul,106
umum,104
Isparta,97
kudsî,95
kat'î,95
saadet,94
kâinat,93
âhiret,93
zemin,90
ihlâs,90
muhafaza,88
Aziz,87
Cenâb-ı Hak,86
rahmet,85
mazhar,83
tefsir,83
tasdik,82
hükumet,80
muhalif,80
beraat,79
mübarek,75
nam,74
müdafaa,73
telif,73
kudret,71
âsâyiş,70
sıddık,70
nevi,69
binaen,68
Ankara,68
nefs,67
Molla Said,67
Kurân-ı Hakîm,65
hususan,65
gayet,63
alâkadar,63
Emirdağ,62
biçare,61
ebedî,61
istikbal,60
ehl-i iman,60
fâni,59
mukabil,58
kıymettar,58
Üstad,58
fevkalâde,58
evham,57
hüccet,57
vilâyet,57
ihtar,56
zîhayat,56
delâlet,56
düstur,56
dalâlet,55
fazilet,55
musibet,55
muazzam,54
vaziyet,54
muhabbet,53
nihayetsiz,53
mâsum,53
terakki,53
müdafaat,52
inkişaf,51
ittifak,51
Barla,51
men,50
temin,49
ehl-i dünya,49
istifade,48
Avrupa,47
ulema,47
tetkik,47
küllî,47
şeriat,46
uhrevî,46
intişar,46
ittiham,46
feylesof,45
vücud,45
Hazret,45
muvaffak,44
mezkur,44
cüz'î,44
