kelime,frekans
şakirt,188
Aziz,131
mübarek,129
hakikat,118
Cenâb-ı Hak,108
tevafuk,108
sıddık,107
cihet,106
ziyade,100
risale,99
suret,97
Hüsrev,91
Hafız Ali,77
Isparta,76
ehemmiyetli,70
kıymettar,62
beyan,59
nazar,58
ihlâs,56
fevkalâde,54
ehemmiyet,53
nam,52
hakikî,52
fıkra,51
Emin,51
havali,51
nüsha,51
Risaletü'n-Nur,50
şükür,50
keramet,50
mukabil,47
ihtar,47
Feyzi,46
musibet,45
umum,44
inşaallah,43
nevi,43
hâlis,43
Amin,42
muhafaza,41
Sabri,40
âhir,39
hadsiz,38
cereyan,38
münasebet,37
kudsî,37
rahmet,37
hususan,37
alâkadar,36
mesrur,35
sadakat,34
kâinat,33
acip,33
sadık,32
hikmet,32
Umum,31
biçare,30
mâsum,30
İnşaallah,30
emare,30
ihtiyat,29
hissedar,28
dalâlet,28
şefkat,28
ehl-i iman,28
fütuhat,28
ihsan,27
cüz'î,27
bilhassa,27
kanaat,27
Tahirî,27
metanet,26
binaen,26
sürur,26
has,26
mukabele,26
ekser,26
şahs-ı mânevî,26
ümmî,26
intişar,25
tâbir,25
sair,25
tasdik,25
muvaffak,25
kat'î,24
lisan,24
taarruz,24
tevakkuf,23
izah,23
sebat,23
hakaik-i imaniye,23
şükr,22
mânen,22
küllî,22
fevkinde,22
âhiret,22
İstanbul,22
âciz,22
mânâ-yı işârî,21
ehl-i dalâlet,21
âmin,21
hüsn-ü zan,21
Kurân-ı Mucizül Beyan,21
zarfında,21
müteaddit,21
Saniyen,21
izale,21
bâki,20
Ayetü'l-Kübrâ,20
düstur,20
tefsir,19
sebatkâr,19
elem,19
asır,19
Rüştü,19
medrese-i Nuriye,19
iştirak,19
mazhar,19
valide,19
dehşetli,19
evvel,19
Nur fabrikası,19
istimal,18
istifade,18
müteessir,18
Risale,18
nev',18
fütur,17
niyaz,17
âlem-i İslâm,17
Abdurrahman,17
Eski Said,17
hususî,17
ebeden,17
burhan,16
Hafız Mustafa,16
galebe,16
mütemadiyen,16
kâfi,16
hizmet-i Kurâniye,16
tashih,16
medar,16
muhalif,16
ulema,16
semavî,15
imdad,15
Hulusi,15
misl,15
inâyet,15
refet,15
Mu'cizat-ı Ahmediye,15
enaniyet,15
Kâtip Osman,15
tab',15
tasavvur,15
asr,15
nispeten,15
münasip,15
nefs-i emmâre,14
makam-ı cifrî,14
hayat-ı içtimaiye,14
zemin,14
rahmet-i İlâhiye,14
umumî,14
selâmet,14
hemşire,14
Ezcümle,14
istikbal,14
tezahür,14
Arabî,14
ittifak,14
tahribat,14
Barla,14
Lâhika,14
hayat-ı dünyeviye,14
lâtif,13
hüccet,13
derd-i maişet,13
takvâ,13
Said,13
zelzele,13
müşahede,13
ehl-i hakikat,13
mucize,13
mütalâa,13
münafık,13
minnettar,13
muvakkat,13
muvaffakiyet,13
peder,13
telif,13
tesanüd,13
şedde,13
iştiyak,13
sehiv,13
aleyhissalâtü vesselâm,13
riya,13
hane,13
dirhem,13
hadis,13
zeyil,13
tecavüz,12
elîm,12
vâkıa,12
kerametkârâne,12
huruf,12
nefs,12
haşiye,12
gaybî,12
cemaat,12
muhabere,12
had,12
tevil,12
hâlet,12
Kastamonu,12
tenvin,12
merhum,12
ehl-i dünya,12
tarikat,12
nev-i beşer,12
hâdisât,11
mürşid,11
zahir,11
hamd,11
vâris,11
erkân,11
üstad,11
makbul,11
Mübarekler,11
tâbi,11
muvafık,11
Nazif,11
muhabbet,11
inayet,11
mahiyet,11
ihsas,11
evham,11
Evvelâ,11
muktedir,11
irtibat,11
küre-i arz,11
ebedî,11
kat'iyen,11
ima,11
vilâyet,11
hiss-i kablelvuku,11
cilve,11
hasenat,11
mânidar,11
iltifat,11
karye,11
Hakkı,11
menba,11
vuku,11
müstehak,10
himmet,10
tahattur,10
zındık,10
bârekâllah,10
merhamet,10
tabiat,10
mazlum,10
hizmet-i imaniye,10
taife,10
Hasan Atıf,10
hurufat,10
meşgale,10
divane,10
telâkki,10
mağlubiyet,10
Mehmed Zühtü,10
nükte,10
beşer,10
kesretli,10
mukavemet,10
