kelime,frekans
nazar,119
ve,111
hakikat,89
kelam,86
hikmet,81
beşer,76
sani,74
adem,63
efkar,62
belağat,58
şeriat,58
yı,57
mukaddeme,55
nev,54
alem,54
burhan,51
ehl,50
hakaik,45
arz,44
nizam,41
tenbih,41
lisan,41
gayr,40
intizam,39
hak,38
saadet,38
vücud,38
ilahiye,37
suret,36
hilkat,36
tefsir,34
nübüvvet,32
binaen,32
temaşa,31
fünun,31
şehadet,30
kemal,30
zahir,30
hissiyat,28
ulum,28
hakim,28
maani,28
sıdk,27
zaman,27
cereyan,27
fen,27
beyan,26
şems,26
me,24
hayat,24
irşad,24
mecaz,24
istidad,24
hüsn,24
meylü,24
garaz,24
hayalat,24
sair,23
cevher,22
kudret,22
nokta,22
istikbal,21
delalet,21
kuran,21
hadis,21
aliye,21
et,21
üslub,21
cüz,21
ahval,21
evham,21
mazi,20
misal,20
cemi,20
tevehhüm,20
kaide,20
ayat,20
malum,19
insaniyet,19
mesail,19
neş,19
ebediye,19
hal,18
izhar,18
tarik,18
sadık,18
küre,18
neam,18
kavanin,18
zemin,18
mütekellim,17
tazammun,17
caz,17
kaf,17
islamiyet,17
terakki,17
delail,16
tevellüd,16
meyl,16
tecelli,16
tasvir,16
hatime,16
sema,16
kainat,16
vesselam,16
nazara,16
haşr,16
vahid,16
cihet,15
at,15
tasavvur,15
vehm,15
birader,15
medeniyet,15
telahuk,15
vaz,15
istikra,15
bedel,15
muvazene,15
faraza,15
taalluk,15
tabir,15
kat,15
silsile,15
umur,15
çendan,15
umum,15
enbiya,15
müfessir,14
mehasin,14
ezcümle,14
harikulade,14
vakta,14
daire,14
keyfiyet,14
meslek,14
makasıd,14
muhakkikin,14
ezhan,14
itikad,14
imkan,14
tevil,14
delil,14
müyulat,14
esas,14
tekemmül,14
sathi,14
batıl,14
hasıl,14
müstakbel,14
tahayyül,14
elhasıl,14
kaziye,14
hakiki,14
intaç,13
ifrat,13
galebe,13
tefrit,13
esbab,13
mana,13
cumhur,13
muhakeme,13
dest,13
asar,13
ki,13
fenn,13
teşekkül,13
hayal,13
kıyas,13
cari,13
kıyamet,13
ebed,13
mu,13
nefs,13
avam,13
şer,13
def,13
semere,13
meleke,13
himmet,13
nispet,12
caiz,12
istidadat,12
tabii,12
ebna,12
murad,12
kuvve,12
mesleği,12
telvih,12
safsata,12
muhalif,12
enva,12
müddea,12
vehim,12
abesiyet,12
ahkam,12
temessül,12
cismani,12
zahirperest,12
münafi,12
