kelime,frekans
hakikat,578
ehl,429
alem,259
risale,232
suret,228
hayat,228
ve,221
hak,202
islam,194
cihet,182
hikmet,178
imaniye,177
nazar,177
saadet,176
kat,172
rahmet,168
şakirt,168
beyan,166
ziyade,166
kuran,160
hakim,155
şehadet,154
said,154
kuraniye,153
hadsiz,149
hükumet,145
neşr,144
islamiye,143
hakiki,137
medar,133
kainat,131
hakaik,129
cemiyet,129
iman,128
ilahi,125
yı,124
ihlas,122
umum,120
aziz,116
ilahiye,113
cereyan,112
zemin,111
istanbul,110
nur,109
ahiret,108
hizmet,105
ebedi,105
kemal,104
mutlak,104
cenab,104
inayet,102
kudsi,101
molla,99
ısparta,98
üstad,98
umumi,97
tefsir,96
dalalet,95
hürriyet,95
mübarek,94
kudret,94
vücud,93
nefs,91
muhafaza,91
mazhar,89
biçare,88
asayiş,88
tasdik,86
beşer,85
arz,84
beraat,84
hususan,84
hal,83
nam,83
muhalif,82
şeriat,82
nev,82
hazret,80
müdafaa,79
lisan,79
inşaallah,78
düstur,77
manevi,77
maneviye,76
telif,76
dünya,75
ankara,73
ali,73
hüsn,72
sıddık,71
halık,71
nevi,69
içtimaiye,69
denizli,68
istikbal,68
binaen,68
gayet,68
müdafaat,66
hüccet,66
fani,66
