kelime,frekans
hakikat,290
ve,229
alem,209
şeriat,208
beşer,200
ehl,187
yı,177
hayat,158
kainat,155
saadet,154
nazar,149
kudret,135
nev,128
islam,115
islamiye,115
hakiki,114
cihet,114
meşrutiyet,114
suret,112
burhan,110
kemal,107
hürriyet,102
hak,101
vücud,99
ittihad,99
gayr,99
muhabbet,98
hikmet,95
umum,86
cüz,86
efkar,84
hakim,81
adem,80
nokta,78
kuran,77
şer,76
şehadet,76
tevhid,76
lisan,75
nefs,75
hakaik,74
kat,72
sani,71
arz,70
terakki,68
rahmet,64
acz,63
dalalet,63
ilahiye,62
hamiyet,62
zira,62
et,62
esbab,61
menba,60
istibdad,59
medeniyet,58
itaat,58
ilahi,57
zaman,57
nur,55
neş,55
istinad,55
misal,55
istibdat,53
şems,52
fikr,52
iman,52
tecelli,52
beyan,51
menfaat,51
azim,51
husumet,49
biçare,49
intizam,49
umumi,49
su,49
galebe,48
ahlak,48
ziyade,48
mutlak,48
fıtrat,47
sıfat,47
mevcudat,47
said,47
malik,46
at,46
şe,46
ziya,46
mahiyet,46
iye,46
muhafaza,46
ezeliye,45
vahdet,45
zemin,44
hal,44
maneviye,44
nizam,43
avrupa,43
tazammun,43
ulema,43
