kelime,frekans
ehl,472
resul,391
ekrem,390
vesselam,372
aleyhissalatü,371
suret,316
hakikat,303
hazret,278
alem,263
hak,255
kuran,210
hikmet,209
kainat,202
yı,184
hakim,179
beyan,178
ve,177
hayat,173
vücud,170
ibni,166
cihet,165
hakiki,145
ilahiye,144
mucize,140
kati,140
kemal,140
kudret,137
mevcudat,135
nazar,133
hadsiz,132
rahmet,131
hakaik,130
umum,130
ferman,128
ziyade,124
nevi,121
cenab,118
ali,118
kuraniye,112
beşer,111
mu,111
saadet,111
caz,110
hadis,110
nev,108
nübüvvet,108
cüz,103
imam,103
nükte,103
esma,102
mazhar,102
muhabbet,102
velayet,98
nefs,98
arz,97
ebu,96
cizat,96
medar,95
adem,91
ilahi,91
sahabe,91
nam,91
tarik,91
sahih,90
risale,89
şeriat,88
lisan,87
şehadet,87
halık,85
iman,84
ahmediye,84
taife,83
azam,82
mübarek,81
sair,81
dalalet,80
islamiye,79
nur,78
ayine,78
imaniye,77
sani,75
tasdik,75
kübra,74
baki,74
cilve,73
zülcelal,71
manevi,70
icad,70
nakl,69
tarikat,68
rububiyet,68
enva,65
rahim,65
hususan,65
zihayat,64
burhan,64
gayet,64
adavet,63
tabir,63
risalet,63
zat,62
sırr,62
esbab,61
şer,61
dünya,60
ekser,60
at,60
ilm,59
lafz,58
islam,58
kat,57
şerif,57
halk,56
daire,56
muhtelif,55
keramet,55
vahdet,55
hal,54
eşya,54
mevt,54
cemal,53
aleyhisselam,53
mutlak,53
kadir,53
tevatür,53
ahiret,53
kelam,52
irade,52
kader,52
ebediye,52
nihayetsiz,52
fani,52
vücut,51
saltanat,51
şefkat,51
delalet,51
zeval,51
ulema,50
ehemmiyet,50
içtimaiye,50
hakeza,50
arabi,50
evliya,49
haşa,49
nurani,49
muhal,49
acz,49
mahiyet,48
iktiza,48
ubudiyet,48
düstur,48
tevhid,48
gaybiye,48
ihsan,47
ümmet,47
binaen,47
ebedi,47
kamer,47
manen,47
hırs,46
külli,46
misal,46
enbiya,46
mukabil,46
avam,45
vahid,45
envar,45
nihayet,45
temsil,45
fena,45
küre,45
hayvanat,44
ulvi,44
makam,44
cemaat,44
maneviye,44
nimet,44
ittifak,43
san,43
kütüb,43
inayet,42
mana,42
sünnet,42
mahlukat,42
kemalat,42
istinad,42
hadise,41
gaflet,41
rabbaniye,41
muhit,40
telakki,40
enaniyet,40
beka,40
nebevi,40
muvakkat,39
ahkam,39
inkar,39
izhar,38
efrad,38
nefer,38
