kelime,frekans
beşer,166
hak,166
keza,163
cenab,138
hikmet,127
kelam,126
cihet,125
arz,123
alem,122
temsil,105
nizam,99
belagat,98
kainat,97
kudret,94
delalet,94
hakikat,93
münafık,91
binaenaleyh,87
saadet,86
nazar,81
nev,78
ve,78
beyan,77
caz,74
melaike,73
iktiza,71
münasebet,71
zulmet,70
nükte,69
ilahiye,68
esbab,68
adem,68
vücud,67
ehl,65
sıfat,64
cüz,62
tabir,61
tefsir,60
yı,59
sani,59
hidayet,59
delil,59
vecih,57
nevi,56
hülasa,54
makabli,54
ihtiyar,52
nazm,52
gayr,51
zerre,50
kemal,49
sami,49
malum,49
hasıl,49
sema,49
binaen,49
kuran,48
zira,48
hakaik,47
mucize,47
irtibat,47
dalalet,47
azamet,46
nifak,46
muaraza,46
intizam,45
ziya,45
ebediye,44
lisan,44
burhan,44
taalluk,44
neş,43
nübüvvet,42
ima,42
halık,41
ahval,41
umumi,40
mezkur,39
tecelli,38
kafir,38
ahiret,38
tevhid,38
inkılap,37
tazammun,37
semavat,37
mü,37
şeriat,37
zahir,37
et,37
heyet,36
min,36
takdir,35
cem,35
şehadet,35
vesselam,35
me,34
nur,34
mukaddeme,34
aleyhissalatü,34
hakiki,33
sıdk,33
illet,33
halk,33
intaç,32
nazaran,32
mukadder,32
kuvve,32
misal,32
vakta,32
kezalik,31
tasdik,31
musibet,31
hayat,31
muhtelif,31
hilkat,30
kaide,30
mazi,30
hal,30
üslub,29
irade,29
irşad,29
küfür,29
acz,29
ihtar,29
itibar,29
eşya,29
batıl,29
kat,28
ilahi,28
tasvir,28
teklif,28
itikad,28
zahiri,28
maahaza,28
istifade,28
teşekkül,28
tabi,28
siga,28
rahmet,28
vücut,28
mütenahi,28
berk,28
in,27
münhasır,27
izah,27
üslup,27
maraz,27
ayet,27
enva,27
resul,27
silsile,27
izhar,27
husule,27
tabiat,27
atıf,26
şek,26
mazhar,26
tekit,26
vicdan,26
nas,26
mevcudat,26
ecza,25
maruz,25
vücuda,25
remiz,25
tezahür,25
semere,25
sair,25
kıyas,25
cemaat,25
peyda,25
ihtiva,25
def,25
abd,25
şamil,24
muhal,24
zamir,24
izale,24
münasip,24
kizb,24
vehim,24
letaif,24
ahir,24
muhalif,24
istidat,24
latif,24
tahsis,24
ezeliye,23
muhafaza,23
ra,23
ruh,23
mahsus,23
inzar,23
fıtrat,23
ebedi,23
mertebe,23
istikbal,23
icaz,23
at,23
haz,22
lafz,22
suret,22
mana,22
hakim,22
temin,22
ki,22
enbiya,22
teşkil,22
haşir,22
şer,22
nefis,22
külli,22
ism,22
iman,22
kabil,21
teşbih,21
avam,21
keyfiyet,21
fehm,21
amel,21
efkar,21
ezeli,21
takdim,21
dava,21
hüsün,21
fesad,21
daire,20
elem,20
ihata,20
medar,20
umum,20
aziz,20
intikal,20
muayyen,20
zerrat,20
fezleke,20
kıyamet,20
beliğ,20
hasr,20
isnad,20
mutlak,19
tayin,19
ila,19
hazret,19
kitab,19
mevcut,19
sure,19
talim,19
rızık,19
nokta,19
şefkat,19
sigası,19
ilm,19
delail,19
bilhassa,19
menşe,19
takva,19
hüsn,19
reca,19
istilzam,19
kesb,19
adalet,18
içtima,18
fesat,18
malik,18
sıla,18
hadis,18
zaman,18
aciz,18
kemalat,18
atf,18
mütekellim,18
vuku,18
muhalefet,18
emsal,18
esma,18
garaz,18
nazil,18
ihsan,18
maslahat,18
tebşir,18
nüzul,18
istihza,18
hissiyat,18
fail,18
terhib,18
tebeddül,18
şe,17
raci,17
şems,17
azimüşşan,17
hakir,17
tarik,17
vaz,17
tahkik,17
rabıta,17
meal,17
fısk,17
tekerrür,17
taife,17
inkişaf,17
ulvi,17
nisbet,17
ziyade,17
celal,17
fasık,17
mecmua,17
tesviye,16
cevher,16
mesel,16
mahiyet,16
haber,16
merci,16
ikmal,16
fıtri,16
makam,16
muhit,16
rücu,16
ihlas,16
ekrem,16
beka,16
ayn,16
tahakkuk,16
istifham,16
temsilat,16
tasarruf,16
emare,16
icap,15
cereyan,15
masdar,15
mümkinat,15
malumat,15
itnab,15
istidad,15
menba,15
esasat,15
tenkir,15
hitap,15
havi,15
menfaat,15
misl,15
fen,15
muvazene,15
fırka,15
muntazam,15
şiddet,15
efal,15
kuraniye,15
meçhul,15
fehim,15
zuhur,15
mahlukat,14
nasihat,14
ali,14
muhabbet,14
kadir,14
sefahet,14
semavi,14
rab,14
ezcümle,14
muzari,14
küre,14
kıssa,14
baliğ,14
lem,14
asar,14
hitab,14
icmal,14
arabi,14
mahluk,14
celb,14
sem,14
cumhur,14
islam,14
ülfet,14
ihtiyari,14
ul,14
tercihan,13
idrak,13
tasavvur,13
cemal,13
terbiye,13
tafsil,13
münezzeh,13
şecere,13
huruf,13
zat,13
tamim,13
tebliğ,13
mukabele,13
tabii,13
eyyühe,13
katre,13
mabud,13
imtisal,13
kaziye,13
efrad,13
tasrih,13
meyil,13
maada,13
ibare,13
mef,13
kudsi,13
lakin,13
sahra,13
ecram,13
havf,13
mevt,13
vech,13
içtimaiye,13
imkan,13
mahal,13
emr,13
terakkiyat,13
tefrit,13
sadık,13
ifrat,13
necat,13
hilafet,12
manevi,12
fünun,12
muvafık,12
rayb,12
ömr,12
nihayet,12
mevki,12
caiz,12
ümmi,12
ihtimal,12
gayb,12
temyiz,12
inayet,12
harf,12
aliye,12
akliye,12
tizal,12
zulümat,12
