kelime,frekans
hakikat,253
kainat,240
hikmet,226
hadsiz,220
şehadet,159
kudret,140
ve,132
vücud,126
cihet,122
suret,113
gayet,112
kemal,108
alem,104
rahmet,101
arz,99
beyan,96
hakim,96
zemin,89
rububiyet,89
zihayat,88
saadet,87
intizam,84
icad,83
kat,81
hak,78
halık,76
ahiret,75
ebedi,73
umum,73
iman,73
ehl,73
nihayetsiz,72
nev,72
lisan,71
külli,70
kadir,70
mevcudat,70
beşer,68
vahdet,67
muntazam,66
hayat,65
ziyade,64
zülcelal,64
delalet,63
burhan,61
mizan,58
hüccet,58
cüz,57
cilve,56
kuran,56
muhal,54
tabiat,53
esbab,53
sani,52
hakiki,51
cemal,51
mucize,51
yı,51
dehşetli,50
mutlak,50
mu,50
tasdik,49
saltanat,48
malik,48
nevi,48
adem,48
ilahiye,47
azamet,47
azam,44
mahlukat,43
küre,43
semavat,43
baki,43
rahim,42
ferman,42
hülasa,42
kemalat,42
medar,42
sair,41
haşr,41
esma,40
haşmet,39
ekber,39
imaniye,39
nur,39
zat,39
nazar,38
cenab,37
caz,37
hilkat,37
ilahi,37
zahir,36
ezeli,36
ittifak,36
vesselam,36
beka,35
kudsi,35
halk,35
acip,35
nebatat,34
at,34
vücub,34
nam,34
hayvanat,34
aleyhissalatü,34
muvazene,33
mazhar,32
hal,32
dalalet,32
haşa,32
ubudiyet,31
ebediye,31
fani,31
mahluk,30
hakimiyet,30
şakirt,30
cizat,30
müşahede,30
üstad,30
mahiyet,30
izah,30
muhafaza,30
dar,30
musahhar,29
ism,29
mübarek,29
mezkur,29
semavi,29
rabbaniye,29
tevhid,28
ihata,28
şer,28
kelam,28
erkan,28
zişuur,28
iktiza,28
ziya,28
tahakkuk,28
ihsan,28
enbiya,28
vücut,27
alakadar,27
belağat,27
ali,27
kübra,27
mertebe,27
bedahet,27
icma,27
ayet,27
sıfat,27
umumi,26
kitab,26
eşya,26
cihazat,26
nurani,26
münasebet,26
nümune,26
ehemmiyet,26
tanzim,25
rab,25
risale,25
nükte,25
gayb,25
kuraniye,25
vacibü,25
uluhiyet,25
enva,25
melaike,25
san,25
zerre,24
mukabil,24
takdis,24
kader,24
fevkalade,24
feza,24
ahir,24
hususan,24
ulvi,24
taife,24
ecza,23
bilbedahe,23
resul,23
insan,23
tefsir,23
izzet,23
mecmua,23
ehemmiyetli,23
düstur,22
muhtelif,22
şefkat,22
rabbani,22
vaad,22
mütemadiyen,22
ekrem,22
insaniye,22
tecelli,22
sema,22
şerik,22
marifet,22
inayet,22
