kelime,frekans
risale,288
hak,267
ve,257
hakikat,254
kuran,236
fıkra,210
cenab,202
nur,189
ehl,181
mübarek,155
kuraniye,150
ali,142
aziz,137
hulusi,129
hüsrev,122
suret,121
muhterem,120
hakaik,115
bey,108
efendi,108
hafız,108
sabri,104
yı,104
aciz,102
hazret,101
tevafuk,97
nurlar,95
beyan,95
sözler,94
hakim,93
inşaallah,92
kıymettar,91
cihet,89
caz,88
fakir,87
arz,86
üstad,85
ihsan,84
kemal,83
hizmet,83
nazar,83
hakiki,80
inayet,79
iman,78
ilahi,77
rahmet,76
ziyade,75
hayat,73
hikmet,72
saadet,71
refet,70
keramet,70
azim,68
azam,67
mazhar,67
nam,67
ahmed,66
kudsi,65
tevafukat,64
neşr,63
muvaffak,63
dalalet,63
amin,62
ilahiye,61
alem,61
mütalaa,59
nevi,59
cüz,58
takdir,56
envar,53
mü,52
evvel,52
nüsha,52
biçare,51
mustafa,50
vücud,50
min,50
kanaat,49
izhar,48
bekir,48
istifade,47
nükte,47
hat,47
nefs,46
lisan,46
ahir,46
gayet,46
ısparta,46
tarik,45
sıddık,45
halık,45
şükür,44
ahiret,44
umum,44
süleyman,43
ism,43
istinsah,43
sürur,43
medar,42
niyaz,42
