"kelime","anlam"
"Takdim","sunuş"
"lâhika","ek, ilâve; Bediüzzaman ve talebelerinin mektuplarından oluşan kitaplar; 27. Mektup"
"telif","yazma, kaleme alma"
"Barla","bk. Barla"
"telif","yazma, kaleme alma"
"Isparta","bk. Isparta"
"kıymettar","kıymetli, değerli"
"istifâza","feyiz alma; ilim, irfan ve mânevî zenginlik kazanma"
"hissiyat","hisler, duygular"
"iştiyak","arzu, istek"
"ihtiram","hürmet, saygı gösterme"
"şükran","minnettarlık, teşekkür"
"muhterem","saygıdeğer, kıymetli"
"müellif","telif eden, yazan"
"takdim","sunuş"
"müşkülât","zorluklar, güçlükler"
"Barla","bk. Barla"
"Kastamonu","bk. Kastamonu"
"Emirdağ","bk. Emirdağ"
"lâhika","ek, ilâve; Bediüzzaman ve talebelerinin mektuplarından oluşan kitaplar; 27. Mektup"
"vücuda","meydana gelmek"
"Barla","bk. Barla"
"Lâhika","ek, ilâve; Bediüzzaman ve talebelerinin mektuplarından oluşan kitaplar; 27. Mektup"
"Barla","bk. Barla"
"telif","yazma, kaleme alma"
"istinsah","çoğaltma, kopyasını çıkartma"
"neşr","yazma, yayımlama"
"Eskişehir hapsi","bk. Eskişehir"
"müştak","çok arzulu ve istekli"
"telif","yazma, kaleme alma"
"hissiyat","hisler, duygular"
"istifâza","feyiz alma; ilim, irfan ve mânevî zenginlik kazanma"
"fıkra","bölüm, ifade"
"ihtiva","içermek"
"Kastamonu","bk. Kastamonu"
"Lâhika","ek, ilâve; Bediüzzaman ve talebelerinin mektuplarından oluşan kitaplar; 27. Mektup"
"Eskişehir hapsi","bk. Eskişehir"
"tahliye","serbest bırakma"
"Müellif","telif eden, yazan"
"Kastamonu","bk. Kastamonu"
"nefy","gönderilmek, sürgün edilmek"
"Denizli hapsi","Bediüzzaman'ın 1943 yılının sonlarından 1944 yılının Haziran ayına kadar tutuklu olarak kaldığı dönem; bk. Denizli"
"ikamet","oturma"
"müddet","süre"
"zarfında","içinde"
"Müellif","telif eden, yazan"
"Isparta","bk. Isparta"
"daimî","devamlı, sürekli"
"muhabere","haberleşme"
"hatt-ı Kur'ân","Kur'ân harfleriyle yazılan yazı, Osmanlıca yazı"
"neşr","yazma, yayımlama"
"inkışaf","açılma, gelişme"
"bahis","konu"
"şedit","çok şiddetli"
"mâhiyet","bir şeyin aslı, esası"
"deruhte","ihtiva etme; üstlenme"
"kudsî","kutsal, mukaddes"
"vazife-i imaniye","iman hakikatlerini yayma görevi"
"mazhariyet","ayna olma"
"tarz-ı hizmet","hizmet tarzı, metodu"
"mütecaviz","saldırgan, haddi aşan"
"sebat","kararlılık"
"metanet","sağlamlık, kararlılık"
"ehl-i İslâm","Müslümanlar, İslâm toplumu"
"muamelât","muameleler, davranışlar"
"ihlâs","samimiyet, ibadet ve davranışlarda sadece Allah rızasını gözetme"
"dahilî","iç"
"haricî","dış"
"Kastamonu","bk. Kastamonu"
"lâhika","Bediüzzaman ve talebelerinin mektuplarından oluşan kitap; 27. Mektup"
"kesb","kazanan"
"devr","dönem"
"mahsul","ürün"
"içtimaî","toplumsal, sosyal"
"küllî","kapsamlı, genel"
"imanî","imanla ilgili, imana dair"
"nazar-ı hakikat","hakikat nazarı, bakışı"
"mütalâa","dikkatle okuma, inceleme"
"mülâhaza","düşünme, akla getirme"
"küllîleşme","kapsamlı hâle gelme, genelleşme genişleme"
"cihet","yön, taraf"
"hâiz","sahip"
"Emirdağ","bk. Emirdağ"
"lâhika","Bediüzzaman ve talebelerinin mektuplarından oluşan kitap; 27. Mektup"
"Denizli hapsi","bk. Denizli"
"beraat","temize çıkma, suçsuz olduğunun anlaşılması"
"tahliye","serbest bırakılma"
"Heyet-i Vekile","vekiller heyeti, Bakanlar Kurulu"
"Emirdağ","bk. Emirdağ"
"ikamet","oturma"
"memur edilen","görevlendirilen, mecbur edilen"
"Müellif","telif eden, yazan"
"Emirdağ","bk. Emirdağ"
"ikamet","oturma"
"müddet","süre"
"Isparta","bk. Isparta"
"Kastamonu","bk. Kastamonu"
"İstanbul","bk. İstanbul"
"Ankara","bk. Ankara"
"neşr","yayımlama"
"müteallik","ilgili, ait"
"mevkufen","tutuklu olarak"
"tahliye","serbest bırakılma"
"Emirdağ","bk. Emirdağ"
"avdet","geri gelme, dönme"
"müddet","süre"
"Eskişehir","bk. Eskişehir"
"ikamet","oturma"
"müteakip","takip eden, sonraki"
"münasebet","bağlantı, ilişki, vesile"
"İstanbul","bk. İstanbul"
"İstanbul","bk. İstanbul"
"Emirdağ","bk. Emirdağ"
"dâvâ","iddia"
"müteaddit","çeşitli, birden fazla"
"bahis","konu"
"ikamet","oturma"
"Isparta","bk. Isparta"
"Eskişehir","bk. Eskişehir"
"kıymettar","kıymetli, değerli"
"Müellif-i Muhterem","saygıdeğer yazar"
"neşr","yayımlama"
"tensib","uygun görme"
"mecmua","belli bir konuda yazılan yazıların birleşimi; kitap"
"neşr","yayımlama"
"lâhika","Bediüzzaman ve talebelerinin mektuplarından oluşan kitap; 27. Mektup"
"feyz-i iman","imanın feyzi, bereketi"
"ihlâs","samimiyet, ibadet ve davranışlarda sadece Allah rızasını gözetme"
"sadâkat","tam ve mükemmel bağlılık"
"şehamet-i imaniye","imandan gelen cesaret, yiğitlik"
"Üstad","hoca, öğretmen"
"teşekkürat","teşekkürler"
"zuhur","beliren, ortaya çıkan"
"ders-i Kur'âniye","Kur'ân dersi"
"muhatap","kendisine hitap edilen"
"izhar","açıklamak, göstermek"
"hakkaniyet","doğruluk, gerçekçilik"
"dâvâ","iddia"
"telif","yazma, kaleme alma"
"neşr","yayımlama, yayınlanma"
"lâhika","ek, ilâve; Bediüzzaman ve talebelerinin mektuplarından oluşan kitap; 27. Mektup"
"zuhur","ortaya çıkma"
"neşr","yayımlama, yayınlanma"
"bizzat","kendisi"
"Muhterem Müellif","saygıdeğer yazar"
"tensip","uygun görülme"
"müteaddit","bir çok, çeşitli"
"lâhika","ek, ilâve; Bediüzzaman ve talebelerinin mektuplarından oluşan kitap; 27. Mektup"
"ifa","yerine getirme"
"nazara","dikkat çekme"
"lâhika","ek, ilâve; Bediüzzaman ve talebelerinin mektuplarından oluşan kitap; 27. Mektup"
"tebarüz","belirtme, açıklama"
"kâfi","yeterli"
"telif","yazma, kaleme alma"
"zuhur","ortaya çıkma"
"neşr","yayımlama, yayınlanma"
"hizmet-i Nuriye","Risale-i Nur ve talebelerinin yaptığı iman ve Kur'ân hizmeti"
"ders-i Kur'âniye","Kur'ân dersi"
"tâlim","öğretme"
"ifa","yerine getirme"
"meslek-i Nuriye","Risale-i Nur mesleği, tarzı, metodu"
"taallüm","öğrenme"
"vâki","meydana gelme"
"ahval","hâller, durumlar"
"mâruz","tesiri altında olma"
"cereyan","hareket, akım"
"sebat","kararlılık, sabit olma"
"metanet","sağlamlık, kararlılık"
"ihlâs","ibadet ve davranışlarda sadece Allah rızasını gözetme, samimiyet"
"hizmet-i Kur'âniye","Kur'ân hizmeti"
"inkişaf","açılma, ilerleme"
"suhulet","kolaylık"
"medar","sebep olma, vesile olma"
"ihtar","hatırlatma, uyarı"
"zarurî","zorunlu"
"bedihî","açık, aşikâr"
"hakikat","doğru, gerçek"
"isabetle","yerinde ve doğru olarak"
"hizmet-i kudsiye","kutsal hizmet, Kur'ân hizmeti"
"iktiza","gereklilik"
"lâhika","ek, ilâve; Bediüzzaman ve talebelerinin mektuplarından oluşan kitap; 27. Mektup"
"binaen","dayanarak"
"ihtar","hatırlatma, uyarı"
"tekerrür","tekrarlanma"
"melhuz","akla gelebilme; olabilir"
"hikmet","fayda, amaç"
"düstur","kâide, kural"
"muhtevî","ihtiva eden, içine alan"
"Nitekim","gerçekten, hakikaten"
"vakıa","olay"
"Hulûsi Bey","(1896-1986) Bediüzzaman'ın ilk talebesi ve Risale-i Nur'un ilk muhatabı; bk. Hulûsi Bey"
"Sözler","Risale-i Nur'un diğer bir adı"
"rabıta","bağ, ilgli, alâka"
"peydâ","kuran, oluşturan"
"izahat","izahlar, açıklamalar"
"istizahta bulunan","anlaşılmamış olan bir mesele hakkında açıklama isteyen"
"meclis-i ilmî","ilim meclisi, topluluğu"
"takrir","bildirme, anlatma"
"mütenevvi","çeşit çeşit"
"Sözler","Risale-i Nur'un diğer bir adı"
"mesâil","meseleler"
"kat'iyet","kesinlik"
"ihtar","hatırlatma"
"irşat","doğru yolu gösterme"
"ifade","anlatmak, söylemek"
"zuhur","ortaya çıkma, belirme"
"muvafık","uygun, yerinde"
"lâhika","Bediüzzaman ve talebelerinin mektuplarından oluşan kitap; 27. Mektup"
"mübarek","hayırlı"
"isabetli","yerinde ve doğru olan"
"teyid","desteklemek"
"lâhika","Bediüzzaman ve talebelerinin mektuplarından oluşan kitap; 27. Mektup"
"Nur Müellifi","Risale-i Nur'u telif eden, yazan; Bediüzzaman Said Nursî"
"Aziz","çok değerli, izzetli"
"iştigal","meşgul olma"
"teşvik","şevklendirmek, isteklendirmek"
"hikmet","amaç, gaye"
"izahtan vareste","açıklamaya ihtiyaç duyulmayan"
"Zira","çünkü"
"fen","bilim"
"maddî ilimler","pozitif bilimler"
"revaçta","rağbet edilme"
"nesil","soy"
"fen","bilim"
"tabiiyyun","tabiatçılar, yaratıcı olarak tabiatı kabul edenler"
"maddiyyun","materyalistler, herşeyi madde ile açıklamaya çalışanlar"
"mâneviyat","mânevî âleme ait olan şeyler"
"neşriyat","yayınlar, yayınlanmış eserler"
"küfr-ü mutlak","Allah'a ve Allah'tan gelen hiçbir şeye inanmama, bütün mukaddesatı inkar etme"
"cereyan","hareket, akım"
"mâneviyât","mânevî âleme ait olan şeyler"
"iman","inanma; Allah'a inanma"
"hakikat","doğru gerçek; bir şeyin içyüzü"
"muaraza","karşı çıkmak"
"beşeriyet","insanlık"
"nesil","soy"
"iman","inanma; Allah'a inanma"
"fikr-i küfrî","küfür fikri, Allah'ı ve Allah'tan gelen şeyleri inkâr eden düşünce"
"neşir","yayma"
"vasıta","araç"
"iman","inanma; Allah'a inanma"
"acip","hayret verici, şaşırtıcı"
"zaruret","zorunluluk"
"Kur'ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet, mu'cize ve faydalar bulunan Kur'ân"
"mu'cize-i mâneviye","mânevî mu'cize"
"cereyan","hareket, akım"
"mâneviyât-ı kalbiye","kalbin mânevî hisleri"
"tahrib","bozmak, yok etmek"
"mukabil","karşılık"
"mâneviyât-ı kalbiye","kalbin mânevî hisleri"
"ferden ferdâ","fert fert, birer birer"
"iman-ı tahkikî","sağlam, sarsılmaz bir iman; delillerini bilerek inanma"
"muazzam","azametli, çok büyük"
"kudret","güç ve iktidar"
"istinad","dayanma, güvenme"
"mukaddes","kutsal"
"ilham","kalbe gönderilen mânâlar"
"ifa","yerine getirmek"
"Tefekkür-ü imanî","iman gözlüğüyle bakıp tefekkür etmek; imanı kuvvetlendirici düşünceler"
"tabiiyyun","tabiatçılar, yaratıcı olarak tabiatı kabul edenler"
"maddiyyun","materyalistler, herşeyi madde ile açıklamaya çalışanlar"
"tevhid","birleme; her şeyin bir olan Allah'a ait olduğunu bilme"
"iman","inanma; Allah'a inanma"
"hakikat","doğru gerçek; bir şeyin içyüzü"
"temsil","analoji; kıyaslama tarzında benzetme"
"izah","açıklama"
"fen","bilim"
"iman","inanma; Allah'a inanma"
"hakikat","doğru gerçek; bir şeyin içyüzü"
"zuhur","ortaya çıkma, belirme"
"ehl-i iman ve İslâm","Allah'a ve Allah'tan gelen her şeye inanan ve Müslüman olanlar"
"icap","gerekme"
"idrâk","anlayış, kavrayış"
"tefehhüm","anlayış"
"hitap","seslenen, konuşan"
"muvafık","uygun"
"feyiz","mânevî gıda"
"ilham","Allah tarafından insanın kalbine indirilen mânâ"
"tarik","yol"
"ders-i Kur'ânî","Kur'ân dersi"
"küllî","büyük, kapsamlı"
"mârifetullah","Allah'ı bilme, tanıma"
"burhan","güçlü ve sarsılmaz delil"
"efkâr","fikirler"
"idrâk","anlayış, kavrayış"
