"kelime","anlam"
"münasebet","bağlantı, ilişki"
"Eski Said","bk. Bediüzzaman Said Nursî"
"hiss-i kablelvuku","bir şeyi olmadan önce hissetme duygusu"
"tesirat","tesirler, etkiler"
"muarız","karşı gelen, karşıt"
"muannid","inatçı, direnen"
"feylesof","felsefe ile uğraşan, felsefeci"
"ehl-i dalâlet","doğru ve hak yoldan sapanlar; sapık kimseler"
"mukàbil","karşılık"
"mağlûp","yenilme"
"kıymettar","kıymetli, değerli"
"kütüb-ü imaniye ve İslâmiye","imanı ve İslâmı anlatan kitaplar"
"intişar","yayılma"
"sed","engel olmak"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"hayat-ı dünyeviye","dünya hayatı"
"bîçare","çaresiz, zavallı"
"hakaik-i imaniye","iman hakikatleri, esasları"
"mahrum","yoksun"
"hücum","saldırı"
"gaddarâne","acımasızca, zulmederek"
"ziyade","çok, fazla"
"intişar","yayılma"
"nüsha","kopya"
"risale","mektup; Risale-i Nur'dan her bir bölüme verilen isim"
"kemâl-i iştiyak","tam bir istek ve arzu"
"intişar","yayılma"
"kemâl-i iştiyak","tam bir istek ve arzu"
"hikmet","sır, incelik; fayda, gaye"
"Kur'ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur'ân"
"sırr-ı i'câz","mu'cizeliğin sırrı"
"tefsir","açıklama, yorum"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"fenalık","kötülük, iyi olmayan şeyler"
"elîm","acı ve sıkıntı veren"
"elem","acı, keder, sıkıntı"
"hasenat","iyilikler, güzellikler"
"haslet","huy, karakter"
"hakaik-i Şeriat","şeriatin hakikatleri, esasları"
"amel","yapma, işleme"
"lezaiz","lezzetler"
"Sefahet","yasak zevk ve eğlenceye düşkünlük"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"cihet","yön, taraf"
"Âkıbet","son, sonuç, netice"
"dirhem","yaklaşık üç grama denk olan bir ağırlık ölçüsü; çok az miktar"
"batman","eksiden kullanılan ve 8 kiloluk ağırlığa karşılık gelen bir ölçü birimi"
"hissiyat-ı insaniye","insanın hisleri, duyguları"
"galebe","üstün gelme"
"ehl-i sefahet","yasak zevk, eğlencelere düşkün olan kimseler"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"çare-i yegâne","tek çâre"
"elem","acı, keder, sıkıntı"
"mağlûp","yenilgiye uğrama"
"âhiret","öteki dünya, öldükten sonraki hayat"
"ehl-i iman","Allah'a ve Allah'tan gelen her şeye inanan kimseler, mü'minler"
"ehl-i dalâlet","doğru ve hak yoldan sapan kimseler"
"hubb-u dünya","dünya sevgisi"
"tâbi","uymak"
"çare-i yegâne","tek çâre"
"azab","acı, sıkıntı"
"elem","acı, keder, sıkıntı"
"küfr-ü mutlak","tam bir küfür, hiçbir kutsal değere inanmama şeklinde dinsizlik"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"tiryaki","bağımlılık"
"Cenâb-ı Hak","Hakkın ta kendisi olan şeref ve yücelik sahibi Allah"
"vücud","varlık"
"azab","acı, sıkıntı"
"fenalık","kötülük"
"seyyiat","günahlar, kötülükler"
"Cenâb-ı Hak","Hakkın ta kendisi olan şeref ve yücelik sahibi Allah"
"Gafûrü'r-Rahîm","kullarının günahlarını çok çok bağışlayan ve kullarına özel rahmet, merhamet ve şefkat gösteren Allah"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"hissiyat","hisler, duygular"
"mağlûp","yenilgiye uğrama"
"ekser","çoğunluk"
"muvazene","karşılaştırma"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"elîm","acı ve sıkıntı veren"
"muannid","inatçı, direnen"
"nefisperest","nefsin arzu ve isteklerine çok düşkün olan"
"menhus","uğursuz"
"gayr-ı meşru","helâl olmayan, dine aykırı"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"tevbe","pişmanlık duyarak günahtan dönüş"
"muvazene","karşılaştırma"
"muvazene","karşılaştırma"
"Mevkıf","bölüm, kısım"
"muvazene","karşılaştırma"
"sefih","yasak zevk ve eğlencelere aşırı düşkün"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"Âyet-i Nur","Kur'ân'ın 24. sûresi olan Nur Sûresinin 35. âyeti"
"seyahat-i hayaliye","hayalî yolculuk"
"hakikat","gerçek, doğru"
"Tafsil","ayrıntı"
"Sikke-i Gaybiye","Risale-i Nur'dan bir eser adı"
"âhir","son"
"Ezcümle","meselâ, örneğin"
"seyahat-i hayaliye","hayalî yolculuk"
"hayvanat","hayvanlar"
"hadsiz","sonsuz, sınırsız"
"ihtiyacat","ihtiyaçlar"
"zaaf","zayıflık, kuvvetsizlik"
"acz","acizlik, güçsüzlük"
"zîhayat","canlı, hayat sahibi"
"elîm","acı ve sıkıntı veren"
"Ehl-i dalâlet ve gaflet","doğru ve hak yoldan sapmış, inançsız ve gaflete dalmış kimseler"
"feryad","bağırıp çağırma"
"hikmet-i Kur'âniye","Kur'ân'a dayalı olan bilim, anlayış"
"Rahmân","bütün yarattıklarını esirgeyip koruyan, şefkat eden ve rızıklandıran sonsuz rahmet sahibi Allah"
"Rezzâk","bütün varlıkların rızıklarını bol bir şekilde tekrar tekrar veren ve ihtiyaçlarını karşılayan Allah"
"tulû","doğmak"
"bîçare","çaresiz, zavallı"
"zîhayat","canlı, hayat sahibi"
"rahmet","şefkat, merhamet"
"hayvanat","hayvanlar"
"zaaf","zayıflık, kuvvetsizlik"
"acz","acizlik, güçsüzlük"
"hazin","hüzün veren, acıklı"
"elîm","acı ve sıkıntı veren"
"rikkat","acıma, yufka yüreklilik"
"Ehl-i dalâlet","doğru ve hak yoldan sapanlar, inançsız kimseler"
"nazar","bakış"
"Rahîm","merhametli; rahmetinin çok özel tecellîleri olan ve sonsuz şefkat ve merhamet sahibi Allah"
"şefkat","acıma,merhamet, içten ve karşılıksız sevgi"
"tulû","doğmak"
"şekvâ","şikayet"
"hüzün","üzüntü"
"şükr","teşekkür, övgü"
"Ehl-i dalâlet","doğru ve hak yoldan sapanlar, inançsız kimseler"
"feryad","bağırıp çağırma"
"ebed","sonu olmayan sonsuzluk"
"emel","arzu, istek"
"kâinat","evren, bütün yaratılmışlar"
"ihâta","kapsama, kuşatma"
"tasavvurat","düşünceler, hayaller"
"efkâr","fikirler, düşünceler"
"ebedî","sonu olmayan, sonsuz"
"bekà","devamlılık"
"saadet-i ebediye","sonsuz mutluluk"
"himmet","ciddî gayret"
"fıtrî","yaratılıştan gelen, doğal"
"istidat","kàbiliyet, yetenek"
"had","sınır"
"fıtrî","yaratılıştan gelen, doğal"
"kuvve","duygu, his; gerçekleşmemiş, gerçekleşme imkânı olan, potansiyel"
"hadsiz","sonsuz, sınırsız"
"maksat","gaye, amaç"
"müteveccih","yönelen, yönelik"
"zaaf","zayıflık, kuvvetsizlik"
"acz","acizlik, güçsüzlük"
"mâruz","tesirinde ve karşısında olma"
"hadsiz","sonsuz, sınırsız"
"musibet","belâ, felaket, sıkıntı"
"a'dâ","düşmanlar"
"maişet","geçim"
"elîm","acı ve sıkıntı veren"
"hâlet","durum, hâl"
"mütemâdi","aralıksız, devamlı"
"zevâl","geçip gitme, kaybolma"
"firak","ayrılık"
"ehl-i gaflet","âhirete, Allah'ın emir ve yasaklarına karşı duyarsız olan kimseler"
"zulümat-ı ebedi","sonsuz karanlık, Cehennem"
"suret","şekil, biçim"
"mezaristan","mezarlık"
"taife","grup, topluluk"
"taife","grup, topluluk"
"zulümat","karanlıklar"
"zulümat","karanlıklar"
"letâif-i insaniye","insanın mânevî yapısındaki ince duygulardan herbiri"
"zerrât-ı vücud","beden hücreleri"
"kuvvet-i iman","imanın kuvveti"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"Cenâb-ı Hak","Hakkın ta kendisi olan şeref ve yücelik sahibi Allah"
"Âdil","sonsuz adalet sahibi, adaletle iş gören, her şeyin hakkını veren Allah"
"Hakîm","her şeyi belirli maksat ve faydalara uygun ve tam yerli yerinde yaratan, hikmet sahibi Allah"
"Rahmân","bütün yarattıklarını esirgeyip koruyan, şefkat eden ve rızıklandıran sonsuz rahmet sahibi Allah"
"Kerîm","ikram sahibi; sonsuz cömertlik ve ikram sahibi olan Allah"
