"kelime","anlam"
"muhtasar","kısaltılmış, özet"
"Hazret-i Hızır","bk. Hızır (a.s.)"
"aleyhisselâm","Allah'ın selâmı onun üzerine olsun"
"mühim","önemli"
"ulema","âlimler"
"merâtib-i hayat","hayat mertebeleri"
"mertebe","derece, makam"
"ulema","âlimler"
"tabaka-i hayat","hayat tabakası"
"mukayyet","kayıt altında, sınırlı"
"tabaka-i hayat","hayat tabakası"
"Hazret-i Hızır","bk. Hızır (a.s.)"
"İlyas","bk. İlyas (a.s.)"
"aleyhimesselâm","Allah'ın selâmı o ikisinin üzerine olsun"
"beşeriyet","insanlık"
"levazımat","gerekli olan şeyler, ihtiyaçlar"
"mukayyet","kayıt altında, sınırlı"
"Tevatür","çeşitli kanallardan gelen ve doğruluğu kesin olarak kanıtlanan haber"
"ehl-i şuhud ve keşif","maneviyat âlemlerinde iman hakikatlerini gözleme yeteneğine sahip insanlar"
"evliya","veliler, Allah dostları"
"Hazret-i Hızır","bk. Hızır (a.s.)"
"tabaka-i hayat","hayat tabakası"
"tenvir","nurlandırma, aydınlatma"
"makamat-ı velâyet","velîlik makamları"
"makam-ı Hızır","Hz. Hızır'ın (a.s.) makamı"
"tabir","adlandırılma"
"velî","Allah dostu"
"ayn-ı Hızır","Hızır'ın kendisi"
"telâkki","kabul etme"
"tabaka-i hayat","hayat tabakası"
"Hazret-i İdris","bk. İdris (a.s.)"
"İsâ","bk. İsâ (a.s.)"
"aleyhimesselâm","Allah'ın selâmı o ikisinin üzerine olsun"
"tabaka-i hayat","hayat tabakası"
"beşeriyet","insanlık"
"levazımat","gerekli olan şeyler, ihtiyaçlar"
"tecerrüd","soyutlanma, sıyrılma"
"nuranî","nurlu, parlak"
"letâfet","maddî ağırlık ve sınırlamalarla kısıtlı olmama"
"kesb","kazanma, elde etme"
"beden-i misalî","görüntüden ibaret beden"
"letâfet","maddî ağırlık ve sınırlamalarla kısıtlı olmama"
"cesed-i necmî","parlayan bir yıldız gibi akıp giden; nurâni ceset"
"nuraniyet","nur özelliği, nurluluk"
"cism-i dünyevî","dünyaya ait cisim, beden"
"semâvât","gökler"
"Âhirzaman","dünya hayatının kıyamete yakın son devresi"
"Hazret-i İsâ","semavî kitaplardan İncil'in kendisine indirildiiği, İbni Meryem ve Mesih isimleriyle anılan peygamber; bk. İsâ (a.s.)"
"aleyhisselâm","Allah'ın selâmı onun üzerine olsun"
"şeriat-ı Muhammediye","Hz. Muhammed'in (a.s.m.) getirdiği din; İlâhî kanun ve hükümler"
"meâl","açıklama, anlam"
"hadîs","Peygamberimize ait söz, emir veya davranışlar"
"Âhirzaman","dünya hayatının kıyamete yakın son devresi"
"felsefe-i tabiiye","herşeyi tabiata dayandıran felsefe"
"cereyan-ı küfrîye","küfür ve inançsızlık akımı"
"inkâr-ı ulûhiyet","Cenâb-ı Allah'ı inkâr fikri"
