"kelime","anlam"
"Aziz","izzetli, çok değerli, saygın"
"sıddık","çok doğru ve bağlı"
"mübarek","hayırlı"
"hizmet-i Kur'âniye ve imaniye","iman ve Kur'ân hizmeti"
"ihlâs","ibadet ve davranışlarda sadece Allah rızasını gözetme; samimiyet"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"hadsiz","sayısız, sınırsız"
"şükür","nimetlere karşı memnunluk gösterme, Allah'a teşekkür etme"
"hamd","övgü, teşekkür"
"İhtiyarlar","ihtiyarlarlar ve ihtiyarlıkla ilgili çeşitli tahlillerin yapıldığı risale; Yirmi Altıncı Lem'a"
"Risale","küçük çaplı kitap; Risale-i Nur'un bölümlerinden her birisi"
"Müdafaat","Üstad Bediüzzaman ve Risale-i Nur talebelerinin çeşitli mahkemelere sundukları savunmaların yer aldığı risale, Yirmi Yedinci Lem'a"
"Risale","küçük çaplı kitap; Risale-i Nur'un bölümlerinden her birisi"
"tasdik","doğrulama, onaylama"
"mukabil","karşılık"
"Abdurrahman","bk. Abdurrahman (Nursî)"
"Abdurrahman","bk. Abdurrahman (Nursî)"
"Risaletü'n-Nur","Risale-i Nur'un diğer bir adı"
"ihsan","bağışlama, ikram etme, verme"
"muhafız","koruma, bekçi"
"vâris","mirasçı"
"hakikatbîn","hakikati gören, doğru görüşlü"
"kıymetşinas","kadir-kıymet bilen"
"ihlâs","ibadet ve davranışlarda sadece Allah rızasını gözetme; samimiyet"
"vazife-i Kur'âniye ve imaniye","iman ve Kur'an vazifesi"
"kemâl-i ferah","mükemmel bir rahatlık, huzur, neşe"
"sürur","mükemmel bir mutluluk, sevinç"
"itminan","mükemmel bir rahatlık, huzur, neşe"
"istirahat-i kalb","kalben rahatlama"
"ecel","ölüm zamanı"
"mevt","ölüm"
"hidemat","hizmetler"
"müteaddit","bir çok, çeşitli"
"iştiyak","çok kuvvetli arzu ve istek"
"biçare","çaresiz"
"risale","küçük çaplı kitap; Risale-i Nur'un bölümlerinden her birisi"
"Ehl-i hakikat","hakikati ve gerçeği arayanlar, bulanlar"
"mâni","engel"
"şark","doğu"
"garp","batı"
"berzah","kabir âlemi"
"rabıta-i Kur'âniye ve imaniye","iman ve Kur'ân bağı"
